step,ego_x,ego_y,adv_x,adv_y
0,-4.970930471740552,-3.003977140756474,-2.7000007390811134,-1.500018454069672
1,-4.941133329422855,-3.0051632126581618,-2.7000008980277346,-1.500019257680038
2,-4.915643835840641,-3.008697598166337,-2.700001048130131,-1.5000200479335297
3,-4.888692815273369,-3.0136410315634254,-2.700001167242892,-1.500020705115112
4,-4.86191113053005,-3.017737342543844,-2.7000012895505248,-1.5000213614953475
5,-4.833468148424764,-3.022062159952618,-2.700001410842265,-1.5000220160276663
6,-4.8075552562376505,-3.0287314612693828,-2.7000015151420995,-1.5000225999750083
7,-4.782209820516233,-3.0336356095269505,-2.700001613552886,-1.5000231053812356
8,-4.781659692396954,-3.0334505415562605,-2.700001808253799,-1.5000241151753808
9,-4.754634178179513,-3.036468665113808,-2.700001904532586,-1.500024619334256
10,-4.725606527324159,-3.0427173054694605,-2.7000020001977867,-1.5000251230710306
11,-4.69925870983847,-3.0475673430988013,-2.700002095315056,-1.5000256264313327
12,-4.672945356566155,-3.053570832334279,-2.7000021899430493,-1.50002612945597
13,-4.644357263004469,-3.0613098737062088,-2.7000022841341624,-1.5000266321814417
14,-4.617725433563099,-3.0676437364642113,-2.7000023779352005,-1.5000271346403935
15,-4.5928755770560885,-3.0744788442833713,-2.700002471387977,-1.5000276368620242
16,-4.567119933134788,-3.0873343302045866,-2.700002564529846,-1.5000281388724501
17,-4.540013438962326,-3.0986504455767494,-2.700002657394173,-1.5000286406950298
18,-4.51670378907377,-3.1082265482837292,-2.7000027500107655,-1.500029142350657
19,-4.488944545898139,-3.118732016897528,-2.7118876061116723,-1.524564274057354
20,-4.460285067828059,-3.1289179714859237,-2.7202353878952317,-1.5493046550166687
21,-4.432799567652057,-3.1388894844665205,-2.7299715819331927,-1.5721990054632669
22,-4.405799987562762,-3.150224092348151,-2.7428113129628384,-1.5944513039455053
23,-4.378216496558884,-3.1614020541588483,-2.753617796798785,-1.6171775698104456
24,-4.351405488428773,-3.1717474209063385,-2.764792082130938,-1.6396505129486953
25,-4.327213108587481,-3.187283822381018,-2.7774338478047076,-1.6661754480408488
26,-4.302113112833634,-3.201717156451461,-2.7891059039136703,-1.690315994801776
27,-4.276140655990702,-3.2136274068168187,-2.801239887042528,-1.7134860231534201
28,-4.274027254310761,-3.21348391691257,-2.8157039632513983,-1.7394360479913666
29,-4.274018379477597,-3.213506458666049,-2.840756682538739,-1.7861470124259204
30,-4.247319890032124,-3.2214341618693068,-2.8563349841349432,-1.8102335965885878
31,-4.220529630980738,-3.232507818001698,-2.8724100540363904,-1.8370250081112318
32,-4.194323000661288,-3.243511705626416,-2.8868786029874207,-1.8577447297376954
33,-4.166414690716095,-3.2555384338030424,-2.9073136423329142,-1.876929108161505
34,-4.139729335496043,-3.2668250432049537,-2.925789477136478,-1.9003027085783926
35,-4.113572200958743,-3.277846891242045,-2.9427466351838736,-1.9240129195327784
36,-4.08572241780155,-3.290251174546725,-2.9612188030189572,-1.946383480112581
37,-4.059275087855755,-3.3019791764998194,-2.979610214085236,-1.9696790982248593
38,-4.032713722892873,-3.3133433444098643,-2.997236748542227,-1.9936223465979284
39,-4.005215057806845,-3.325942275663,-3.017047632915116,-2.0148390672694996
40,-3.977840554878342,-3.3381974464095596,-3.0368224651764506,-2.0367230594111354
41,-3.95180658682709,-3.3494751529612135,-3.0550919694650935,-2.0594285597370767
42,-3.9252226277239126,-3.362974901068851,-3.0754064040591835,-2.081208713877837
43,-3.8975805976303586,-3.3757899459918277,-3.0959783958447926,-2.101735281457132
44,-3.871725235808333,-3.3872348782117503,-3.1147145725352146,-2.1242095643567636
45,-3.845616431074453,-3.400840231548432,-3.1342923817492117,-2.1470955392580415
46,-3.819030099458365,-3.415587698537243,-3.153594517699711,-2.1697117859550272
47,-3.7938228658757582,-3.4275948858256307,-3.1723169021122297,-2.1922168645429667
48,-3.768469486927882,-3.4413801160385544,-3.1919542598446267,-2.2153728383036824
49,-3.7423209715990984,-3.4565476627473526,-3.2116394062723845,-2.2375865915259836
50,-3.7291343113925017,-3.4633468860049725,-3.2304046052510857,-2.2599482720797277
51,-3.725219508671895,-3.465894527873493,-3.26664081324788,-2.3058818020528147
52,-3.700642814495328,-3.4782445056453586,-3.285128076348962,-2.329608735049365
53,-3.6755868989693896,-3.4923258143773617,-3.3036601935543257,-2.352180667871744
54,-3.649715323209921,-3.5077452506023845,-3.322094286612338,-2.3744832512067515
55,-3.623691787964326,-3.5221711014235457,-3.341223307876146,-2.3981850133133054
56,-3.6000332770239125,-3.5380265205457166,-3.3592591409729304,-2.4206042633172373
57,-3.5752131860806253,-3.554399970955641,-3.3770204753333872,-2.4423169382958387
58,-3.5488850154668343,-3.56962377637913,-3.395520577687703,-2.4663772442060887
59,-3.523952562230912,-3.585047270173664,-3.412465161912546,-2.490877864682053
60,-3.4992897638906206,-3.601574600676332,-3.4299599672824157,-2.5134292248021426
61,-3.4740113442476255,-3.6172876904452673,-3.4423092977428236,-2.5353622320991636
62,-3.4492173375439337,-3.6340925437776277,-3.453220441893377,-2.5611560928555903
63,-3.425592382664253,-3.651605567004753,-3.465579513061946,-2.5808223355316455
64,-3.4011744917616094,-3.6679055566616814,-3.4749738524682137,-2.604346782993478
65,-3.3761901582216005,-3.6844346982375673,-3.4788924714925185,-2.630826437099901
66,-3.3529134733412316,-3.702494327627168,-3.4872245923651346,-2.654495459517176
67,-3.3293342658198593,-3.7193552457831145,-3.4943117992882926,-2.6796064203489234
68,-3.30513357281877,-3.736573813931155,-3.496989336219135,-2.7054972475585637
69,-3.282563284469768,-3.7553290521328093,-3.503504894483242,-2.7302710787235407
70,-3.259486063856154,-3.772861620434014,-3.510637369057528,-2.757376485203716
71,-3.235601591954157,-3.790228737857264,-3.516393541949957,-2.787080957217458
72,-3.212147601992449,-3.8092843287038827,-3.521513442509494,-2.815150016281507
73,-3.2122286660205757,-3.8098055195164475,-3.5320812189940547,-2.8721542390455275
74,-3.1916743376612957,-3.828299224568771,-3.536830155048396,-2.900470418934312
75,-3.1694581906539416,-3.8451630560467067,-3.5424450740170603,-2.927741403472582
76,-3.148423964571294,-3.8610679629742943,-3.547304380370617,-2.957487190225458
77,-3.1304777925231932,-3.874719306642912,-3.552977111239449,-2.986753555587952
