repeat,file,num_points
repeat_01,combined_overlay_paths.csv,281
repeat_01,ego_movebase_global_plan.csv,2
repeat_01,movebase_opponent_plan.csv,51
repeat_01,diffusion_opponent_plan.csv,17
repeat_01,unconditional_diffusion_opponent_plan.csv,17
repeat_01,rule_based_opponent_odom.csv,194
repeat_02,combined_overlay_paths.csv,337
repeat_02,ego_movebase_global_plan.csv,2
repeat_02,movebase_opponent_plan.csv,51
repeat_02,diffusion_opponent_plan.csv,17
repeat_02,unconditional_diffusion_opponent_plan.csv,17
repeat_02,rule_based_opponent_odom.csv,250
repeat_03,combined_overlay_paths.csv,201
repeat_03,ego_movebase_global_plan.csv,2
repeat_03,movebase_opponent_plan.csv,51
repeat_03,diffusion_opponent_plan.csv,17
repeat_03,unconditional_diffusion_opponent_plan.csv,17
repeat_03,rule_based_opponent_odom.csv,114
