step,ego_x,ego_y,adv_x,adv_y
0,-4.971357101156249,-3.0038575205646603,-2.7000013377352525,-1.500017715857511
1,-4.941968888954476,-3.0058008870109774,-2.7000014963882095,-1.5000185194041387
2,-4.9164990491206675,-3.009710251755327,-2.700001635005772,-1.5000192727419512
3,-4.8893400366983135,-3.0147980525517455,-2.7000017559407143,-1.5000199309034568
4,-4.862352596132593,-3.0190420980405075,-2.700001876634664,-1.5000205870297867
5,-4.834268803656417,-3.0239192766147363,-2.700001993966681,-1.5000212343224102
6,-4.808210973421717,-3.0308800590604816,-2.7000021000868006,-1.500021795454853
7,-4.782508888178575,-3.0362309816051836,-2.7000021984356812,-1.5000223009528413
8,-4.756358851202505,-3.0425711530395025,-2.700002295970409,-1.5000228058979008
9,-4.753847152148507,-3.042303462442515,-2.700002392754919,-1.5000233103222234
10,-4.753800042970261,-3.0422892105776635,-2.7000024888693956,-1.5000238142818272
11,-4.753795434861009,-3.0422916478641815,-2.700002584385521,-1.5000243178268116
12,-4.7537910631720495,-3.0422925231228968,-2.7000026793673286,-1.5000248210019884
13,-4.753786918606333,-3.042293332389473,-2.7000027738720176,-1.50002532384744
14,-4.7537829687019215,-3.042294096290708,-2.700002867950689,-1.5000258263990167
15,-4.753775542983401,-3.0422955138446772,-2.7000030550077034,-1.500026830745437
16,-4.725392730309662,-3.049524125925213,-2.7000031480632463,-1.500027332594624
17,-4.698758073725562,-3.054809184601232,-2.7000032408481682,-1.5000278342592976
18,-4.672096849371568,-3.061341485443516,-2.7000033333915363,-1.5000283357599877
19,-4.643009764209454,-3.069220299989358,-2.7000034257193204,-1.500028837115058
20,-4.616073216974668,-3.075764291100618,-2.700003517854717,-1.5000293383409369
21,-4.5903984085921,-3.082506820244927,-2.700003609818449,-1.5000298394523177
22,-4.563126137216707,-3.0921289418978675,-2.700003701629031,-1.500030340462345
23,-4.534661659510751,-3.1013631676485742,-2.700003793302999,-1.5000308413827776
24,-4.5093740314118005,-3.1102413368441892,-2.7000038848551253,-1.5000313422241345
25,-4.482552686003202,-3.121940481998066,-2.7000039762986074,-1.5000318429958257
26,-4.45442148218505,-3.1328414521813546,-2.7114959526862568,-1.5248093807244698
27,-4.428125837257377,-3.143632421209374,-2.7198177285429734,-1.5502588128007275
28,-4.402547064353865,-3.1572737491757645,-2.727840194486172,-1.5736396381606905
29,-4.374816167360076,-3.168703031853746,-2.73701643505775,-1.5972651951304608
30,-4.347106570857281,-3.179862208043886,-2.747439083711066,-1.6203470877029933
31,-4.346902784431332,-3.180104359594883,-2.758450770199064,-1.643421255449483
32,-4.347353449513326,-3.180174444141739,-2.7702658352462595,-1.6689865854216852
33,-4.347783231841402,-3.180153954340525,-2.78075627780128,-1.6915128088357139
34,-4.3484758117156606,-3.180208621879195,-2.7912711087309936,-1.7135416617182233
35,-4.349120217064397,-3.18019223506672,-2.8052793421260542,-1.7379578361164953
36,-4.349619302479378,-3.1802249428245237,-2.818546862751399,-1.7623701698912548
37,-4.350065878926862,-3.1802110523706926,-2.8296158960479083,-1.7830916846671112
38,-4.3511537748440325,-3.1801454009332915,-2.8619974367875622,-1.830216137026152
39,-4.328252740614735,-3.1919453201806394,-2.877469294419922,-1.8542574480677083
40,-4.3009126233517785,-3.2037659437301853,-2.893943455167689,-1.8777143244930237
41,-4.273475544203814,-3.215555775162306,-2.9116197885379593,-1.9019652510182026
42,-4.247900383143802,-3.2294976914583757,-2.928005175801221,-1.9255183041778592
43,-4.222035749588385,-3.2432318750475906,-2.9477222593142267,-1.946424875877958
44,-4.195570638498554,-3.2554473505202797,-2.9668319511510743,-1.9685877380871075
45,-4.169355770735764,-3.2699549480690777,-2.984341625177931,-1.991819783959805
46,-4.143888656643449,-3.2842598408412096,-3.003841023896273,-2.0134786685306905
47,-4.117981296192078,-3.296965294433387,-3.0246095043582555,-2.033529499592876
48,-4.090842147604858,-3.3103693743606346,-3.042498723965116,-2.0560072429915954
49,-4.064147471538797,-3.3235191323588067,-3.0616032652637304,-2.079431476344966
50,-4.037740725965932,-3.3362187383467217,-3.079793108674551,-2.102027923356071
51,-4.010352730943451,-3.3497191980823944,-3.0975590697560644,-2.124302609603276
52,-3.98432575497395,-3.3638215144165597,-3.1171342404131908,-2.147873959859349
53,-3.958121351596192,-3.376543351083685,-3.1357877486656154,-2.170798329453271
54,-3.930796040871321,-3.390047958257928,-3.1540881104908514,-2.193620041323231
55,-3.9048942207719777,-3.4044692683697195,-3.17337934373065,-2.2171233215794786
56,-3.9035626130952883,-3.406222174667572,-3.192161253084857,-2.239856050786755
57,-3.903523365451737,-3.4062581239624916,-3.2102474679480335,-2.2623686918241375
58,-3.9035186424701767,-3.4062585324056203,-3.2295273127861477,-2.285314211192892
59,-3.9035151546345297,-3.406260190698687,-3.248617188941836,-2.308273260517523
60,-3.9035118692277404,-3.4062617873508314,-3.266605840654157,-2.330518038360121
61,-3.9035087482581328,-3.406263320827039,-3.286081339632584,-2.352846616622824
62,-3.903505767051126,-3.406264800403455,-3.305768980856857,-2.376154662851553
63,-3.903500143336993,-3.4062676286811966,-3.343408609326268,-2.4201034387601776
64,-3.8790519429157855,-3.42063018575688,-3.3640989110675092,-2.443102933715384
65,-3.853182084252965,-3.4357497213924555,-3.382617409463637,-2.464980051030605
66,-3.827255251808488,-3.4514167986794497,-3.4018571976225074,-2.4868512434073446
67,-3.80176227511362,-3.4655383935397204,-3.4200294580575776,-2.5102919619250574
68,-3.775719603545541,-3.480318021429178,-3.4378380588193824,-2.5328913559779664
69,-3.7491622443148596,-3.4955027030060966,-3.452579772505812,-2.5580674213646795
70,-3.7237981993463505,-3.5095899637783523,-3.4693783147860224,-2.582514176685394
71,-3.6980703534185104,-3.524348823261359,-3.4870977785400834,-2.606703925062528
72,-3.671025825003602,-3.539697560898147,-3.5011108760506726,-2.63165597739827
73,-3.6458962281157086,-3.5537504304702066,-3.512861872164853,-2.6580271454235898
74,-3.6206180415042613,-3.56861349318611,-3.5280072050667166,-2.681231956188625
75,-3.594082472158424,-3.584045484263469,-3.5435465634888312,-2.7064867627474802
76,-3.5689909102886745,-3.5983415796964517,-3.5586911231502767,-2.7307693956939447
77,-3.543379988821445,-3.613083722218158,-3.5740321919631373,-2.7547549015820407
78,-3.5169235758784634,-3.628277170298571,-3.5846063697367203,-2.777370445732945
79,-3.490733738313524,-3.6433690673544272,-3.5957501642723044,-2.8000547811966157
80,-3.4655069730015833,-3.658089518325782,-3.6007434974602806,-2.820996195077728
81,-3.439416639930766,-3.6735422941183713,-3.607415582077885,-2.8385425724061584
82,-3.4132128249269194,-3.689124067688211,-3.6136309643724784,-2.8610749525646844
83,-3.4148005028618607,-3.6883185874710027,-3.6189879403532705,-2.884891396977856
84,-3.4165989488764144,-3.687218596221976,-3.6236824334925677,-2.910522983390262
85,-3.4184219211722238,-3.6860693443592925,-3.6193714001305652,-2.938264348097127
86,-3.420155596736841,-3.6848571623991293,-3.617204278453161,-2.9657522096378326
87,-3.4217943311479107,-3.6838215091405315,-3.620636583366107,-2.992391854089735
88,-3.425444475809255,-3.681412832963502,-3.6271559254757086,-3.0512584315979923
89,-3.4100194077349055,-3.690173112225535,-3.6312802648536517,-3.080394645724287
90,-3.384176678093347,-3.705499068003575,-3.6351413399192842,-3.1103400431245505
91,-3.3575121140310045,-3.7209328679610953,-3.6390555964843188,-3.1393749692948516
92,-3.3331751797345994,-3.7352760615346203,-3.6430519555090246,-3.1672241287426597
93,-3.3078664400446933,-3.750652841238457,-3.645075649665319,-3.196813855683729
94,-3.2813440748898706,-3.766355401351448,-3.644501892464272,-3.2246410207736385
95,-3.256990621330631,-3.7814901881968894,-3.6467886648240175,-3.2486366527865176
96,-3.233308052683207,-3.797529886778769,-3.6470758325374715,-3.274954405819561
97,-3.208014903333632,-3.813752463562335,-3.6457426969275795,-3.3023449808783174
98,-3.1839107599221945,-3.8298490718974967,-3.6437942444854468,-3.3273297462181572
99,-3.161448124679004,-3.844902083969886,-3.6330318287774532,-3.3513829907885864
100,-3.1406684151793014,-3.8585051920388254,-3.620619712877462,-3.3736455030553785
