method,agent,source_type,point_idx,x,y
ego_movebase,robot1,plan,0,-4.974999895319343,-2.9749998655170202
ego_movebase,robot1,plan,1,-3.0249998662620783,-4.0249998811632395
movebase,robot2,plan,0,-2.72499986179173,-1.5249998439103365
movebase,robot2,plan,1,-2.774999862536788,-1.5749998446553946
movebase,robot2,plan,2,-2.774999862536788,-1.6249998454004526
movebase,robot2,plan,3,-2.774999862536788,-1.6749998461455107
movebase,robot2,plan,4,-2.774999862536788,-1.7249998468905687
movebase,robot2,plan,5,-2.774999862536788,-1.7749998476356268
movebase,robot2,plan,6,-2.774999862536788,-1.8249998483806849
movebase,robot2,plan,7,-2.774999862536788,-1.874999849125743
movebase,robot2,plan,8,-2.774999862536788,-1.924999849870801
movebase,robot2,plan,9,-2.774999862536788,-1.974999850615859
movebase,robot2,plan,10,-2.774999862536788,-2.024999851360917
movebase,robot2,plan,11,-2.774999862536788,-2.074999852105975
movebase,robot2,plan,12,-2.774999862536788,-2.124999852851033
movebase,robot2,plan,13,-2.774999862536788,-2.1749998535960913
movebase,robot2,plan,14,-2.774999862536788,-2.2249998543411493
movebase,robot2,plan,15,-2.774999862536788,-2.2749998550862074
movebase,robot2,plan,16,-2.774999862536788,-2.3249998558312654
movebase,robot2,plan,17,-2.774999862536788,-2.3749998565763235
movebase,robot2,plan,18,-2.774999862536788,-2.4249998573213816
movebase,robot2,plan,19,-2.774999862536788,-2.4749998580664396
movebase,robot2,plan,20,-2.774999862536788,-2.5249998588114977
movebase,robot2,plan,21,-2.774999862536788,-2.5749998595565557
movebase,robot2,plan,22,-2.774999862536788,-2.624999860301614
movebase,robot2,plan,23,-2.774999862536788,-2.674999861046672
movebase,robot2,plan,24,-2.774999862536788,-2.72499986179173
movebase,robot2,plan,25,-2.774999862536788,-2.774999862536788
movebase,robot2,plan,26,-2.774999862536788,-2.824999863281846
movebase,robot2,plan,27,-2.774999862536788,-2.874999864026904
movebase,robot2,plan,28,-2.774999862536788,-2.924999864771962
movebase,robot2,plan,29,-2.774999862536788,-2.9749998655170202
movebase,robot2,plan,30,-2.774999862536788,-3.0249998662620783
movebase,robot2,plan,31,-2.774999862536788,-3.0749998670071363
movebase,robot2,plan,32,-2.774999862536788,-3.1249998677521944
movebase,robot2,plan,33,-2.774999862536788,-3.1749998684972525
movebase,robot2,plan,34,-2.774999862536788,-3.2249998692423105
movebase,robot2,plan,35,-2.774999862536788,-3.2749998699873686
movebase,robot2,plan,36,-2.774999862536788,-3.3249998707324266
movebase,robot2,plan,37,-2.774999862536788,-3.3749998714774847
movebase,robot2,plan,38,-2.774999862536788,-3.4249998722225428
movebase,robot2,plan,39,-2.774999862536788,-3.474999872967601
movebase,robot2,plan,40,-2.774999862536788,-3.524999873712659
movebase,robot2,plan,41,-2.774999862536788,-3.574999874457717
movebase,robot2,plan,42,-2.774999862536788,-3.624999875202775
movebase,robot2,plan,43,-2.824999863281846,-3.674999875947833
movebase,robot2,plan,44,-2.874999864026904,-3.724999876692891
movebase,robot2,plan,45,-2.874999864026904,-3.774999877437949
movebase,robot2,plan,46,-2.874999864026904,-3.8249998781830072
movebase,robot2,plan,47,-2.924999864771962,-3.8749998789280653
movebase,robot2,plan,48,-2.9749998655170202,-3.9249998796731234
movebase,robot2,plan,49,-3.0249998662620783,-3.9749998804181814
movebase,robot2,plan,50,-3.0249998662620783,-4.0249998811632395
diffusion,robot2,plan,0,-2.700026314491637,-1.500159477429526
diffusion,robot2,plan,1,-2.727470836819509,-1.5358653110653462
diffusion,robot2,plan,2,-2.831696736940038,-1.6494323030398794
diffusion,robot2,plan,3,-2.935651921970863,-1.7625927892969901
diffusion,robot2,plan,4,-3.0403969010024365,-1.8761125247893409
diffusion,robot2,plan,5,-3.1456186706647293,-1.989131149348308
diffusion,robot2,plan,6,-3.247510275625227,-2.1017480086732627
diffusion,robot2,plan,7,-3.3508499916837104,-2.2145275329090457
diffusion,robot2,plan,8,-3.4526318430760696,-2.3269341338127743
diffusion,robot2,plan,9,-3.554771906286939,-2.438524737769217
diffusion,robot2,plan,10,-3.657901665813773,-2.549455584515102
diffusion,robot2,plan,11,-3.7604474762795177,-2.6609949726321993
diffusion,robot2,plan,12,-3.8630415979194916,-2.771575263109135
diffusion,robot2,plan,13,-3.9631476734400843,-2.881855989283683
diffusion,robot2,plan,14,-4.076656921084347,-2.9618745197340304
diffusion,robot2,plan,15,-4.192414987323348,-3.0380145971242567
diffusion,robot2,plan,16,-4.3162145530846905,-3.090505855604684
unconditional_diffusion,robot2,plan,0,-2.7,-1.5
unconditional_diffusion,robot2,plan,1,-2.72039147529818,-1.5232581088388635
unconditional_diffusion,robot2,plan,2,-2.8117207226375616,-1.6185475497545367
unconditional_diffusion,robot2,plan,3,-2.9034279252232658,-1.7202854012008173
unconditional_diffusion,robot2,plan,4,-2.9948473466799137,-1.8231940700535916
unconditional_diffusion,robot2,plan,5,-3.089172992724233,-1.9308187823944765
unconditional_diffusion,robot2,plan,6,-3.187582930613335,-2.042865855897558
unconditional_diffusion,robot2,plan,7,-3.286790685001839,-2.157455687845907
unconditional_diffusion,robot2,plan,8,-3.385070978879207,-2.2769049563063266
unconditional_diffusion,robot2,plan,9,-3.4851551623240007,-2.3992318474387706
unconditional_diffusion,robot2,plan,10,-3.58796990132981,-2.5262543271011273
unconditional_diffusion,robot2,plan,11,-3.6931349331832948,-2.653226931603695
unconditional_diffusion,robot2,plan,12,-3.799716527827035,-2.7816960588564
unconditional_diffusion,robot2,plan,13,-3.90898598485312,-2.915194189416405
unconditional_diffusion,robot2,plan,14,-4.030467390612068,-3.023771553883162
unconditional_diffusion,robot2,plan,15,-4.1561794949661195,-3.1315070186960425
unconditional_diffusion,robot2,plan,16,-4.291468325733309,-3.220628344166903
rule_based,robot2,odom,0,-2.699999967872191,-1.500008285108407
rule_based,robot2,odom,1,-2.7216293619697494,-1.547146862155919
rule_based,robot2,odom,2,-2.7379814955582913,-1.5924514987356193
rule_based,robot2,odom,3,-2.7795483938597654,-1.6826339894495184
rule_based,robot2,odom,4,-2.8024237457263017,-1.7246736597139516
rule_based,robot2,odom,5,-2.835997517785934,-1.7635506736962432
rule_based,robot2,odom,6,-2.8628134851385436,-1.802663162604304
rule_based,robot2,odom,7,-2.8912728680409296,-1.842112293902221
rule_based,robot2,odom,8,-2.922006336633958,-1.8793256159729046
rule_based,robot2,odom,9,-2.9552533769286393,-1.9158254088051512
rule_based,robot2,odom,10,-2.9921806273604696,-1.9491723577319142
rule_based,robot2,odom,11,-3.0290916995790056,-1.9828316599123275
rule_based,robot2,odom,12,-3.0691990136708083,-2.0118050048944767
rule_based,robot2,odom,13,-3.106902351430989,-2.044448799237703
rule_based,robot2,odom,14,-3.1460006068007234,-2.074717599589091
rule_based,robot2,odom,15,-3.184654354010437,-2.107153287845064
rule_based,robot2,odom,16,-3.2216279498712597,-2.13896696731209
rule_based,robot2,odom,17,-3.2602683727178308,-2.1714364628062794
rule_based,robot2,odom,18,-3.2975326822208704,-2.2031921179790777
rule_based,robot2,odom,19,-3.3368736479406853,-2.2346076016818115
rule_based,robot2,odom,20,-3.374875041163749,-2.265876527565317
rule_based,robot2,odom,21,-3.4135369949779215,-2.297762607993315
