method,agent,source_type,point_idx,x,y
diffusion,robot2,plan,0,-2.700026314491637,-1.500159477429526
diffusion,robot2,plan,1,-2.727470836819509,-1.5358653110653462
diffusion,robot2,plan,2,-2.831696736940038,-1.6494323030398794
diffusion,robot2,plan,3,-2.935651921970863,-1.7625927892969901
diffusion,robot2,plan,4,-3.0403969010024365,-1.8761125247893409
diffusion,robot2,plan,5,-3.1456186706647293,-1.989131149348308
diffusion,robot2,plan,6,-3.247510275625227,-2.1017480086732627
diffusion,robot2,plan,7,-3.3508499916837104,-2.2145275329090457
diffusion,robot2,plan,8,-3.4526318430760696,-2.3269341338127743
diffusion,robot2,plan,9,-3.554771906286939,-2.438524737769217
diffusion,robot2,plan,10,-3.657901665813773,-2.549455584515102
diffusion,robot2,plan,11,-3.7604474762795177,-2.6609949726321993
diffusion,robot2,plan,12,-3.8630415979194916,-2.771575263109135
diffusion,robot2,plan,13,-3.9631476734400843,-2.881855989283683
diffusion,robot2,plan,14,-4.076656921084347,-2.9618745197340304
diffusion,robot2,plan,15,-4.192414987323348,-3.0380145971242567
diffusion,robot2,plan,16,-4.3162145530846905,-3.090505855604684
