step,ego_x,ego_y,adv_x,adv_y
0,-4.971504302456652,-3.0039437158318227,-2.7000018430711994,-1.500018503615536
1,-4.94262742562142,-3.0061028178129643,-2.7000020016392936,-1.5000193073595867
2,-4.916855590476968,-3.0094695678328396,-2.7000021336462865,-1.5000200386424343
3,-4.889584555287716,-3.0141333347623864,-2.7000022564417043,-1.5000206963384193
4,-4.862512160466875,-3.018842204059373,-2.700002378333419,-1.5000213520145826
5,-4.834587463325044,-3.023777349707782,-2.700002491519911,-1.5000219863569648
6,-4.809463621964215,-3.029157668521077,-2.700002594637405,-1.5000225306166657
7,-4.78472104988231,-3.0346874930654013,-2.700002692864936,-1.5000230361677238
8,-4.760304688894061,-3.0411215816018338,-2.7000027902763923,-1.5000235411473215
9,-4.7317489175509415,-3.0486727660542776,-2.700002886952813,-1.5000240456132534
10,-4.731964002235708,-3.0501121387729313,-2.7000030784065747,-1.5000250532192736
11,-4.706899733340633,-3.062395379125549,-2.700003173316882,-1.5000255564529783
12,-4.68036858326835,-3.0707669298853815,-2.7000032677597656,-1.500026059361418
13,-4.651767758673869,-3.0803575470556184,-2.700003361785291,-1.5000265619799589
14,-4.624672434213774,-3.0886906129946965,-2.7000034554381807,-1.5000270643402371
15,-4.599577301086925,-3.0972429909745745,-2.7000035487583887,-1.5000275664705516
16,-4.572628052963311,-3.1082579213830064,-2.7000036417816076,-1.500028068396216
17,-4.543218944186076,-3.1188343521822235,-2.70000373453972,-1.5000285701398743
18,-4.519109275011036,-3.1290040309070744,-2.7000038270612072,-1.5000290717217841
19,-4.492693429855295,-3.1407144024538978,-2.7000039193715097,-1.5000295731600672
20,-4.464952448603622,-3.152078569450426,-2.712000249112729,-1.524260539525925
21,-4.438923919288126,-3.163903718520693,-2.72052494512673,-1.5490706066584825
22,-4.4138393703696766,-3.178324981875099,-2.7291346197406794,-1.5723987247501419
23,-4.4125351659199,-3.1794098991479007,-2.7430285186180168,-1.5945077559300982
24,-4.3855937113139865,-3.1926237373184074,-2.757498679832708,-1.6157700300048066
25,-4.358204209614522,-3.2053689524157463,-2.780404871454474,-1.6641995753239585
26,-4.336514916679503,-3.217473208086702,-2.790765471103203,-1.6886400596096098
27,-4.3094865045194,-3.230532749246076,-2.80176186522034,-1.7122142476553182
28,-4.282371691012742,-3.2434848814458976,-2.8153977675479838,-1.7381093473419917
29,-4.25587467995608,-3.2570207964214166,-2.8276440800599665,-1.7630829831412473
30,-4.228990773913213,-3.2703337803119834,-2.838660120679895,-1.7856713960100346
31,-4.202177880509047,-3.2834505446354267,-2.8533614895255046,-1.810013314756915
32,-4.175637792897532,-3.296799999286799,-2.8689446762516133,-1.8364964851521142
33,-4.1490906935215826,-3.309854576789109,-2.883582358207976,-1.8572250997963649
34,-4.12255774414771,-3.322770092537343,-2.901411681681436,-1.8778700139076812
35,-4.095699330077621,-3.336146718430836,-2.918034046885789,-1.9024371400493398
36,-4.069318366002047,-3.3491593316733956,-2.934405411028235,-1.9261270617182296
37,-4.043232346724137,-3.3618417187996394,-2.9540054443163,-1.9474238005744178
38,-4.015981540807564,-3.375225447513515,-2.9736254103100928,-1.9688993257169725
39,-3.9891256057753766,-3.3884741607836,-2.9909040532361497,-1.9920261132761274
40,-3.962544097948694,-3.4014698010856983,-3.009046631173576,-2.0147979193441876
41,-3.935230010901104,-3.4149422769657765,-3.026709169865865,-2.037750900042001
42,-3.908962097025132,-3.428802826449287,-3.04417738472282,-2.0603304734229813
43,-3.882834551182086,-3.4417199281922266,-3.0642857201962865,-2.0823809740207313
44,-3.8558625191218012,-3.45526416534061,-3.085344802981733,-2.102230615165106
45,-3.8294882730228843,-3.469303884685044,-3.122523966124092,-2.146825484231184
46,-3.8053092510577606,-3.485108197368956,-3.141692409681994,-2.169860074026868
47,-3.778951194595749,-3.499268910413297,-3.160669344285219,-2.1929338779234215
48,-3.7526149668794204,-3.513850006299515,-3.1799153322136577,-2.216281117058559
49,-3.726845323672392,-3.5277011117057824,-3.199103451293685,-2.2393862544118712
50,-3.700724131623176,-3.5419534227503653,-3.2179422494677805,-2.2623147198950044
51,-3.6739428249990445,-3.5566482770344834,-3.2332483767436635,-2.2872294752520417
52,-3.6479698798190068,-3.5705894878024984,-3.2503929657720376,-2.310008155118856
53,-3.6220688261331357,-3.584750685323718,-3.2683594284408666,-2.334202633970663
54,-3.595095491579454,-3.5995144784090085,-3.285816163405445,-2.3572412248235928
55,-3.569983768226427,-3.6140180886206537,-3.3032263219614832,-2.3797613758319596
56,-3.5445275229051614,-3.6283017442483665,-3.3210237859229523,-2.404255755927907
57,-3.5176442813464743,-3.6433254504354067,-3.332787971001255,-2.4304428754191028
58,-3.4917140238144406,-3.6576557801048444,-3.346674989080842,-2.452091677816191
59,-3.4666193051135963,-3.6716491881227737,-3.361005556450074,-2.476443425625533
60,-3.4403663259214223,-3.6869307423438182,-3.377014906932062,-2.502673764691956
61,-3.4143690250580185,-3.701644563238432,-3.3875216586883488,-2.5222694246238766
62,-3.3890490273780625,-3.7156748991563004,-3.394587696035475,-2.5438362804850905
63,-3.362915114523658,-3.7305934078214853,-3.397644678614585,-2.5707037276820537
64,-3.336289046557631,-3.745739185569096,-3.405504352731009,-2.5963451726068336
65,-3.3114252648756555,-3.7597403774123643,-3.4096080593037077,-2.621784066677458
66,-3.28148972826421,-3.7774292110963437,-3.4226060696783156,-2.676695608318471
67,-3.255376792702504,-3.793636672310067,-3.4300823930194024,-2.704676489580583
68,-3.2316793030213753,-3.8076698542086596,-3.433414582722662,-2.733984793590671
69,-3.2068702303147143,-3.823473077143979,-3.43811316258132,-2.7620297232380846
70,-3.180850260428216,-3.83973265270354,-3.4438489549554916,-2.789726149706411
71,-3.1585831255633856,-3.8533322617849257,-3.4482406626911337,-2.81949624212912
72,-3.1391320023721683,-3.866053800165534,-3.451850998330192,-2.8478060049551237
