method,agent,source_type,point_idx,x,y
movebase,robot2,plan,0,-2.72499986179173,-1.5249998439103365
movebase,robot2,plan,1,-2.774999862536788,-1.5749998446553946
movebase,robot2,plan,2,-2.774999862536788,-1.6249998454004526
movebase,robot2,plan,3,-2.774999862536788,-1.6749998461455107
movebase,robot2,plan,4,-2.774999862536788,-1.7249998468905687
movebase,robot2,plan,5,-2.774999862536788,-1.7749998476356268
movebase,robot2,plan,6,-2.774999862536788,-1.8249998483806849
movebase,robot2,plan,7,-2.774999862536788,-1.874999849125743
movebase,robot2,plan,8,-2.774999862536788,-1.924999849870801
movebase,robot2,plan,9,-2.774999862536788,-1.974999850615859
movebase,robot2,plan,10,-2.774999862536788,-2.024999851360917
movebase,robot2,plan,11,-2.774999862536788,-2.074999852105975
movebase,robot2,plan,12,-2.774999862536788,-2.124999852851033
movebase,robot2,plan,13,-2.774999862536788,-2.1749998535960913
movebase,robot2,plan,14,-2.774999862536788,-2.2249998543411493
movebase,robot2,plan,15,-2.774999862536788,-2.2749998550862074
movebase,robot2,plan,16,-2.774999862536788,-2.3249998558312654
movebase,robot2,plan,17,-2.774999862536788,-2.3749998565763235
movebase,robot2,plan,18,-2.774999862536788,-2.4249998573213816
movebase,robot2,plan,19,-2.774999862536788,-2.4749998580664396
movebase,robot2,plan,20,-2.774999862536788,-2.5249998588114977
movebase,robot2,plan,21,-2.774999862536788,-2.5749998595565557
movebase,robot2,plan,22,-2.774999862536788,-2.624999860301614
movebase,robot2,plan,23,-2.774999862536788,-2.674999861046672
movebase,robot2,plan,24,-2.774999862536788,-2.72499986179173
movebase,robot2,plan,25,-2.774999862536788,-2.774999862536788
movebase,robot2,plan,26,-2.774999862536788,-2.824999863281846
movebase,robot2,plan,27,-2.774999862536788,-2.874999864026904
movebase,robot2,plan,28,-2.774999862536788,-2.924999864771962
movebase,robot2,plan,29,-2.774999862536788,-2.9749998655170202
movebase,robot2,plan,30,-2.774999862536788,-3.0249998662620783
movebase,robot2,plan,31,-2.774999862536788,-3.0749998670071363
movebase,robot2,plan,32,-2.774999862536788,-3.1249998677521944
movebase,robot2,plan,33,-2.774999862536788,-3.1749998684972525
movebase,robot2,plan,34,-2.774999862536788,-3.2249998692423105
movebase,robot2,plan,35,-2.774999862536788,-3.2749998699873686
movebase,robot2,plan,36,-2.774999862536788,-3.3249998707324266
movebase,robot2,plan,37,-2.774999862536788,-3.3749998714774847
movebase,robot2,plan,38,-2.774999862536788,-3.4249998722225428
movebase,robot2,plan,39,-2.774999862536788,-3.474999872967601
movebase,robot2,plan,40,-2.774999862536788,-3.524999873712659
movebase,robot2,plan,41,-2.774999862536788,-3.574999874457717
movebase,robot2,plan,42,-2.774999862536788,-3.624999875202775
movebase,robot2,plan,43,-2.824999863281846,-3.674999875947833
movebase,robot2,plan,44,-2.874999864026904,-3.724999876692891
movebase,robot2,plan,45,-2.874999864026904,-3.774999877437949
movebase,robot2,plan,46,-2.874999864026904,-3.8249998781830072
movebase,robot2,plan,47,-2.924999864771962,-3.8749998789280653
movebase,robot2,plan,48,-2.9749998655170202,-3.9249998796731234
movebase,robot2,plan,49,-3.0249998662620783,-3.9749998804181814
movebase,robot2,plan,50,-3.0249998662620783,-4.0249998811632395
