method,agent,source_type,point_idx,x,y
unconditional_diffusion,robot2,plan,0,-2.700027428530609,-1.5001664824393652
unconditional_diffusion,robot2,plan,1,-2.721391280974015,-1.5254158755820262
unconditional_diffusion,robot2,plan,2,-2.808665492365533,-1.620102768272268
unconditional_diffusion,robot2,plan,3,-2.908945477530178,-1.7198854035159368
unconditional_diffusion,robot2,plan,4,-3.0016639768622992,-1.8269734665205077
unconditional_diffusion,robot2,plan,5,-3.0928696832702403,-1.9349796778983657
unconditional_diffusion,robot2,plan,6,-3.188481135635172,-2.0469017718742135
unconditional_diffusion,robot2,plan,7,-3.2768634609828244,-2.161072192025545
unconditional_diffusion,robot2,plan,8,-3.37432820888435,-2.2814130979281035
unconditional_diffusion,robot2,plan,9,-3.466967662501844,-2.408628352884971
unconditional_diffusion,robot2,plan,10,-3.5675092405233673,-2.5368293194260194
unconditional_diffusion,robot2,plan,11,-3.669103912393404,-2.668128508547124
unconditional_diffusion,robot2,plan,12,-3.7718759630319507,-2.801833256395549
unconditional_diffusion,robot2,plan,13,-3.873984890707954,-2.939647014459816
unconditional_diffusion,robot2,plan,14,-3.979141853533797,-3.0831417498434
unconditional_diffusion,robot2,plan,15,-4.099010269773471,-3.1970860672615693
unconditional_diffusion,robot2,plan,16,-4.2286581553296045,-3.2977037129954443
