step,ego_x,ego_y,adv_x,adv_y
0,-4.971588630353594,-3.003928350297813,-2.7060901467913983,-1.5296119234902772
1,-4.942162308387262,-3.006300415566902,-2.711861771475568,-1.5599234870304537
2,-4.916889089210709,-3.0097414018730535,-2.717411460578568,-1.5888532822158925
3,-4.88969650406041,-3.0166187078260713,-2.7229715661399734,-1.6185113268642262
4,-4.862769820975757,-3.0214166309324684,-2.7286774621089935,-1.6492880449385234
5,-4.8344890603327855,-3.0262320288801305,-2.734009276545945,-1.67777695718714
6,-4.808118686010367,-3.0331115202639403,-2.7395163537190554,-1.707399854664668
7,-4.782397998209126,-3.0383117394501737,-2.7452582162818366,-1.7386301332993515
8,-4.756164070739988,-3.0445562059357,-2.7502966790919587,-1.766559120139175
9,-4.727825540803017,-3.051476909714194,-2.7556319629664996,-1.7958506810023027
10,-4.700932437823019,-3.0598369751661743,-2.7610272061947407,-1.8262196782519564
11,-4.674327242427168,-3.0670041628739004,-2.7661084857623006,-1.854456016845016
12,-4.644939065456329,-3.0751049284838046,-2.7705793423108864,-1.8837477758572385
13,-4.618496564219901,-3.0824936416397413,-2.7756088984139673,-1.9139085721285116
14,-4.619063505320441,-3.082201396111111,-2.7804161792203415,-1.9430704776617425
15,-4.619907264390471,-3.0817110623935733,-2.784400125201054,-1.9718047951430784
16,-4.6208425141761555,-3.0812685337027137,-2.7887692408793767,-2.0016063342618464
17,-4.62187889895115,-3.0808002362245563,-2.7930400555787287,-2.0308432175916287
18,-4.622790807035576,-3.080228295932203,-2.79617898372989,-2.059384702477802
19,-4.623788357952368,-3.079779151779983,-2.7997574007656,-2.0888098797493337
20,-4.625780308653793,-3.078833030306123,-2.805994575256141,-2.146603212285388
21,-4.605636372631881,-3.0843110588788485,-2.808817920917164,-2.175487931580338
22,-4.577254645842295,-3.0931610629618413,-2.811539850004402,-2.204024295370185
23,-4.548956032796316,-3.1016164110899407,-2.812800013347783,-2.2340142011067767
24,-4.52255064498185,-3.1095402447414644,-2.8154801830010197,-2.263608086490438
25,-4.49494266763782,-3.119818805678809,-2.8183557976246334,-2.2931706876790146
26,-4.465808184609988,-3.1297330306691236,-2.8210357567514635,-2.323225266861044
27,-4.439949754632324,-3.138744457209477,-2.823752858187613,-2.3527476332035104
28,-4.41416124302103,-3.151717993345127,-2.8266428870423432,-2.3820134797905577
29,-4.386023539767071,-3.1625978107812407,-2.82941218407974,-2.412237449484557
30,-4.3585152287748,-3.172885479497914,-2.832043857830807,-2.441598031674302
31,-4.3316626439933055,-3.184519970848634,-2.8349623113042215,-2.4705861329044034
32,-4.304027728704941,-3.1958445735371797,-2.837630103491636,-2.5006876246420218
33,-4.276249520934706,-3.2064500579977926,-2.840199844923728,-2.530172744093754
34,-4.249856958103458,-3.2190657239961786,-2.8430785085219337,-2.560181794336899
35,-4.223078526731158,-3.231678327652103,-2.8458364957009796,-2.590040942317668
36,-4.195854136564523,-3.2428929696321718,-2.8485253454957364,-2.61982215210795
37,-4.169652052430711,-3.2565313876366764,-2.851312858875087,-2.6499181897191173
38,-4.144297048366552,-3.270501279852322,-2.8540885625922634,-2.679082766577006
39,-4.118439667884687,-3.282192077384393,-2.856899865091309,-2.705788498858947
40,-4.091050841521432,-3.2949991942887054,-2.860891191342001,-2.734658717714852
41,-4.0649877776586125,-3.3068435588541427,-2.8655844015815757,-2.762484248775362
42,-4.039549273258561,-3.31847662827314,-2.868957761053965,-2.7894742290465704
