step,ego_x,ego_y,adv_x,adv_y
0,-4.999987550868743,-2.9999946122424865,-2.6999995881268863,-1.5000082037404747
1,-4.999986698968685,-2.9999946044253565,-2.698879964572995,-1.552663032562702
2,-4.9999858456295065,-2.999994597400148,-2.6983915570312362,-1.6008434256321822
3,-4.999984996595662,-2.9999946098259467,-2.697712472730196,-1.651231699436364
4,-4.999984139936318,-2.9999946036658898,-2.693943599097506,-1.7008798191756709
5,-4.999983282377543,-2.9999945983447134,-2.6812975362474396,-1.798089890575301
6,-4.999981713757169,-2.9999946635703023,-2.6742384116279783,-1.8453178844939087
7,-4.971438856148819,-3.003936467899637,-2.663844634693528,-1.894087931016861
8,-4.941925642548248,-3.0056111988272054,-2.6532413166441255,-1.9425146417968873
9,-4.916172946803586,-3.0084378392113194,-2.641509998580569,-1.9905311349242003
10,-4.891167100500492,-3.0148657605671674,-2.626799724456899,-2.038532253735853
11,-4.866382762081538,-3.0200413696786166,-2.6133877597642856,-2.0862214269259276
12,-4.839975277229848,-3.0254062793240646,-2.599346635831376,-2.1343965071743702
13,-4.814547481503533,-3.031375163599634,-2.5850501264186683,-2.18198505857907
14,-4.790278233326091,-3.0368956672734932,-2.575661019809834,-2.233538343128334
15,-4.763715537755751,-3.0432546882258484,-2.570764752403739,-2.2852533414146605
16,-4.7342106911820565,-3.0510454296917784,-2.5666009325765375,-2.338132318188474
17,-4.70779746612991,-3.0594228471650657,-2.5567418969695908,-2.3869966145528183
18,-4.682264461082517,-3.0662297564140992,-2.5473183572586953,-2.436407952623276
19,-4.654612774262461,-3.0758452918854746,-2.537537376631268,-2.4862402138873954
20,-4.626504102235905,-3.084520774070186,-2.527977414557717,-2.5358378495598286
21,-4.601985739386616,-3.0921326581726145,-2.5179138744161302,-2.5850543572670186
22,-4.576086267967675,-3.1040718111178083,-2.508050956632059,-2.6341159006318935
23,-4.5716582670049695,-3.10575731033438,-2.4980377163674716,-2.6829750377321018
24,-4.571172855272016,-3.105943833814644,-2.4881996849984804,-2.7318988739301
25,-4.570709752861779,-3.106122583118543,-2.478231243430664,-2.780786005198867
26,-4.570250668889532,-3.106295133575895,-2.4683033187570955,-2.8296304705122637
27,-4.569816790803703,-3.1064636094252367,-2.4583902139638494,-2.8786896932126007
28,-4.56940460934981,-3.106596843781895,-2.4484740625182386,-2.9270798855888276
29,-4.568868104408484,-3.106796228975971,-2.438821000656924,-2.9765857938005547
30,-4.568335414724198,-3.106993686022463,-2.429980647521683,-3.0250206618489694
31,-4.56738229065748,-3.1073422396445802,-2.41197792999968,-3.1225950324382836
32,-4.538898999321061,-3.118749919256764,-2.4041786809103867,-3.1728997965365395
33,-4.513436596025431,-3.1286249432571176,-2.3968540625382717,-3.2208152592649384
34,-4.487426007200193,-3.141030747765879,-2.3892546632506915,-3.271026084723243
35,-4.459826998833729,-3.152396596825506,-2.3822640437456846,-3.318903935476824
36,-4.433222967690517,-3.163698114232571,-2.3762453365014866,-3.3686769053514825
37,-4.407450422841137,-3.175754379840312,-2.3714906468326817,-3.4175776529191646
38,-4.3806391262348745,-3.1881278236490496,-2.368064279988783,-3.467235550176937
39,-4.353433034263099,-3.2001972148836826,-2.365537121023912,-3.5170035935840147
