row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,False,0,1,0,52,80.59496934711933,-3.0,-4.0,-2.8191724504468576,,,,,,6.939722538091593,2.2872779656908078,3.247918426707966e-14
,3,movebase,rule_based,False,0,1,0,50,88.2681342214346,-3.0,-4.0,-1.7024308975405988,,,,,,4.692397514368457,2.236519855750661,4.319369992715542e-14
,4,movebase,rule_based,False,0,1,0,82,89.06340505182743,-3.0,-4.0,1.1466293594672086,,,,,,10.837145555111842,4.244458461904816,5.720372431064489e-14
,5,movebase,rule_based,False,1,0,0,17,-104.1535758972168,-3.0,-4.0,-0.946047939178823,,,,,,7.092638475698127,1.8722681587057772,7.4461009729614e-14
,7,movebase,rule_based,False,0,1,0,61,93.52409514039755,-3.0,-4.0,-0.6698556438885381,,,,,,7.567566200350276,2.485774545960737,4.706562419484186e-14
,8,movebase,rule_based,False,0,1,0,45,86.97870355844498,-3.0,-4.0,-2.3627732881080608,,,,,,5.248207771932828,2.296474098544417,5.148193031587311e-14
summary,all,movebase,rule_based,False,,,,,,,,,,55.712621903667845,0.8333333333333334,0.16666666666666666,0.0,7.062946342592187,2.570462181092869,5.0980862124201496e-14
,1,movebase,rule_based,False,0,1,0,60,78.3449574559927,-3.0,-4.0,-2.8191724504468576,,,,,,7.100590334655634,2.281049264810203,6.713411202590704e-14
,3,movebase,rule_based,False,0,1,0,56,87.71539029479027,-3.0,-4.0,-1.7024308975405988,,,,,,4.620001850556888,2.2417409045905554,5.3567097162940714e-14
,4,movebase,rule_based,False,0,1,0,90,88.7571467384696,-3.0,-4.0,1.1466293594672086,,,,,,10.656071012414666,4.248815579900694,3.643794815447777e-14
,5,movebase,rule_based,False,0,1,0,75,89.63701387494802,-3.0,-4.0,-0.946047939178823,,,,,,5.730156495972995,2.245209768094032,6.499450237396866e-14
