step,ego_x,ego_y,adv_x,adv_y
0,-2.1090322359926943,-3.41040744277873,-2.7000190238792814,-1.5000983730512996
1,-2.124121030767569,-3.4189513126966657,-2.7000192102374827,-1.5000995065381728
2,-2.145222935952826,-3.4272605496191213,-2.7000193968097554,-1.5001006374748438
3,-2.171143011429933,-3.436584619455776,-2.7000195833005693,-1.500101766215976
4,-2.196526504415804,-3.447840313640047,-2.7000197697127866,-1.5001028930384344
5,-2.216955245818226,-3.454888932267349,-2.7000199560520657,-1.5001040181844294
6,-2.2380544518040133,-3.461945119082703,-2.7000201423240098,-1.5001051418661286
7,-2.2656823800810435,-3.4708953670167872,-2.700020328534072,-1.5001062642693885
8,-2.2919736290641093,-3.480258233777684,-2.7000205146875054,-1.5001073855570177
9,-2.309068163717369,-3.4865149752330757,-2.7000207007893233,-1.500108505871639
10,-2.329939595898795,-3.4935440975475354,-2.7000207688173683,-1.5001093705045108
11,-2.357855296080166,-3.50294544611768,-2.700020894533624,-1.500110214517686
12,-2.3860830428903053,-3.5108911992583893,-2.700021020644065,-1.5001110569575107
13,-2.403115992984516,-3.5161699832734,-2.700021146757338,-1.500111898053366
14,-2.424376946077466,-3.523504212644397,-2.7000212728673794,-1.5001127379473114
15,-2.4246753094112243,-3.5238860087232315,-2.700021398971514,-1.5001135767660185
16,-2.4246740477116058,-3.5238863344253177,-2.7000215250677804,-1.5001144146228398
17,-2.4246729264353393,-3.5238860510431578,-2.7000216511547883,-1.50011525161923
18,-2.4246718080699146,-3.523885760163906,-2.70002177513615,-1.500115941809907
19,-2.4246695720684035,-3.5238851781360303,-2.700021976175225,-1.5001172584914138
20,-2.4504465586603232,-3.533858142375653,-2.7000220766366048,-1.5001179163117384
21,-2.4783496394219786,-3.5409187802632047,-2.7000221770742985,-1.5001185738246328
22,-2.494026931332139,-3.5456487356212385,-2.700022277490211,-1.5001192310583336
23,-2.5153301519744926,-3.5607062959507405,-2.7000223814746214,-1.500119871559927
24,-2.5403557443961584,-3.574330860180507,-2.7000224776926527,-1.5001204765027147
25,-2.563663297756548,-3.577688866394137,-2.7000225694635724,-1.5001210824314057
26,-2.5878189133231504,-3.5794203733067445,-2.700022669958778,-1.5001216764051368
27,-2.608482798552907,-3.5905477562720445,-2.700022765215217,-1.5001222809886476
28,-2.6254290097331716,-3.594224009705094,-2.7000228569254467,-1.5001228862897202
29,-2.6399096326286142,-3.593626595492394,-2.7000229573386205,-1.5001234797096514
30,-2.6612378898727784,-3.607298389346356,-2.700023052544954,-1.5001240837900063
31,-2.684957223568951,-3.6213253645791545,-2.70002314421321,-1.5001246886403565
32,-2.7035370651422577,-3.623992528829247,-2.70002324456882,-1.500125281663667
33,-2.713623368379475,-3.6242129324115,-2.70002333973999,-1.5001258853848385
34,-2.7274462213343496,-3.6300947852579317,-2.70002343137892,-1.5001264899144624
35,-2.7417088219544614,-3.633523946904301,-2.7000235316946037,-1.500127082656585
36,-2.7520267711531137,-3.634619944141375,-2.7000236268416327,-1.5001276861242252
37,-2.7666743756284116,-3.6484867977046553,-2.7000237184606073,-1.5001282904285116
38,-2.768480957640912,-3.649653940556407,-2.7000238187490955,-1.500128882974208
39,-2.7684809305821996,-3.649653226128498,-2.7000239138801105,-1.5001294862658427
40,-2.7684812926669697,-3.6496527708198805,-2.7000240054860702,-1.5001300904147803
41,-2.7684815698709855,-3.6496524202423575,-2.7000241057565644,-1.5001306828262877
42,-2.768481912099173,-3.649651976726965,-2.7000242924756312,-1.5001318900437433
43,-2.78240156934339,-3.667124128780181,-2.7000243927347873,-1.5001324823667517
44,-2.796407255855325,-3.683404508823031,-2.700024487850164,-1.500133085461888
45,-2.796411071921889,-3.693983413348563,-2.7000245794441513,-1.5001336894405064
46,-2.791544024692141,-3.7051703477904376,-2.700024679696792,-1.500134281708557
47,-2.7964739749588174,-3.718086906330298,-2.700024774809801,-1.5001348847569382
48,-2.8127586806825797,-3.737589218866941,-2.7000248664025035,-1.500135488696876
49,-2.8285070652429725,-3.7574370245918756,-2.700024966652123,-1.5001360809345896
