row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,65,78.14599696546793,-3.0,-4.0,-2.8191724504468576,,,,,,4.072192530668606,2.750738597859778,5.282339893741482e-05
,2,movebase,diffusion,True,0,1,0,72,87.77248688787222,-3.0,-4.0,-0.946047939178823,,,,,,2.1868557916441684,2.304896914578808,8.063943467303732e-05
,3,movebase,diffusion,True,0,1,0,67,90.80771843343973,-3.0,-4.0,-0.6698556438885381,,,,,,1.383263878700141,2.223324332193355,0.00011363517311395201
,4,movebase,diffusion,True,0,1,0,72,74.46499133110046,-3.0,-4.0,1.5736574719636254,,,,,,3.1793361228379604,2.8749860323461647,0.00012597875323799886
,5,movebase,diffusion,True,1,0,0,45,-106.44021172076464,-3.0,-4.0,-1.0911329307120345,,,,,,1.0440739330942854,2.1806979420670842,7.713453821560129e-05
,6,movebase,diffusion,True,0,1,0,42,94.84517096728086,-3.0,-4.0,-0.7205128002756952,,,,,,3.0508140246906827,2.294958499656214,0.00010084758283790404
,7,movebase,diffusion,True,0,1,0,40,91.24207911640406,-3.0,-4.0,-1.9130443912966577,,,,,,7.912821500596723,2.79983344541107,6.826624215803942e-05
,8,movebase,diffusion,True,0,1,0,49,89.62270393967628,-3.0,-4.0,-2.0946597281834904,,,,,,3.2818792662659977,2.84524692426155,9.326749484343085e-05
,9,movebase,diffusion,True,1,0,0,98,-139.2423549592495,-3.0,-4.0,-2.812541765966184,,,,,,1.2289856169040239,3.004708379116678,0.00010224614076981541
,10,movebase,diffusion,True,1,0,0,98,-115.29455386847258,-3.0,-4.0,-2.7372128607006645,,,,,,0.7353955688888134,2.8021519067136373,0.0001235728697313927
,11,movebase,diffusion,True,1,0,0,123,-125.12113811075687,-3.0,-4.0,-2.7080294221270234,,,,,,0.7951032727909022,3.5898616809906114,0.00010044978939968886
,12,movebase,diffusion,True,1,0,0,105,-149.45257937908173,-3.0,-4.0,0.6998976559804269,,,,,,0.8561285166374019,3.376743729872061,0.00010720212014531341
,13,movebase,diffusion,True,0,1,0,110,83.50666297972202,-3.0,-4.0,-1.1633713255119063,,,,,,1.7460664811222018,2.05666929303388,8.310687052564155e-05
,14,movebase,diffusion,True,0,1,0,72,86.17992623895407,-3.0,-4.0,0.7680788749484344,,,,,,3.9013404055232503,3.0146749612025676,0.000114757314349714
,15,movebase,diffusion,True,0,1,0,64,78.87839014828205,-3.0,-4.0,-2.6252690160737258,,,,,,2.506445590736848,2.185580052709445,0.00012574356561226174
,16,movebase,diffusion,True,0,1,0,52,88.83275014162064,-3.0,-4.0,-1.8859981311027891,,,,,,4.134675908372722,2.637218574760526,0.00011720717088866948
,17,movebase,diffusion,True,0,1,0,80,87.26148786395788,-3.0,-4.0,1.1743508891131202,,,,,,2.918379209152573,2.8392004098462165,9.983187190531796e-05
,18,movebase,diffusion,True,0,1,0,67,85.2975549697876,-3.0,-4.0,0.2974430848208296,,,,,,4.049031894974976,3.3105177874539344,0.00014187760608185972
,19,movebase,diffusion,True,0,1,0,61,91.23103582113981,-3.0,-4.0,-1.2638857762073583,,,,,,2.528454420023895,2.987378943785779,0.0001047667761564296
,20,movebase,diffusion,True,1,0,0,13,-103.26680466532707,-3.0,-4.0,-0.8453406841370789,,,,,,8.0486014000154,2.156821700359322,0.0001077900975357806
,21,movebase,diffusion,True,0,1,0,49,94.71380864828825,-3.0,-4.0,-1.4001295473476585,,,,,,5.931713066335901,2.7604043228202144,0.0001220910476391286
,22,movebase,diffusion,True,0,1,0,57,88.64581800997257,-3.0,-4.0,-0.4413079841045155,,,,,,3.669150988378532,2.6420430883818953,0.0001049085931188347
,23,movebase,diffusion,True,0,1,0,55,86.76826796680689,-3.0,-4.0,-2.13030269989561,,,,,,4.05013232108569,2.2299008806209093,7.905754305887677e-05
,24,movebase,diffusion,True,0,1,0,64,93.41901986300945,-3.0,-4.0,-0.8975338079589346,,,,,,3.2516576194782747,2.3617644596701792,9.529649066490781e-05
,25,movebase,diffusion,True,0,1,0,49,89.88514809310436,-3.0,-4.0,-1.540655374339443,,,,,,2.8695115416508616,2.872378547804038,0.00013707269265641697
,26,movebase,diffusion,True,0,1,0,30,96.9597003608942,-3.0,-4.0,0.5792223325111693,,,,,,6.182612798971419,2.454742306264991,6.762465599841672e-05
,27,movebase,diffusion,True,1,0,0,69,-111.90113084763288,-3.0,-4.0,1.3540606599395908,,,,,,2.9186434545728357,3.0268615437131117,9.503406547270977e-05
,28,movebase,diffusion,True,1,0,0,56,-116.26227262616158,-3.0,-4.0,-2.6344565770945096,,,,,,1.3025744904515548,2.1310063514749262,0.00011408115894120358
,29,movebase,diffusion,True,1,0,0,19,-108.46986392140388,-3.0,-4.0,2.921271847990139,,,,,,6.110387652501938,2.643733767177658,0.00013929258617095922
,30,movebase,diffusion,True,1,0,0,39,-114.6335571706295,-3.0,-4.0,3.0862408130859773,,,,,,5.569672438741629,2.5669697019547244,0.00015319710687505765
summary,all,movebase,diffusion,True,,,,,,,,,,18.946541715910037,0.6666666666666666,0.3333333333333333,0.0,3.380530056860341,2.6642005026033773,0.00010496002505719251
