step,ego_x,ego_y,adv_x,adv_y
0,-4.132119789867143,-2.7867790933601886,-2.0495594550919956,-3.347869370554602
1,-4.114960721391282,-2.7883719383828316,-2.0495364982413333,-3.347987424973815
2,-4.093064851037406,-2.7898714596208074,-2.049535799457719,-3.3479886973556177
3,-4.074561732541908,-2.7826364889069675,-2.0495354907096326,-3.347989926921476
4,-4.061426994261816,-2.778801784371753,-2.04953521712692,-3.347991064639266
5,-4.051038479608901,-2.777607443819298,-2.0495349495043027,-3.3479921871670886
6,-4.0402263364061834,-2.775057077768073,-2.0558834854692956,-3.353200212145032
7,-4.032881030069397,-2.770838843600496,-2.0602325010473224,-3.356959422201836
8,-4.033067121079734,-2.7700180271042414,-2.0627973340699537,-3.34062199147179
9,-4.032948595547662,-2.769946267639484,-2.074987403494421,-3.317663052078772
10,-4.029323829146005,-2.7688475096811813,-2.0790092319603546,-3.313226890206624
11,-4.025533108833351,-2.768710027929482,-2.0897975021865687,-3.3005938902171166
12,-4.024469380703929,-2.7697359778734105,-2.098562673096196,-3.294421041472964
