row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,0,1,0,77,70.3727919831872,-3.0,-4.0,-2.8191724504468576,,,,,,5.045770291535653,2.7243522877702104,0.00011876406075322557
,2,movebase,movebase,True,0,1,0,104,85.7857831120491,-3.0,-4.0,-0.946047939178823,,,,,,5.139209836274269,2.235639084905358,6.080957152152142e-06
,3,movebase,movebase,True,0,1,0,106,89.0727928802371,-3.0,-4.0,-0.6698556438885381,,,,,,5.636717006422375,2.2418179554351867,4.535089027103483e-11
,4,movebase,movebase,True,0,1,0,121,55.220096439123154,-3.0,-4.0,1.5736574719636254,,,,,,1.3680742506282257,2.8932867217544196,6.318589209768245e-05
,5,movebase,movebase,True,0,0,0,400,-40.06968350708485,-3.0,-4.0,-1.0911329307120345,,,,,,6.104222453411552,2.2225659005892884,2.2630286059202037e-05
,6,movebase,movebase,True,0,1,0,68,86.81334429234266,-3.0,-4.0,-0.7205128002756952,,,,,,1.126241710496918,2.2885423491717107,9.616711241435753e-05
,7,movebase,movebase,True,0,1,0,52,89.15128396451473,-3.0,-4.0,-1.9130443912966577,,,,,,5.2885585494875755,2.773659042879725,7.276691479311028e-05
,9,movebase,movebase,True,0,1,0,108,58.1286531612277,-3.0,-4.0,-2.812541765966184,,,,,,4.829861141706229,3.00736282482258,7.767878047579078e-05
,10,movebase,movebase,True,0,1,0,77,73.81516010314226,-3.0,-4.0,-2.7372128607006645,,,,,,5.467831471489611,2.804275895203601,3.357075200812062e-05
,11,movebase,movebase,True,0,1,0,133,58.091455452144146,-3.0,-4.0,-2.7080294221270234,,,,,,4.308931010107267,3.615973213997521,7.456995651890473e-05
,12,movebase,movebase,True,0,1,0,84,79.04445978999138,-3.0,-4.0,0.6998976559804269,,,,,,0.8404210160278609,3.3599364712587163,0.0003559481523234288
,13,movebase,movebase,True,0,1,0,138,84.89399147033691,-3.0,-4.0,-1.1633713255119063,,,,,,4.723087076582375,2.0078151728942673,2.28170257047803e-05
,14,movebase,movebase,True,0,1,0,112,71.59321445971727,-3.0,-4.0,0.7680788749484344,,,,,,0.10869464974860805,3.0184260996382974,0.00011454927704350721
,15,movebase,movebase,True,0,1,0,149,62.240576550364494,-3.0,-4.0,-2.6252690160737258,,,,,,4.03369231689449,2.172440234049413,8.741486275944016e-05
,16,movebase,movebase,True,0,1,0,91,80.41970574855804,-3.0,-4.0,-1.8859981311027891,,,,,,4.17180069904527,2.620030220682008,0.00010156434858379046
,17,movebase,movebase,True,0,1,0,118,80.72470606863499,-3.0,-4.0,1.1743508891131202,,,,,,1.9226120130539985,2.848737930871795,6.65863233993276e-05
,18,movebase,movebase,True,0,1,0,87,82.92335166037083,-3.0,-4.0,0.2974430848208296,,,,,,7.6403899394834225,3.302907172889503,4.269323452520052e-15
,19,movebase,movebase,True,0,1,0,90,90.2583112642169,-3.0,-4.0,-1.2638857762073583,,,,,,3.916953859564308,2.991769277922628,9.796216950928478e-05
,20,movebase,movebase,True,0,1,0,235,72.10167093575001,-3.0,-4.0,-0.8453406841370789,,,,,,2.4150019384852306,2.135535590409034,8.474103733943141e-05
,21,movebase,movebase,True,0,1,0,68,92.61718150228262,-3.0,-4.0,-1.4001295473476585,,,,,,5.052872505551061,2.794731150413693,9.493477998571261e-05
,22,movebase,movebase,True,0,0,0,400,-57.67228949069977,-3.0,-4.0,-0.4413079841045155,,,,,,0.6037339780730744,2.6574346075986726,4.385129865470464e-05
,23,movebase,movebase,True,0,1,0,89,77.04770919680595,-3.0,-4.0,-2.13030269989561,,,,,,5.210771412557635,2.2565661085912145,7.84107805650953e-05
,24,movebase,movebase,True,0,1,0,86,83.1109319627285,-3.0,-4.0,-0.8975338079589346,,,,,,1.096778463052287,2.38056400567573,9.480976480306435e-05
,25,movebase,movebase,True,0,1,0,77,85.17975161969662,-3.0,-4.0,-1.540655374339443,,,,,,4.895919944823376,2.8779823755711638,8.594116229878185e-05
,26,movebase,movebase,True,0,1,0,44,95.1200086325407,-3.0,-4.0,0.5792223325111693,,,,,,6.322818278844424,2.434084056250317,6.378323155006917e-05
,27,movebase,movebase,True,0,0,0,400,-96.57165745645761,-3.0,-4.0,1.3540606599395908,,,,,,0.9516877954803934,3.0178168250686572,4.020402923459795e-05
,28,movebase,movebase,True,0,1,0,104,65.55573228746653,-3.0,-4.0,-2.6344565770945096,,,,,,3.5961165220915103,2.135737665199589,9.850648988988992e-05
,29,movebase,movebase,True,1,0,0,28,-112.34126096963882,-3.0,-4.0,2.921271847990139,,,,,,8.700267174712877,2.661059455261582,8.243505972225193e-05
,30,movebase,movebase,True,1,0,0,61,-123.5443631708622,-3.0,-4.0,3.0862408130859773,,,,,,8.197057314351932,2.6863798219189428,5.138440992419057e-05
summary,all,movebase,movebase,True,,,,,,,,,,49.62356586009264,0.8275862068965517,0.06896551724137931,0.0,4.0936584351718555,2.6609458454722357,7.693996416962258e-05
