step,ego_x,ego_y,adv_x,adv_y
0,-1.870333168569384,-3.4700710328379207,-4.306359695394818,-4.859221153243477
1,-1.8759871518789992,-3.4644266891056392,-4.30221987486954,-4.857648033831875
2,-1.8763952400832844,-3.4641653973882094,-4.286576097534072,-4.853441338467604
3,-1.8764204187416438,-3.4641067315267136,-4.261360742001502,-4.845953514256199
4,-1.8765535655423975,-3.463850218419217,-4.235874908639229,-4.838395207612254
5,-1.8765571033518293,-3.4638491602016908,-4.214044173069297,-4.854523420518395
6,-1.876558407513583,-3.4638471466918235,-4.195176496529083,-4.874208806440099
7,-1.8765596380179397,-3.463845220027489,-4.176666241609328,-4.892169614710289
8,-1.8765608153694435,-3.46384337227917,-4.16020033999155,-4.907643345750416
9,-1.8765617545127373,-3.4638418089172354,-4.146600092760701,-4.921438342173814
10,-1.876563330968115,-3.4638393209077507,-4.137613269088767,-4.901105505672952
11,-1.8858163795206335,-3.462161661594966,-4.123570318617692,-4.876434006396495
12,-1.908584741410003,-3.470087544207002,-4.1124125126320825,-4.848446424414691
13,-1.9316284319435162,-3.479315055912388,-4.104808864955763,-4.817794867524924
14,-1.9489922575612857,-3.4799286496466166,-4.105923109149288,-4.794908768989475
15,-1.965872352030799,-3.472678373405033,-4.10657219613428,-4.78385485203209
16,-1.9858533096726223,-3.465979214795695,-4.1059181716309965,-4.783143812854803
17,-2.0105691353456367,-3.458528594995377,-4.105891928071722,-4.783029933493334
18,-2.029910109707837,-3.4539071627814493,-4.105891004043965,-4.783030989782215
19,-2.048668283717325,-3.448062832744279,-4.105890506972546,-4.7830310916616945
20,-2.070756225612267,-3.4517502940436002,-4.105890033161409,-4.783031146640409
21,-2.0928396765716117,-3.454404788297306,-4.105889578728478,-4.783031179017016
22,-2.1177584021514484,-3.4509805550938153,-4.105889190853442,-4.783031099645019
23,-2.1431509135102007,-3.4497762375268155,-4.10580428049937,-4.782967671667511
24,-2.1430992193623624,-3.449823707770334,-4.105801902567492,-4.782664006831628
25,-2.1430567995738126,-3.4498748768839858,-4.105785268987592,-4.782654078159271
26,-2.143055201454269,-3.449873951715551,-4.10578439890694,-4.78265428271886
27,-2.1430541484717005,-3.449874176280232,-4.105783699797928,-4.782654421265132
28,-2.1430532578944765,-3.449874391336198,-4.105823457290525,-4.782632529401756
29,-2.143052495198018,-3.449874581289424,-4.10575334977792,-4.7826173595033294
30,-2.1430518387289994,-3.4498747497135813,-4.1057506571569435,-4.782617517491761
31,-2.1430512707221134,-3.44987490016487,-4.105749224303596,-4.782617756650664
32,-2.143050073798371,-3.4498752693059593,-4.105747139771476,-4.782618347843905
33,-2.168423143015332,-3.4588280218605565,-4.105746653435188,-4.782618438919991
34,-2.1930892263377886,-3.459604514000904,-4.10574617503273,-4.782618476127786
35,-2.2194716942235915,-3.461944575176496,-4.105745686670776,-4.782618513255111
36,-2.247047730475521,-3.4701770861703922,-4.105745350790611,-4.782618400219333
37,-2.2726042076095507,-3.476819884717061,-4.105744517311623,-4.782618504078526
38,-2.2982665210097926,-3.4813269197834873,-4.105657516132041,-4.782444559609294
39,-2.3237329130781403,-3.491600036422777,-4.105630752338082,-4.782436744919963
40,-2.351518714538102,-3.4970720522030887,-4.10563341308945,-4.782413067251901
41,-2.3775040197841584,-3.501620864966432,-4.105614550125877,-4.782391235269655
42,-2.4018447850878246,-3.5109269580911615,-4.1056126027166755,-4.782391660584814
43,-2.4272589062841163,-3.517415541844112,-4.105611308739277,-4.782391835490502
44,-2.4555268720761694,-3.52550211308403,-4.105499953443561,-4.782381711754002
45,-2.456081436532636,-3.5360274106713443,-4.105480005278562,-4.78238440823953
46,-2.4560723875381005,-3.5360108678267403,-4.105478862970813,-4.782385985308556
47,-2.455955772233811,-3.536051752825563,-4.105477583579749,-4.7823859459070945
48,-2.4558579478858453,-3.5361472193672725,-4.105288432627397,-4.782379083371676
49,-2.4558640073551152,-3.5361500325737003,-4.105275189619566,-4.782369431849524
50,-2.4557877972612934,-3.536149737468809,-4.105274623086975,-4.782369482557269
51,-2.4557968434407713,-3.536151227431259,-4.105274059628765,-4.782369481263216
52,-2.455592872979511,-3.5362816043306107,-4.1052731043332455,-4.782369502516737
53,-2.4774002296285786,-3.5544714389574446,-4.10527259359351,-4.782369491739691
54,-2.5014313601661455,-3.565407947996274,-4.105272076167564,-4.782369493306267
55,-2.527336500541258,-3.577976065817668,-4.10527153154834,-4.782369556712937
