step,ego_x,ego_y,adv_x,adv_y
0,-3.2353871136448045,-2.911851848336744,-3.398883201322568,-4.962256251973463
1,-3.223613043125926,-2.92623820293896,-3.3599985897333404,-4.944422287345143
2,-3.2107360912331258,-2.9350601918625223,-3.313719014852416,-4.926820731741508
3,-3.2031860297582884,-2.9498022380485915,-3.271806187076401,-4.8987564972033955
4,-3.1919266803922257,-2.958295923189591,-3.2269749060930857,-4.875709849772415
5,-3.177999377987241,-2.9721310800737486,-3.1894580683140155,-4.84161923884167
6,-3.165022931515545,-2.987824252300607,-3.148152032618491,-4.8132704765263306
7,-3.153149373298303,-3.003619888837673,-3.1094856069038883,-4.783422180568349
8,-3.1436294280723325,-3.024045547157154,-3.0725073826732068,-4.750860990532392
9,-3.136988002510871,-3.0464041104850703,-3.036873128207359,-4.719786792164383
10,-3.129536958182038,-3.0721170367342894,-3.0064616859620763,-4.680246496619597
11,-3.11696587976233,-3.0940523639336046,-2.9785138788983705,-4.6386490368
12,-3.104112860090114,-3.119936200016128,-2.9533767454676796,-4.594506183824242
13,-3.0914844570413913,-3.141011896568991,-2.9307441842359103,-4.549667293590055
14,-3.079666576853949,-3.1629934320807416,-2.909455997630974,-4.504272674590017
15,-3.068611552688147,-3.188128182613182,-2.888541213609349,-4.45913471251563
16,-3.0579517395407954,-3.213905557075076,-2.8709427510784855,-4.41426388361325
17,-3.0504813334093788,-3.2363062152046838,-2.8549946539165547,-4.367681993819988
18,-3.0446306381382278,-3.262375632035842,-2.840295209567162,-4.322759714855459
19,-3.0370621571191925,-3.2883003559432176,-2.8267258520507617,-4.275979819088874
20,-3.0290490499043328,-3.3155217909794215,-2.82633501322691,-4.225494368596226
21,-3.022631364051163,-3.3428397910562198,-2.8193553055446463,-4.176204694631258
22,-3.0229823788845964,-3.343304116468451,-2.821711322491414,-4.126320969255891
23,-3.0229778931965607,-3.3433029088292887,-2.820449845157685,-4.075865793247392
24,-3.0229774840522756,-3.3433043429486866,-2.8229442649240513,-3.976777823128349
25,-3.0186340746377494,-3.3716328327337473,-2.8239504332630623,-3.9287382238332342
26,-3.0124198046316075,-3.398720377445256,-2.8278920681601267,-3.8798965560330645
27,-3.00651970411387,-3.4274174457388398,-2.831952447915327,-3.8317452237222343
28,-3.0002659763588024,-3.4546767199376736,-2.8398962068310474,-3.7827835553379217
29,-2.9970931272232244,-3.480612351282073,-2.849785994690605,-3.7360184813699155
