episode,ego_steps,ego_path_m,rule_steps,rule_path_m,rule_disp_m,rule_min_d_to_noadv_ego_m,planner_steps,planner_path_m,planner_disp_m,planner_min_d_to_noadv_ego_m,unconditional_steps,unconditional_path_m,unconditional_disp_m,unconditional_min_d_to_noadv_ego_m,ours_steps,ours_path_m,ours_disp_m,ours_min_d_to_noadv_ego_m
1,60,1.078,53,2.081,1.626,2.77,77,1.056,0.475,1.682,75,1.202,1.122,1.325,65,0.634,0.583,1.506
2,4,0.062,62,0.971,0.885,2.208,104,0.177,0.174,2.953,20,0.39,0.273,2.945,72,1.693,1.599,3.014
3,56,1.099,67,0.884,0.854,2.11,106,0.0,0.0,0.865,57,1.64,1.59,0.076,67,1.84,1.757,0.052
4,90,1.595,11,0.539,0.529,0.622,121,2.966,2.66,0.527,87,2.059,1.868,0.345,72,1.697,1.593,0.814
5,75,1.428,147,4.4,3.204,0.262,400,1.238,0.457,1.437,48,1.267,1.25,0.768,45,1.217,1.175,0.905
6,66,1.324,60,2.995,2.792,3.209,68,1.927,1.872,0.155,43,1.15,1.14,1.282,42,1.166,1.156,1.366
7,74,1.308,37,1.861,1.564,1.683,52,0.495,0.237,1.645,43,1.061,1.035,1.372,40,0.906,0.872,1.531
8,49,1.18,60,3.224,3.217,0.456,1,0,0.0,2.769,54,1.529,1.518,0.261,49,1.265,1.257,0.378
9,79,1.628,43,1.867,1.766,0.349,108,2.187,2.052,1.172,94,2.748,2.641,0.847,98,2.78,2.669,0.895
10,104,2.005,315,10.623,6.671,3.246,77,0.344,0.215,2.221,100,2.6,2.549,0.203,98,2.661,2.602,0.135
11,53,0.899,58,2.929,2.742,2.281,133,1.46,0.54,1.67,112,3.369,3.302,0.685,123,3.552,3.462,0.704
12,67,1.439,71,1.388,1.309,0.698,84,2.313,1.626,0.265,91,2.701,2.683,0.5,105,3.088,3.054,0.431
13,81,1.514,44,1.951,1.948,0.213,138,0.519,0.273,1.516,78,1.98,1.729,1.348,110,1.976,1.816,1.34
14,76,1.446,319,0.656,0.608,1.601,112,2.885,1.955,0.481,74,1.987,1.639,0.469,72,1.012,0.884,1.394
15,88,1.644,47,2.362,1.674,1.127,149,3.213,2.929,0.572,83,2.24,1.852,0.96,64,1.676,1.517,1.75
16,74,1.376,22,1.129,1.114,1.444,91,0.99,0.332,0.484,56,1.31,1.222,0.508,52,1.2,1.091,0.592
17,50,0.842,1,0,0.0,0.918,118,2.05,1.892,1.568,83,2.231,2.07,1.344,80,2.095,1.953,1.382
18,37,0.86,39,1.927,1.523,0.804,87,0.0,0.0,2.22,68,1.2,1.073,1.857,67,1.626,1.506,1.63
19,69,1.164,50,2.519,2.443,0.6,90,1.047,0.418,1.63,72,1.851,1.646,0.697,61,1.543,1.443,0.815
20,68,1.217,16,0.798,0.766,3.207,235,3.636,2.35,0.503,62,1.551,1.452,0.518,13,0.09,0.073,2.051
21,62,1.137,30,1.476,1.344,1.047,68,1.79,1.517,1.504,63,1.734,1.547,1.394,49,1.255,1.181,1.9
22,54,1.122,60,2.629,2.214,0.375,400,3.606,2.687,0.219,64,1.743,1.715,0.076,57,1.494,1.475,0.098
23,71,1.193,152,2.243,2.095,0.046,89,1.73,1.499,1.463,57,1.441,1.347,0.085,55,1.221,1.141,0.27
24,76,1.469,94,1.351,1.316,0.621,86,2.412,2.34,0.317,80,2.106,1.911,1.188,64,1.74,1.609,1.411
25,49,1.199,53,2.677,1.916,1.295,77,1.766,1.479,1.593,53,1.159,1.068,1.493,49,1.145,1.069,1.456
26,71,1.427,42,2.113,1.899,0.479,44,1.121,1.093,0.88,37,0.998,0.885,1.276,30,0.808,0.733,1.517
27,39,0.866,320,0.639,0.575,1.123,400,4.16,3.079,1.062,72,1.915,1.79,0.945,69,1.717,1.601,1.061
28,56,0.439,33,1.701,1.59,2.67,104,2.848,2.607,1.572,75,2.1,1.848,0.383,56,1.487,1.43,0.329
29,56,0.812,66,0.194,0.177,0.498,28,0.428,0.365,0.601,31,0.616,0.593,0.475,19,0.378,0.353,0.388
30,89,1.425,32,1.639,1.254,1.828,61,0.573,0.572,1.528,44,1.042,0.875,1.896,39,0.957,0.834,1.936
