row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,75,74.96922154724598,-3.0,-4.0,-2.8191724504468576,,,,,,4.3026924191847575,2.7513328741834586,0.00011946134101265433
,2,movebase,diffusion,True,1,0,0,20,-104.3095682784915,-3.0,-4.0,-0.946047939178823,,,,,,4.373029428773671,2.2934664758100642,0.00019305272178379504
,3,movebase,diffusion,True,1,0,0,57,-109.6165307611227,-3.0,-4.0,-0.6698556438885381,,,,,,0.6661627522208611,2.1783598453303537,0.00010706063446503812
,4,movebase,diffusion,True,1,0,0,87,-126.62171405553818,-3.0,-4.0,1.5736574719636254,,,,,,0.8534930070290601,2.9066304202307673,8.909785252750592e-05
,5,movebase,diffusion,True,0,1,0,48,92.8432829529047,-3.0,-4.0,-1.0911329307120345,,,,,,1.6921900939762708,2.1750617272984987,9.928737989238671e-05
,6,movebase,diffusion,True,0,1,0,43,94.69265605509281,-3.0,-4.0,-0.7205128002756952,,,,,,3.8369453953388244,2.2768117287116576,9.852649879299839e-05
,7,movebase,diffusion,True,0,1,0,43,90.36785055696964,-3.0,-4.0,-1.9130443912966577,,,,,,4.125114431088591,2.790088924855911,9.535106021919076e-05
,8,movebase,diffusion,True,1,0,0,54,-111.42376919090748,-3.0,-4.0,-2.0946597281834904,,,,,,0.6988105517308671,2.8038163212444642,0.0001153188811335913
,9,movebase,diffusion,True,1,0,0,94,-140.60135647654533,-3.0,-4.0,-2.812541765966184,,,,,,1.2124505261659966,3.033270295226017,0.00010231924685538626
,10,movebase,diffusion,True,1,0,0,100,-114.98455899208784,-3.0,-4.0,-2.7372128607006645,,,,,,0.8442514430084492,2.8005636043391675,8.043489997714818e-05
,11,movebase,diffusion,True,1,0,0,112,-122.57346418499947,-3.0,-4.0,-2.7080294221270234,,,,,,1.0539237624387467,3.583265852384722,0.00012975055494893152
,12,movebase,diffusion,True,1,0,0,91,-139.51803901791573,-3.0,-4.0,0.6998976559804269,,,,,,0.8356905933239632,3.3843303068995905,0.00011012676941173767
,13,movebase,diffusion,True,1,0,0,78,-111.7252464145422,-3.0,-4.0,-1.1633713255119063,,,,,,1.2145845724390008,2.0735644037169743,0.00016846824903962406
,14,movebase,diffusion,True,0,1,0,74,85.05654126405716,-3.0,-4.0,0.7680788749484344,,,,,,3.8402858460446914,2.982855518683007,0.00010099515417196192
,15,movebase,diffusion,True,0,1,0,83,73.17165966331959,-3.0,-4.0,-2.6252690160737258,,,,,,1.285037368584522,2.17368373757377,0.0001086720705082858
,16,movebase,diffusion,True,0,1,0,56,87.68136066198349,-3.0,-4.0,-1.8859981311027891,,,,,,2.6461440264956297,2.662676495733871,9.041707688788779e-05
,17,movebase,diffusion,True,0,1,0,83,86.21401785314083,-3.0,-4.0,1.1743508891131202,,,,,,1.8130982523972257,2.834562025247948,9.414302313317102e-05
,18,movebase,diffusion,True,0,1,0,68,86.6591487377882,-3.0,-4.0,0.2974430848208296,,,,,,4.87467334684938,3.3177650474098224,9.522070998234262e-05
,19,movebase,diffusion,True,0,1,0,72,87.5482454225421,-3.0,-4.0,-1.2638857762073583,,,,,,1.3996688418302843,2.9985295402151646,6.303165177108147e-05
,20,movebase,diffusion,True,1,0,0,62,-114.24006815999746,-3.0,-4.0,-0.8453406841370789,,,,,,1.6528051458287902,2.162761597926183,0.00012328048892613013
,21,movebase,diffusion,True,0,1,0,63,93.59611369669437,-3.0,-4.0,-1.4001295473476585,,,,,,3.9214590283119706,2.7646075611354353,0.00015391241206172814
,22,movebase,diffusion,True,1,0,0,64,-114.54027501493692,-3.0,-4.0,-0.4413079841045155,,,,,,2.2676835184735924,2.6468907010317615,7.284257836148235e-05
,23,movebase,diffusion,True,0,1,0,57,86.57641666382551,-3.0,-4.0,-2.13030269989561,,,,,,2.3022863607736714,2.2449948740628343,0.00013021756372802782
,24,movebase,diffusion,True,0,1,0,80,91.34165553748608,-3.0,-4.0,-0.8975338079589346,,,,,,2.760609680040868,2.3877531214935344,9.786025104520416e-05
,25,movebase,diffusion,True,0,1,0,53,89.76754697412252,-3.0,-4.0,-1.540655374339443,,,,,,3.2882056184941257,2.8812433804436965,0.00014627907203868638
,26,movebase,diffusion,True,0,1,0,37,96.2978437691927,-3.0,-4.0,0.5792223325111693,,,,,,3.9085844078638696,2.4615532104108704,0.00011151679105251743
,27,movebase,diffusion,True,1,0,0,72,-111.22209008038044,-3.0,-4.0,1.3540606599395908,,,,,,1.576961972681865,3.025057285942966,9.899998023867957e-05
,28,movebase,diffusion,True,1,0,0,75,-112.83943624794483,-3.0,-4.0,-2.6344565770945096,,,,,,1.1819856087347271,2.161128574183898,0.00010203002253161885
,29,movebase,diffusion,True,1,0,0,31,-113.73673036694527,-3.0,-4.0,2.921271847990139,,,,,,7.893738484408666,2.634104863575185,5.2786684035103956e-05
,30,movebase,diffusion,True,1,0,0,44,-116.0577130317688,-3.0,-4.0,3.0862408130859773,,,,,,5.772620590071979,2.610055925308789,0.00013445625850142098
summary,all,movebase,diffusion,True,,,,,,,,,,-14.90756663059195,0.5,0.5,0.0,2.6031729024868304,2.666692874687013,0.00010949726263451063
