step,ego_x,ego_y,adv_x,adv_y
0,-3.4987936455512787,-2.9915217550842805,-3.421548619007031,-5.165211411735594
1,-3.4969139978568937,-2.9903035018007094,-3.4215451818888964,-5.165209848429053
2,-3.491521496897293,-3.0154872126147487,-3.4215431886923353,-5.1652088443956625
3,-3.487100878720614,-3.04514564898476,-3.411627159084799,-5.155168449914478
4,-3.4839017243136747,-3.0664322050363206,-3.4031743352805273,-5.136466850039693
5,-3.475901832577266,-3.068486237711481,-3.391158457598918,-5.124628186720991
6,-3.4649733064865114,-3.073015418234348,-3.380032845877314,-5.112274432394923
7,-3.4527061974680544,-3.0760333746094766,-3.367699691564973,-5.096589765261898
8,-3.441027267755412,-3.0799335847567564,-3.3591801598669178,-5.079276111100564
9,-3.4271359770098857,-3.0862435005518583,-3.3642161784211777,-5.053606698683847
10,-3.415361018527572,-3.103351235820064,-3.3607460584880036,-5.033937469968645
11,-3.3999469235637823,-3.110128455527376,-3.354605675675875,-5.013986861850115
12,-3.3859997906452968,-3.118554739167182,-3.3508628740053448,-4.989337452194493
13,-3.3735164297493303,-3.1403608377966337,-3.3414485860646974,-4.9655031612541665
14,-3.3584550013286987,-3.153850488942891,-3.333745288405037,-4.94151978895132
15,-3.3405430485257366,-3.165264635732901,-3.332564180385817,-4.914984840940261
16,-3.3241282142079096,-3.179625593038686,-3.328755037658875,-4.887828900629208
17,-3.314964209356476,-3.2040060524905885,-3.32246344441234,-4.860675628144128
18,-3.315471028117762,-3.205874968156814,-3.3174207489355423,-4.832272156199626
19,-3.315463043673076,-3.2058721576896874,-3.3130846998915926,-4.803166801859256
20,-3.315460244451873,-3.2058742835809197,-3.306905316118521,-4.77460076126502
21,-3.315457538456731,-3.2058763772493273,-3.3017455985543154,-4.7458531468032294
22,-3.3154523012270922,-3.205880426141567,-3.292829433197205,-4.688718825111493
23,-3.3007530397139377,-3.2276658920371895,-3.2882563271540506,-4.660160709015838
24,-3.2843069142351062,-3.2445859854607955,-3.2856863977701933,-4.631211387906914
25,-3.2673037524848825,-3.2644868831224025,-3.281018131921814,-4.603064234556164
26,-3.2525703480557646,-3.2851431329349747,-3.2769384563083417,-4.57483219550241
27,-3.2372838791775718,-3.3020530267265125,-3.2746979073219142,-4.545869015321396
28,-3.2286690150678523,-3.3289374140646046,-3.2707045943033726,-4.517032546215019
29,-3.2134471748231532,-3.351344010747707,-3.266737853917062,-4.488020695568062
30,-3.1982845370079005,-3.3730508821875382,-3.2628170222100823,-4.458398132491643
31,-3.187676876324509,-3.3993853029532555,-3.259238610744305,-4.429343314033926
32,-3.1757162267118586,-3.423905502527564,-3.255753466946977,-4.400653912792117
33,-3.160566263600836,-3.4484921377305264,-3.2521492306243993,-4.3710920533550155
34,-3.148464837538003,-3.473307947170738,-3.248687742485331,-4.342346747046341
35,-3.137727704304897,-3.5001041146181313,-3.2451104031363225,-4.313563624151669
36,-3.1244208179739132,-3.5248774428813396,-3.241720234796564,-4.284033168068633
37,-3.1118248160987707,-3.5510541432848464,-3.238416320135548,-4.255238210637635
38,-3.101754085500128,-3.578037368448632,-3.235859066193985,-4.227162047342287
39,-3.1019987000583367,-3.5793233429875237,-3.2333083849587068,-4.197308718574062
40,-3.1019960677054668,-3.579328257137963,-3.2302413197824875,-4.1679460697641115
41,-3.101978125877727,-3.5792998896795116,-3.227913948480811,-4.140144170217512
42,-3.102017653195034,-3.5792597492642035,-3.221890289303249,-4.080383253208557
43,-3.0901556803798864,-3.603209470960657,-3.2190436171751964,-4.051463414347033
44,-3.078500591208846,-3.630023242503457,-3.2160416808334644,-4.021341520174234
45,-3.069381849341854,-3.657773544727124,-3.2129809261757183,-3.991518509145357
46,-3.053027458161138,-3.683403207723251,-3.211287212007584,-3.9627426792113383
47,-3.029597310078988,-3.7089149953527545,-3.2061159226260134,-3.933745837752499
