step,ego_x,ego_y,adv_x,adv_y
0,-1.9113658982367756,-2.736245038796848,-4.487722548789728,-2.9534105014919687
1,-1.9113658202025996,-2.7362445566767777,-4.4715745036349706,-2.9305265220864802
2,-1.9113657394983323,-2.7362440743987997,-4.457925908392771,-2.906203157354375
3,-1.9113656579699694,-2.7362435917713657,-4.444594329482006,-2.884926233241939
4,-1.91136557574344,-2.7362431088551054,-4.429041881539061,-2.8629410704152267
5,-1.9113654929184265,-2.7362426257029187,-4.413956996843531,-2.8405756869846446
6,-1.9113654095809256,-2.7362421423596635,-4.4259505792105305,-2.8601439911670723
7,-1.91136532580514,-2.7362416588632907,-4.432413450758664,-2.882278353031296
8,-1.9113652416550606,-2.73624117524581,-4.435561616052394,-2.9024800851737944
9,-1.9113651804467864,-2.736240719824171,-4.441195332851473,-2.9135308176779193
10,-1.9113651055606662,-2.7362402699147137,-4.440383052081287,-2.935362143786767
11,-1.9113650303268905,-2.7362398198729934,-4.442838108827238,-2.9584663796939075
12,-1.9113649548348863,-2.7362393697085423,-4.441428038340345,-2.9845123872246857
13,-1.9113648791187394,-2.7362389194369707,-4.4403122940209485,-3.002301691659575
14,-1.911364727127473,-2.7362380186249946,-4.440211067116339,-3.0233477747965347
15,-1.9255377267334564,-2.748906424807298,-4.440441957955951,-3.0304614193114294
16,-1.9486359506005055,-2.763527508651627,-4.437612820235552,-3.044086469770268
17,-1.960896057750332,-2.7712110905735883,-4.433550665769177,-3.070348120353595
18,-1.9657416797220633,-2.772962209748642,-4.428986857940169,-3.0970787513909825
19,-1.9721493257049196,-2.777745869748883,-4.421967612514205,-3.112795185010986
20,-1.9755532204234358,-2.78337013884821,-4.408580804623851,-3.122955825057487
21,-1.9858394015656606,-2.790392182370175,-4.391727974621657,-3.1356673303674296
22,-2.008737400070468,-2.802629039923332,-4.374954308880053,-3.149758235374128
23,-2.023740271979583,-2.8064717001521284,-4.359276788449951,-3.16469716368054
24,-2.033438971984178,-2.8007459242945996,-4.353587023744239,-3.1907963304336633
25,-2.0396032968156734,-2.798303083523718,-4.347267802250685,-3.2171891665451793
26,-2.0395315296223484,-2.7984063755917354,-4.332920913851073,-3.2331404469008804
27,-2.0393148416914064,-2.798558006533057,-4.315732625119795,-3.254971387389797
28,-2.0390589053358488,-2.7987226769403213,-4.298532991249835,-3.2763751164370856
29,-2.0388392748453104,-2.798852287098533,-4.283322237497113,-3.29283146654458
30,-2.0386080350965865,-2.798989190297596,-4.269187556447371,-3.3132488711532875
31,-2.03837929297108,-2.799143476375908,-4.25441333520318,-3.3360123922836182
32,-2.0381177264368824,-2.799281142806193,-4.241419090827838,-3.3580245405439877
33,-2.0379807010101256,-2.799368933286637,-4.235880285693441,-3.3835546284674254
34,-2.0379806293457157,-2.799370525271058,-4.232997543077285,-3.4115537969145806
35,-2.0379798563610283,-2.7993711485929356,-4.221957620036245,-3.4367472506047183
36,-2.0379785926733254,-2.799372144064289,-4.201723791523379,-3.4914383626872554
37,-2.0522273987563966,-2.7961726061996766,-4.191297597637752,-3.5167623070017258
38,-2.0746509891440557,-2.796977774012501,-4.179482034355319,-3.5441360292221766
39,-2.0997347381639107,-2.8038308491944037,-4.16877360928583,-3.5703461405628323
40,-2.116943064382361,-2.798602047994528,-4.157728893975864,-3.5950382538026524
41,-2.1411631459688008,-2.792014720112662,-4.147482372487877,-3.6213944093135995
42,-2.162219692324682,-2.7898673384437074,-4.136688405775216,-3.649455081414344
43,-2.181645327514059,-2.785017134686049,-4.126208117318072,-3.6741315996510617
44,-2.201816998993688,-2.783189363820982,-4.116962390065993,-3.7000984145681857
45,-2.2273480080405417,-2.7850253401495006,-4.107788197603284,-3.7285674919934553
46,-2.2540160896499915,-2.7882060056576297,-4.09886069850845,-3.754891812192331
47,-2.2768814154162307,-2.7935828406016054,-4.090458313868811,-3.780422866664213
48,-2.3015225077208132,-2.8071330246717614,-4.08308555152861,-3.8084899323650787
49,-2.327596221969305,-2.813772087445266,-4.075084785307066,-3.837055753669307
50,-2.3283394108526756,-2.8133087005775916,-4.069175379625683,-3.864116498188218
51,-2.328343560730398,-2.8133086928984845,-4.066809286211012,-3.8918071623106987
52,-2.32834750636666,-2.8133085799032616,-4.062740327071951,-3.9169895013929
53,-2.328351157032971,-2.813308486958679,-4.0579501417704185,-3.9393340928011695
54,-2.32835455674289,-2.813308411809032,-4.057384303873211,-3.9591642520957153
55,-2.3283577432586795,-2.813308351832431,-4.0532092971775375,-3.9559624199683534
56,-2.3283607486496964,-2.813308304786688,-4.0480436961217805,-3.9529900249121614
