step,ego_x,ego_y,adv_x,adv_y
0,-1.9055364960180794,-2.7064310005914893,-4.487717388550384,-2.9533987281078824
1,-1.9040041863099346,-2.696541339407663,-4.487717087409261,-2.9533979509104347
2,-1.9074595494483557,-2.700161728432127,-4.487716783717556,-2.9533971753156134
3,-1.929903833452136,-2.7071381522439797,-4.487716479399746,-2.953396400445091
4,-1.9607576980454269,-2.716222103112384,-4.487716174554947,-2.9533956262182905
5,-1.9704845365270518,-2.7272283443797165,-4.487715869257961,-2.953394852567617
6,-1.9720084973027596,-2.7255654980334345,-4.487715563573031,-2.9533940794324156
7,-1.9760206159567801,-2.7233230177840744,-4.48771525755537,-2.9533933067582323
8,-1.9833896576218681,-2.726715571761815,-4.487714951252404,-2.953392534496181
9,-1.9868595051978781,-2.7306706249261983,-4.487714644704848,-2.9533917626023722
10,-1.9901449051321032,-2.7290691906979774,-4.487714031010766,-2.953390219765911
11,-1.9913992129868556,-2.7297332845996087,-4.487713723919884,-2.9533894487561323
12,-1.9912762919170572,-2.7318995264439456,-4.487713416696999,-2.9533886779795626
13,-1.9942303815929925,-2.734753581235513,-4.487713109360941,-2.9533879074106095
14,-2.014279234626143,-2.74397465364573,-4.487712801927812,-2.953387137026296
15,-2.0369456380944135,-2.756129568486553,-4.4877124944113795,-2.9533863668059936
16,-2.0491042715429235,-2.7540260174529063,-4.4877121868233925,-2.953385596731186
17,-2.0607214018872497,-2.7500160990038864,-4.487711879173876,-2.9533848267852476
18,-2.0744277652244265,-2.745838939255111,-4.48771157583667,-2.953384092459334
19,-2.092506552620701,-2.741363955768199,-4.48771133200972,-2.9533834909550314
20,-2.1122154058024525,-2.7381448879712225,-4.487711089275664,-2.953382887691935
21,-2.1325796043725562,-2.7353735669329575,-4.4877108465540845,-2.953382284337713
22,-2.155202217385221,-2.7385874715843754,-4.487710603840759,-2.9533816809065114
23,-2.179011137920346,-2.7500457847054136,-4.469880274165665,-2.939292031159323
24,-2.2032028606345286,-2.7500098177539596,-4.458979711713065,-2.929663247822064
25,-2.229215639703525,-2.749875881452231,-4.4503826578265056,-2.9227049242826024
26,-2.2589738099462093,-2.751336504872984,-4.437125183147839,-2.91317212151072
27,-2.2845563785205236,-2.7547172603715206,-4.419481361085467,-2.898835823309927
28,-2.3085187543587,-2.7566957973758157,-4.403363453408496,-2.883935176344631
29,-2.3357228475207465,-2.760294973921263,-4.394566670660065,-2.875075194905128
30,-2.3408686903087417,-2.761324320754111,-4.377758438770849,-2.870048709189646
31,-2.3414853557665825,-2.7614138133650474,-4.340913162215634,-2.85728832610401
32,-2.342780464318848,-2.7616065816860482,-4.322658956175548,-2.850555346241896
33,-2.3712219563781987,-2.7666160520008924,-4.296557541476734,-2.8397670748384916
34,-2.3958300050880927,-2.7740875182171987,-4.275053366235399,-2.82993405350494
35,-2.420937163670133,-2.7874794430371383,-4.256012835100796,-2.820942777957719
36,-2.446485592001564,-2.7974676050386913,-4.2317885473493275,-2.813656387714209
37,-2.474226009435719,-2.8039893553000796,-4.206429611606899,-2.8064588355303774
38,-2.501355028431923,-2.8121444929112336,-4.182827677095344,-2.802552708192533
39,-2.529201862111505,-2.819694602520724,-4.156867933300104,-2.805295606330333
40,-2.556511514810522,-2.82735522071379,-4.127879399152284,-2.8051083239030183
41,-2.58437277143769,-2.8371630008973154,-4.100355891634255,-2.799553068511111
42,-2.6112642652953273,-2.8453099472738304,-4.070873612959075,-2.796103577423596
43,-2.637828984857679,-2.853565431625943,-4.041837007627352,-2.795213277358332
44,-2.667015206924498,-2.8631463479970987,-4.014518279991324,-2.7906743674192658
45,-2.693942654760214,-2.8743928510110432,-3.984820914542965,-2.7864193194537408
46,-2.719323029521078,-2.8831712112103847,-3.956650922560674,-2.782743674572866
47,-2.746457425111463,-2.895079355265424,-3.929658464499994,-2.7785101250530992
48,-2.774233526391065,-2.9060425101039074,-3.900228875853778,-2.776105155676578
49,-2.7994473795098815,-2.915257354889363,-3.8706119183476972,-2.7722822484152982
50,-2.8260427647613215,-2.927264165402286,-3.842148853924361,-2.768244355876312
51,-2.853425052512802,-2.940329864792265,-3.812488536453432,-2.76494893788925
