step,ego_x,ego_y,adv_x,adv_y
0,-1.5323962872183003,-3.4200819025780396,-3.7403012579084165,-4.208997421160854
1,-1.5631697111767011,-3.4163498156195176,-3.740301606939166,-4.208998178633971
2,-1.592329660195754,-3.4127375872473427,-3.740301956676962,-4.2089989352813335
3,-1.6222920828736178,-3.409069724306135,-3.740302306939901,-4.208999691233422
4,-1.6534706517976057,-3.4052123286820106,-3.740302657651875,-4.209000446564934
5,-1.678370829893326,-3.3996261208629077,-3.740303008748101,-4.209001201342443
6,-1.7038549536502252,-3.3902751209967272,-3.740303360173018,-4.209001955625549
7,-1.730586226389557,-3.3826989239120278,-3.740303711878998,-4.2090027094676
8,-1.7573635713197902,-3.3748055716926837,-3.7403040638252416,-4.209003462916353
9,-1.7815136697628975,-3.360214805196949,-3.7403044159768193,-4.209004216014566
10,-1.8063905302365595,-3.345317924130927,-3.740304768303847,-4.209004968800525
11,-1.8330123522743256,-3.3352886353611084,-3.740305120780779,-4.209005721308509
12,-1.8356663407778395,-3.3356618907615356,-3.7403054733857948,-4.209006473569209
13,-1.8357950103951177,-3.3357191326859077,-3.7403061789083276,-4.20900797745584
14,-1.8617536301747237,-3.325757477305146,-3.7403065317964437,-4.2090087291284295
15,-1.8869448407900755,-3.312905404372627,-3.740306884753109,-4.2090094806476275
16,-1.9127372569055192,-3.303199617732394,-3.740307237768541,-4.209010232031125
17,-1.9412439176072886,-3.292176229036393,-3.7403075908344388,-4.209010983294759
18,-1.9655928909350187,-3.277330662275126,-3.74030789620736,-4.209011588744575
19,-1.991938498555375,-3.2667015034432674,-3.7403081740739728,-4.209012177443264
20,-2.020013914872866,-3.254947832863428,-3.7403084519606056,-4.209012766227853
21,-2.0470643399664024,-3.2423300049455013,-3.740308729887424,-4.209013355074565
22,-2.073076101507786,-3.231386252074888,-3.74030900784904,-4.20901394397445
23,-2.100620771473941,-3.219066319980768,-3.740309284354051,-4.209014517282144
24,-2.1284081229570933,-3.207087050411654,-3.7230892543371756,-4.188735909539259
25,-2.152675456325234,-3.1963911445853883,-3.7042285415249663,-4.167699250857496
26,-2.1787579620151654,-3.1836336447715374,-3.6950945796425527,-4.149465153307936
27,-2.2064896867447827,-3.169616916204175,-3.680550671892589,-4.130887450069443
28,-2.2310187921282902,-3.1572102595356437,-3.6628621198036266,-4.108770924833918
29,-2.2569869487785486,-3.1439376919204975,-3.655884618793889,-4.088542029762442
30,-2.2839971325123156,-3.1301976210659324,-3.6484090694634386,-4.064278959135508
31,-2.309907643912351,-3.1169805040371092,-3.6416404781230454,-4.040165804384724
32,-2.335332654703744,-3.103415930320494,-3.6353659573203214,-4.024799711586295
33,-2.3369351413535804,-3.1023522514268373,-3.629365365427468,-4.010849888948515
34,-2.3369751752883703,-3.1023488882818433,-3.6167564950152085,-3.9934865702427693
35,-2.336976161051975,-3.102349073734451,-3.5974484615521347,-3.9732154682099803
36,-2.3369771573819067,-3.102348549696953,-3.583006275459987,-3.9424579055475366
37,-2.3632549125700937,-3.087374792058719,-3.585080110698977,-3.925266429933403
38,-2.3899816645821086,-3.0734410505939396,-3.588703743014237,-3.9093865809956307
39,-2.415769047564797,-3.0592746670297526,-3.5903472660172406,-3.8955115538173852
40,-2.442336086025023,-3.04490816036647,-3.587708118115046,-3.8873638712875858
41,-2.4688361794688998,-3.0309126935682236,-3.5811048891163555,-3.8795702115548396
42,-2.494429535985924,-3.0168340607552433,-3.5790507989360236,-3.8732214718322875
43,-2.5200634512453197,-3.002594735721042,-3.5758177318191424,-3.8701648487627196
44,-2.5454484671760667,-2.9885405673913814,-3.5697651619953996,-3.8684317760166764
45,-2.5704188318677397,-2.972346158316297,-3.5592614988719613,-3.8640968139185006
46,-2.594228676356746,-2.955038380610269,-3.5488508602337068,-3.864591213987523
47,-2.6183061880523106,-2.939513311848538,-3.5342985841373533,-3.8656544576968948
48,-2.644214227396819,-2.923992944956251,-3.522927580173,-3.8672572751133183
49,-2.669380555021567,-2.9089770388793217,-3.5061076186402764,-3.8691514730219487
50,-2.694411049843214,-2.894377789749636,-3.4908041733045945,-3.86847291664614
51,-2.720431250943802,-2.8787657621531535,-3.4748355717767536,-3.8661126183933194
52,-2.7440218323831465,-2.861044694412444,-3.457277625177539,-3.8636516172214357
53,-2.76774685057743,-2.8456845031804208,-3.435026650433865,-3.859248692526527
54,-2.7678454347719175,-2.8457012611095536,-3.416402018743252,-3.846131955996351
55,-2.7678448095486035,-2.8457016979284004,-3.3977036841788486,-3.841722616298908
56,-2.7678438383239454,-2.845702550839689,-3.3600345968459213,-3.8279618789406644
57,-2.793837215144494,-2.832944302262553,-3.338568986988113,-3.8191418712314125
58,-2.819190713150356,-2.8173206951209497,-3.319241118257955,-3.809494843003034
