step,ego_x,ego_y,adv_x,adv_y
0,-1.502347392595293,-3.4237947047876744,-3.740295952440715,-4.208988590244376
1,-1.5023484600519295,-3.423794597573229,-3.753332699784334,-4.259570464147875
2,-1.5023495270157856,-3.423794488133253,-3.763705784690779,-4.307443344478846
3,-1.5023505936618236,-3.4237943782586178,-3.776143064175883,-4.356147723250347
4,-1.502351660024363,-3.4237942680242206,-3.7820473393361222,-4.406088709148482
5,-1.502352726133691,-3.4237941574808275,-3.7895916775375844,-4.453220651270875
6,-1.5023537920174992,-3.4237940466719383,-3.7960549393047938,-4.502972124445697
7,-1.5023548577010621,-3.4237939356349143,-3.8003948637128557,-4.549789487890948
8,-1.5023567401279514,-3.423793813610229,-3.796358471183512,-4.648948957582382
9,-1.5307221368991015,-3.416655858839619,-3.7900561917531492,-4.698432395130622
10,-1.5601434025490368,-3.4115902036263153,-3.7733578716992655,-4.746580569702919
11,-1.5857826644670219,-3.405497246613493,-3.7607255171145844,-4.794593084188914
12,-1.6129979557978738,-3.3983072550963174,-3.747651823538671,-4.841976719506464
13,-1.6400800032280312,-3.3915234714472096,-3.733731229579668,-4.890903523959837
14,-1.6677445583198716,-3.38309718017056,-3.721376055582906,-4.935708679626465
15,-1.6930714760863557,-3.369116493981815,-3.703459593628208,-4.984029226282749
16,-1.7178669926435157,-3.355852324797917,-3.687597187551189,-5.026783323187408
17,-1.7451106213115422,-3.3464384037576687,-3.6643671259358985,-5.071700536717842
18,-1.7720875413807124,-3.3351241658257376,-3.6367205128749385,-5.111460131084644
19,-1.79717554678895,-3.321894185879928,-3.607467221120937,-5.15342458704224
20,-1.823408207398475,-3.3113857880765667,-3.572928984349326,-5.189729379023754
21,-1.8513133225818215,-3.2993150188678824,-3.5411860695684343,-5.227880188252762
22,-1.8764835827739288,-3.2869678542917757,-3.5045983956637383,-5.262705857326215
23,-1.8763202618204848,-3.2874303944064613,-3.470893688718156,-5.296626617625165
24,-1.8759298522851233,-3.287879219570558,-3.4348053270727106,-5.33019486234568
25,-1.8755878854224162,-3.2882499087293873,-3.395716786041675,-5.360334755962306
26,-1.875191958429431,-3.2886591400546528,-3.352472204371931,-5.386260258149232
27,-1.874881335391368,-3.2889936260295407,-3.306043917251403,-5.406625844946548
