step,ego_x,ego_y,adv_x,adv_y
0,-4.0363658258428385,-3.4112446172442854,-6.612722283968384,-3.6284098638139115
1,-4.036365745989615,-3.4112441351216596,-6.612721867590248,-3.628408854396921
2,-4.0363656650341815,-3.4112436526396475,-6.612721449925036,-3.628407844021646
3,-4.036365583306339,-3.4112431698359984,-6.612721031285076,-3.628406832767549
4,-4.036365500916367,-3.4112426867683774,-6.612720611808186,-3.6284058207517482
5,-4.036365417958451,-3.4112422034859025,-6.612878578918436,-3.6285225201204097
6,-4.036365334513904,-3.411241720030176,-6.612964495208501,-3.6286912954417603
7,-4.0363652506529055,-3.4112412364363514,-6.6130335513447065,-3.6288496093253757
8,-4.036365180115722,-3.4112407608561495,-6.611807901422841,-3.629317213598356
9,-4.036365106704933,-3.4112403107910425,-6.61121626456737,-3.6293759308921314
10,-4.036365031636161,-3.411239860789675,-6.61018737866272,-3.629642341667018
11,-4.036364956281809,-3.411239410657394,-6.609186633815625,-3.6299056448321205
12,-4.036364880684462,-3.4112389604100506,-6.607822832997682,-3.6303209979671616
13,-4.03636480487596,-3.411238510062278,-6.606459416449048,-3.6307772168758397
14,-4.0363647288839175,-3.4112380596267737,-6.604836777795734,-3.6314813782008177
15,-4.036364653451673,-3.4112376139038525,-6.60326284530987,-3.632271368186067
16,-4.036364596858567,-3.4112372545658216,-6.601512099569953,-3.633341487753242
17,-4.0363645385297,-3.4112368928829593,-6.599845751603251,-3.634561981054246
18,-4.03636448022259,-3.4112365306530212,-6.598088342128866,-3.6361442912307083
19,-4.036364421937646,-3.411236167946796,-6.596468602068296,-3.6379870101797773
20,-4.036364362612982,-3.411235832455018,-6.590559320444543,-3.6370686612928096
21,-4.036364248126356,-3.41123515450697,-6.564335283799227,-3.636076580424163
22,-4.036364192347573,-3.411234819820648,-6.563650675718524,-3.6384775558983424
23,-4.036364133746094,-3.411234480700159,-6.551445416780297,-3.640260531397309
24,-4.036364076992931,-3.4112341407938755,-6.549678271766211,-3.643965783139907
25,-4.03636402219758,-3.4112338053815394,-6.5211945239658835,-3.6449854015173355
26,-4.036363963360979,-3.411233465861081,-6.522602614525542,-3.64591648206558
27,-4.036363906258772,-3.41123312562872,-6.5253921621225075,-3.6474851112021685
28,-4.03636385393768,-3.4112328461372416,-6.526753892205383,-3.648696221641081
29,-4.03636380026059,-3.4112325643198513,-6.527606969942061,-3.6499775111200625
30,-4.036363746519548,-3.411232282586907,-6.528454617598822,-3.6516037574833895
31,-4.036363692721185,-3.4112320009287664,-6.529192429564104,-3.653473492099914
32,-4.0363636384501715,-3.4112316798320608,-6.527231133957069,-3.6551958383347722
33,-4.0363635796417,-3.4112313403323578,-6.517198027226316,-3.656059169072984
34,-4.03636352257113,-3.4112310001160644,-6.501318834275793,-3.657451867453334
35,-4.036363469265401,-3.4112307036138616,-6.475958142072647,-3.6580952098585
36,-4.0363634155998,-3.4112304217634373,-6.455839784216723,-3.6571393044481133
37,-4.0363633618726205,-3.411230139998069,-6.430706792521597,-3.6594726468917176
38,-4.036363308086342,-3.4112298583097878,-6.416113189232386,-3.6606040392748316
39,-4.036363252507118,-3.411229550858079,-6.383339776706447,-3.667581949482834
40,-4.036363195626262,-3.411229210722046,-6.3739291034023395,-3.668748275569429
41,-4.036363141161255,-3.411228875028008,-6.362919171541185,-3.6706094430143756
42,-4.036363084602038,-3.411228560981167,-6.345760717293564,-3.6745079404538292
43,-4.036363030918216,-3.411228279121417,-6.337699652039153,-3.674543014966791
44,-4.036362977205562,-3.411227997322286,-6.33474276159768,-3.6745944122617553
45,-4.036362923431976,-3.4112277156026356,-6.332252771862146,-3.674714896901392
46,-4.0363628139567025,-3.4112270855720763,-6.327096957618002,-3.675257381970754
47,-4.036362755103875,-3.411226745989021,-6.324932627836664,-3.67567783021992
48,-4.036362700343353,-3.4112264178383995,-6.316005307827569,-3.6769053689097078
49,-4.036362646215996,-3.4112261363899115,-6.311884731768884,-3.677486047909737
50,-4.036362592518286,-3.41122585455589,-6.308572414806801,-3.678324060307907
51,-4.036362538757881,-3.4112255728038128,-6.298535755254658,-3.6804120400450775
52,-4.0363624849416855,-3.411225291124206,-6.295988435726645,-3.680442142245322
53,-4.036362427983402,-3.4112249563928225,-6.294772500296221,-3.6804942367467617
54,-4.0363623709887815,-3.4112246162034836,-6.294647034331644,-3.6800623834225417
55,-4.03636231661995,-3.4112242803996335,-6.2925220630340055,-3.680194947966882
56,-4.036362261493408,-3.4112239935659314,-6.2925077027907035,-3.680231160969221
57,-4.036362207810404,-3.411223711696161,-6.292632502147288,-3.680355215392295
58,-4.036362154063631,-3.4112234299106587,-6.2928488268396565,-3.6805313360819647
59,-4.03636210025928,-3.411223148199913,-6.29009392669555,-3.6812137258892657
60,-4.036362046145763,-3.411222830448585,-6.283957189000591,-3.682522855892812
61,-4.036361987334106,-3.4112224908879,-6.276262843200467,-3.6838038158727042
62,-4.036361930259994,-3.411222150611702,-6.2706048766974885,-3.684767226393392
63,-4.0363618767502905,-3.4112218506537717,-6.2649917433080855,-3.685594683850333
64,-4.036361823077596,-3.411221568749303,-6.259560150105455,-3.686290494730342
65,-4.036361769345644,-3.4112212869283987,-6.253894863150046,-3.68685135554634
66,-4.036361715554196,-3.4112210051847236,-6.2481605249641685,-3.6874300879688864
67,-4.036361660106586,-3.4112207011011737,-6.242706461709015,-3.6879943265022415
68,-4.03636160325845,-3.4112203608768406,-6.237966617619603,-3.6886444638635685
69,-4.036361548766441,-3.4112200251247407,-6.236974212673711,-3.688793724027289
70,-4.036361492041743,-3.4112197075916906,-6.235658492646433,-3.6889258631570887
71,-4.036361384607962,-3.4112191438432937,-6.230093121242726,-3.6895442478281106
72,-4.03636133082944,-3.4112188620662844,-6.226702745124819,-3.6899033389317655
73,-4.036361277080938,-3.411218576064774,-6.223309344328727,-3.690465135171397
74,-4.036361219498835,-3.411218235355168,-6.2200409746427905,-3.6915162463423195
75,-4.036361162475658,-3.411217895096107,-6.217805592173864,-3.6926791334384657
76,-4.036361108299776,-3.4112175634085538,-6.215679854571906,-3.69509242998686
77,-4.0363610535471555,-3.4112172825581406,-6.215065415640319,-3.6967284965507883
78,-4.036360999845668,-3.4112170006638296,-6.211676188523498,-3.697876233514731
79,-4.036360946081036,-3.4112167188518328,-6.213332133120202,-3.697768732114028
80,-4.036360892260081,-3.4112164371126434,-6.214629146844288,-3.6976545349497134
81,-4.0363608376254145,-3.411216109093324,-6.215811127551094,-3.697636794021637
82,-4.036360778783629,-3.411215769461627,-6.216891929097388,-3.6978470278900906
83,-4.036360721683117,-3.411215429115399,-6.217814017074011,-3.698316807226614
84,-4.03636066874594,-3.4112151393177044,-6.21886960950009,-3.6990255270667234
85,-4.036360615059361,-3.4112148573849534,-6.219483031495192,-3.7000404270698306
86,-4.036360561309319,-3.411214575536682,-6.2201371513221755,-3.7015704043255453
87,-4.0363605075010325,-3.41121429376369,-6.220853869363956,-3.7032313162091492
88,-4.0363604516217615,-3.4112139787587363,-6.214456275885833,-3.707524745781931
89,-4.036360396945273,-3.4112136430891296,-6.2124474770439955,-3.710793711306035
90,-4.036360338051258,-3.411213303362239,-6.204935145692967,-3.722451012635077
91,-4.036360283932929,-3.4112129959669653,-6.193872120247037,-3.7325811540229124
92,-4.036360230248971,-3.4112127140035557,-6.1621556424723805,-3.7520854248965736
93,-4.036360176514107,-3.4112124321178623,-6.138507081611686,-3.776115324309331
94,-4.0363601227190165,-3.41121215031002,-6.134758056936268,-3.783864735767529
95,-4.036360067441502,-3.4112118531150246,-6.102953867464903,-3.8203429503485546
96,-4.036359956240172,-3.411211176874886,-6.058789313819009,-3.8673447911253214
97,-4.0363598992832825,-3.4112108523321907,-6.059019432879627,-3.867621439569394
