step,ego_x,ego_y,adv_x,adv_y
0,-4.036367527594055,-3.411247491523726,-6.61272339229495,-3.628410285002859
1,-4.036367356259008,-3.411246692597533,-6.582366699602386,-3.586673958180219
2,-4.036367056524005,-3.41124520169349,-6.553404500209512,-3.548180322723014
3,-4.036366927406425,-3.4112445480191496,-6.492507031370374,-3.469521102806589
4,-4.036366799148733,-3.4112438962654794,-6.4603333360198185,-3.434184203235604
5,-4.036366673885715,-3.411243271696054,-6.421549794748372,-3.401203080576957
6,-4.036366570532345,-3.4112427540809374,-6.385024918622921,-3.3706426606455175
7,-4.036366466453381,-3.4112422518293086,-6.345454116824797,-3.3412570227698235
8,-4.036366363177315,-3.4112417500875774,-6.305445832989026,-3.3139608037480057
9,-4.036366260619913,-3.4112412488009007,-6.261772767618203,-3.2903007478668966
10,-4.036366158704313,-3.411240747920038,-6.21740491333934,-3.267849351343578
11,-4.0363660573618505,-3.4112402474009684,-6.1727858014817505,-3.2455562871457824
12,-4.036365956531184,-3.4112397472043288,-6.127938797171562,-3.2265526264744793
13,-4.036365856157512,-3.411239247294921,-6.081068083755109,-3.208551198638669
14,-4.036365756191885,-3.411238747641278,-6.0385349088151274,-3.190774482294212
15,-4.036365656590564,-3.411238248215261,-5.988849151451585,-3.1776952763239352
16,-4.036365557314484,-3.41123774899171,-5.94514726059331,-3.1646518795014913
17,-4.036365458328745,-3.4112372499481305,-5.8943503639226,-3.1585064914211904
18,-4.036365359602165,-3.411236751064407,-5.846488269596849,-3.1546834137464246
19,-4.0363652611068925,-3.411236252322554,-5.796734544359411,-3.147395337306635
20,-4.036365162818045,-3.4112357537064875,-5.747452900573259,-3.144572515294429
21,-4.036365064713394,-3.4112352552018295,-5.697965732399608,-3.140810637094506
22,-4.036364966773082,-3.411234756795718,-5.648178207156962,-3.1379424180198656
23,-4.036364868979369,-3.4112342584766573,-5.598643323831338,-3.1357547036275224
24,-4.036364771316406,-3.4112337602343645,-5.5486762072033216,-3.135901268940423
25,-4.0363646737700405,-3.4112332620596453,-5.499452632271768,-3.1356682506632843
26,-4.03636457632762,-3.411232763944281,-5.450606416814424,-3.135108754384649
27,-4.03636447897785,-3.411232265880919,-5.400392634245891,-3.1363942704222896
28,-4.036364381710635,-3.4112317678629847,-5.35167252843064,-3.136807056499329
29,-4.036364284516963,-3.411231269884599,-5.300870089117568,-3.138685374711441
30,-4.036364187388774,-3.4112307719405046,-5.25264618354866,-3.1395685606306802
31,-4.036364090318872,-3.4112302740260048,-5.201775297839797,-3.1423164917179074
32,-4.036363993300834,-3.411229776136893,-5.153542543444934,-3.1449641316397274
33,-4.036363799397979,-3.411228780420192,-5.103123383065066,-3.149654997612755
34,-4.036363702503452,-3.4112282825862374,-5.0045460426107615,-3.160881937075204
35,-4.036363605641234,-3.4112277847648547,-4.955297392825388,-3.1660787941837127
36,-4.036363508807671,-3.411227286953641,-4.905178549632275,-3.1717543231083565
37,-4.036363411999496,-3.411226789150446,-4.856536841055345,-3.180470874853292
38,-4.036363315213787,-3.411226291353346,-4.807395349230496,-3.18731045467385
39,-4.0363632184479386,-3.411225793560623,-4.758688337487419,-3.196532631538113
40,-4.0363631216996225,-3.4112252957707367,-4.70943639092806,-3.203953152097652
41,-4.036363024966755,-3.4112247979823125,-4.660379573150756,-3.2120664845468276
42,-4.036362928247475,-3.4112243001941214,-4.611264905585949,-3.2204356595373
43,-4.036362831540127,-3.411223802405062,-4.563010874003899,-3.230826280718072
44,-4.036362734843227,-3.4112233046141527,-4.513939412249248,-3.2409465691284827
45,-4.036362638155445,-3.411222806820512,-4.4663073786920355,-3.2519093565148167
46,-4.036362541475603,-3.4112223090233518,-4.464460373239551,-3.251132877532324
47,-4.036362444802638,-3.41122181122197,-4.464460856470141,-3.251132856360337
48,-4.036362348135608,-3.411221313415736,-4.464460871443631,-3.2511327473773464
49,-4.03636225147367,-3.411220815604086,-4.464460846500037,-3.251132650062729
50,-4.03636215481607,-3.411220317786517,-4.464460787903982,-3.251132564436521
51,-4.0363620581621324,-3.411219819962579,-4.464460700724676,-3.251132488748561
52,-4.036361961511254,-3.4112193221318687,-4.464460589266792,-3.2511324215028234
53,-4.0363618648629,-3.411218824294024,-4.464460457186905,-3.2511323614283225
54,-4.036361768216588,-3.411218326448725,-4.464460307591025,-3.2511323074453324
55,-4.036361574928424,-3.4112173307346367,-4.46446010868411,-3.251132346698959
56,-4.036361478285846,-3.4112168328653603,-4.464459571302754,-3.25113252962848
57,-4.036361381643848,-3.4112163349876443,-4.464459256937392,-3.2511325782320633
58,-4.036361285002163,-3.411215837101305,-4.464458916746859,-3.251132573443618
59,-4.036361188360542,-3.411215339206177,-4.464458563394104,-3.251132686513155
60,-4.036361091718766,-3.4112148413021104,-4.464458184481797,-3.251132789485546
61,-4.036360995076642,-3.4112143433889752,-4.464457797237095,-3.2511328504060213
62,-4.036360898433995,-3.411213845466651,-4.464457405339884,-3.2511329126842177
63,-4.036360801790673,-3.4112133475350355,-4.464457009520242,-3.251132976148154
64,-4.036360705146533,-3.4112128495940315,-4.464456610388696,-3.2511330406130345
65,-4.036360608501453,-3.411212351643553,-4.464456208460313,-3.2511331059228548
66,-4.036360511855321,-3.411211853683526,-4.464455804169651,-3.25113317194599
67,-4.03636041520804,-3.411211355713882,-4.46445539788334,-3.251133238571397
68,-4.03636031855952,-3.4112108577345603,-4.464454989910687,-3.251133305705389
69,-4.036360221909679,-3.4112103597455072,-4.464454580512657,-3.2511333732689227
70,-4.036360125258453,-3.4112098617466726,-4.4644541699094225,-3.2511334411953143
71,-4.036360028605772,-3.4112093637380143,-4.464453758286733,-3.251133509428302
72,-4.036359931951585,-3.411208865719494,-4.464453345801311,-3.2511335779204176
73,-4.036359835295839,-3.4112083676910747,-4.464452932585375,-3.2511336466316165
74,-4.036359738638488,-3.4112078696527255,-4.464452518750478,-3.2511337155281104
75,-4.0363596419794945,-3.4112073716044193,-4.464452104390737,-3.251133784581396
76,-4.03635954531882,-3.4112068735461265,-4.464451689585561,-3.251133853767423
77,-4.036359448656436,-3.411206375477829,-4.464451274401942,-3.251133923065901
78,-4.036359255326418,-3.411205379311138,-4.464450443116648,-3.251134061934412
79,-4.036359158658738,-3.4112048812127105,-4.464450027102899,-3.2511341314778175
80,-4.036359061989246,-3.4112043831042076,-4.464449610889114,-3.251134201079647
81,-4.036358965317926,-3.4112038849856177,-4.464449194503934,-3.251134270731227
82,-4.036358868644763,-3.4112033868569287,-4.464448777971525,-3.2511343404252377
83,-4.0363587719697405,-3.41120288871813,-4.464448361312285,-3.251134410155506
84,-4.036358675292847,-3.4112023905692124,-4.464447944543417,-3.2511344799168227
85,-4.03635857861407,-3.411201892410167,-4.464447527679442,-3.2511345497047897
86,-4.0363584819334,-3.4112013942409867,-4.464447110732614,-3.2511346195157005
87,-4.036358385250826,-3.411200896061664,-4.464446693713271,-3.2511346893464257
88,-4.036358288566339,-3.411200397872194,-4.464446276630135,-3.251134759194325
