step,ego_x,ego_y,adv_x,adv_y
0,-1.2363648001558252,-4.011237435828543,-3.8127162192179167,-4.228399332203732
1,-1.2363646314691146,-4.011236634057223,-3.812715797803997,-4.228398313985836
2,-1.2363644964077372,-4.011235927555187,-3.8127153757475134,-4.22839729561596
3,-1.2363643653486254,-4.011235271766216,-3.8127149531956213,-4.228396277091478
4,-1.2363642353202826,-4.011234617910376,-3.812714530215934,-4.228395258431698
5,-1.2363641127621565,-4.011233991197336,-3.8127141068661587,-4.228394239653166
6,-1.236364008084088,-4.011233465771702,-3.812713683196008,-4.2283932207698784
7,-1.2363639035909786,-4.011232961539256,-3.8127132592483015,-4.228392201793663
8,-1.2363637999081878,-4.011232457841889,-3.8127129730245595,-4.228391333132561
9,-1.2363636969513383,-4.011231954622469,-3.812712664746487,-4.228390553251415
10,-1.2363635946427927,-4.011231451829421,-3.81271235532374,-4.22838977496954
11,-1.236363492913189,-4.011230949416622,-3.812712045982928,-4.2283889976452365
12,-1.2363633917005619,-4.011230447342822,-3.8127117367294856,-4.2283882211769654
13,-1.2363632909495563,-4.011229945571136,-3.812711427560063,-4.228387445476612
14,-1.236363190610723,-4.011229444068576,-3.8127111184707894,-4.2283866704649755
15,-1.2363630906398844,-4.011228942805636,-3.812710809457486,-4.2283858960708445
16,-1.236362990997578,-4.011228441755933,-3.812710500515781,-4.228385122230195
17,-1.2363628916485465,-4.011227940895868,-3.812709900760845,-4.228383670836422
18,-1.2363626937076981,-4.011226939662469,-3.8127096572980665,-4.228383064924203
19,-1.2363625950626103,-4.01122643925338,-3.812709414058689,-4.2283824590784045
20,-1.2363624966035827,-4.011225938961975,-3.8127091708623335,-4.228381853397714
21,-1.2363623983105565,-4.011225438774753,-3.8127089277055557,-4.228381247868688
22,-1.236362300165613,-4.011224938679637,-3.8127086845854894,-4.2283806424784895
23,-1.2363622021527467,-4.011224438665824,-3.8127084490402656,-4.22838007949143
24,-1.2363621042576554,-4.011223938723656,-3.812708222502473,-4.228379523005474
25,-1.2363620064675653,-4.011223438844493,-3.7974983035172656,-4.20383191244066
26,-1.2363619087710644,-4.011222939020606,-3.7840868865707598,-4.178670298311759
27,-1.2363618111579564,-4.011222439245086,-3.7699402029744444,-4.1577379713517795
28,-1.2363617136191363,-4.0112219395117465,-3.7539932928607795,-4.135654745123265
29,-1.2363616161464661,-4.01122143981506,-3.739124944046188,-4.112890686632404
30,-1.2363615187326777,-4.011220940150081,-3.72315766316976,-4.088349328850853
31,-1.236361421371279,-4.011220440512385,-3.700591828987533,-4.084235629302728
32,-1.2363613240564695,-4.011219940898014,-3.6738537521777443,-4.085362169652384
33,-1.2363612267830688,-4.011219441303432,-3.65569694837827,-4.07995111422865
34,-1.236361129546445,-4.011218941725469,-3.637053734175375,-4.066562234056243
35,-1.236361032342464,-4.011218442161296,-3.6148763548741085,-4.050462318745944
36,-1.236360935167432,-4.011217942608379,-3.593408712403961,-4.034578133041265
37,-1.236360740891369,-4.011216943527488,-3.549113973734435,-4.017841114281949
38,-1.236360643784755,-4.0112164439956715,-3.526453266231483,-4.007218372148199
39,-1.2363605466958567,-4.011215944467383,-3.5010531687072155,-3.995062950647581
40,-1.2363604496225706,-4.011215444941173,-3.4734602365511504,-3.9883200651182307
41,-1.236360352563019,-4.01121494541574,-3.447930552443438,-3.979023092546297
42,-1.2363602555155262,-4.0112144458899275,-3.4264741425506995,-3.971702609733067
43,-1.2363601584785937,-4.011213946362694,-3.400886567838709,-3.9641134437546093
44,-1.236360061450881,-4.0112134468331115,-3.377768222435816,-3.9557226400070635
45,-1.2363599644311931,-4.011212947300347,-3.3565314531762915,-3.948891625694663
46,-1.2363598674184622,-4.011212447763657,-3.3290556817179553,-3.942496071438993
47,-1.236359770411734,-4.011211948222377,-3.300287706687966,-3.9346751574005085
48,-1.2363596734101556,-4.011211448675912,-3.2737504903567074,-3.9297779786811877
49,-1.236359576412966,-4.011210949123729,-3.245482533541423,-3.9283352291904476
50,-1.2363594794194843,-4.011210449565351,-3.216431146039427,-3.924228158326321
51,-1.2363593824291026,-4.011209950000353,-3.1877215836956503,-3.9180746435034655
52,-1.2363592854412782,-4.0112094504283515,-3.158733960624798,-3.916445369283966
53,-1.2363591884555256,-4.011208950849007,-3.129863654482804,-3.9145250640607645
54,-1.2363590914714124,-4.011208451262013,-3.101515050290154,-3.9097690781319465
55,-1.2363589944885502,-4.011207951667095,-3.0722123768266796,-3.9048278266833423
56,-1.236358897506594,-4.0112074520640135,-3.0438811881721066,-3.900044107516499
57,-1.2363588005252344,-4.0112069524525475,-3.0158155910914757,-3.89545629041023
58,-1.2363587035441952,-4.011206452832499,-2.9577581158272235,-3.887257019183189
59,-1.236358509582123,-4.011205453565974,-2.930430421660325,-3.8831686467976807
60,-1.2363584126006701,-4.011204953919202,-2.900269721970234,-3.8797428863629464
61,-1.2363583156186992,-4.011204454263252,-2.87074390850304,-3.877691977824681
62,-1.236358218636053,-4.011203954598009,-2.8422244878024805,-3.8739799831641144
63,-1.2363581216525898,-4.011203454923371,-2.812172700583906,-3.8706461888854506
64,-1.2363580246681856,-4.011202955239255,-2.782278868361165,-3.8670147993885142
65,-1.2363579276827297,-4.011202455545577,-2.753332625009576,-3.8632370760368
66,-1.236357830696119,-4.011201955842264,-2.7234790361360703,-3.8595494474335124
67,-1.2363577337082652,-4.0112014561292515,-2.6930982670342196,-3.855881633448428
68,-1.2363576367190883,-4.011200956406482,-2.663724104334962,-3.852131596139612
69,-1.2363575397285183,-4.011200456673904,-2.6339969476907332,-3.8484748073798145
70,-1.2363574427364912,-4.011199956931469,-2.603507294899819,-3.845066647577387
71,-1.2363573457429489,-4.0111994571791385,-2.574531292934228,-3.8416940264178328
72,-1.2363572487478427,-4.011198957416873,-2.5449881622852857,-3.8383226173598763
73,-1.2363571517511245,-4.011198457644639,-2.5142065486063867,-3.8347012555635205
74,-1.2363570547527547,-4.011197957862407,-2.4854567030824377,-3.831207256171614
75,-1.2363569577526985,-4.011197458070152,-2.456152055733703,-3.8280269901898527
76,-1.2363568607509217,-4.011196958267849,-2.425652379843519,-3.8247448890765496
77,-1.2363567637473951,-4.011196458455476,-2.3966074369860664,-3.8213130687373487
78,-1.2363566667420929,-4.011195958633015,-2.3373415019819928,-3.815381049688153
79,-1.2363564727260743,-4.011194958957755,-2.3083796874121942,-3.8124104461446735
80,-1.2363563757153182,-4.011194459104929,-2.2798519620007416,-3.8098066653066587
81,-1.2363562787027074,-4.011193959241955,-2.2497127663242464,-3.8075093002752887
82,-1.2363561816882294,-4.0111934593688225,-2.2201165721540566,-3.80501464797541
83,-1.236356084671869,-4.01119295948552,-2.191774646685433,-3.8028351162969485
84,-1.236355987653615,-4.011192459592039,-2.1618082938810304,-3.800801315399187
85,-1.2363558906334564,-4.011191959688373,-2.131252991973816,-3.798238387312746
