step,ego_x,ego_y,adv_x,adv_y
0,-1.818084468681583,-3.2529394753466345,-3.6127172758623853,-1.4283984742025022
1,-1.8180846001739561,-3.2529402824901203,-3.6127169753783197,-1.4283976966121206
2,-1.8180847233365587,-3.2529410760453636,-3.6127166716994163,-1.4283969209095453
3,-1.8180848200414417,-3.2529417358626835,-3.612716367385423,-1.4283961459388443
4,-1.8180849199470719,-3.2529423950001357,-3.6127160625403283,-1.4283953716168496
5,-1.8180851039672,-3.252943644656795,-3.6127154515476634,-1.4283938246530126
6,-1.818085185055468,-3.25294415220584,-3.6127151455204234,-1.4283930518950145
7,-1.8180852655687234,-3.2529446596978504,-3.612714839205566,-1.4283922795520043
8,-1.8180853453349284,-3.2529451666474873,-3.6127145326441137,-1.4283915075797242
9,-1.8180854244337445,-3.252945673113193,-3.6127142258712728,-1.4283907359384527
10,-1.8180855029365581,-3.252946179147225,-3.6127139189172386,-1.4283899645925353
11,-1.8180855809071377,-3.252946684796305,-3.6127136118078926,-1.428389193509975
12,-1.8180856584024452,-3.2529471901022218,-3.6127133045654065,-1.428388422662052
13,-1.818085735473365,-3.2529476951023364,-3.612712997208759,-1.428387652022988
14,-1.818085812165351,-3.252948199830059,-3.6127126897541846,-1.4283868815696457
15,-1.8180858885190057,-3.2529487043152696,-3.612712382215562,-1.4283861112812573
16,-1.8180859645705971,-3.252949208584685,-3.612712074604737,-1.4283853411391831
17,-1.8180860403525259,-3.2529497126621982,-3.6127117669318274,-1.4283845711266907
18,-1.8180861158937316,-3.252950216569175,-3.612711454961832,-1.4283838331612175
19,-1.8180861912200676,-3.2529507203247214,-3.597131114949097,-1.4263962621808002
20,-1.818086266354626,-3.252951223945924,-3.5873389292233435,-1.4207010165485894
21,-1.8180863413180366,-3.252951727448064,-3.5758526888706177,-1.4152206516872903
22,-1.818086416128727,-3.252952230844807,-3.581705068607056,-1.4243037422824958
23,-1.8180864908031567,-3.2529527341483715,-3.590761973639896,-1.4339527771953304
24,-1.818086639800482,-3.2529537405185263,-3.602097378633791,-1.4497992307964203
25,-1.8180867141482442,-3.2529542436036327,-3.5956943718464447,-1.452640548283322
26,-1.8180867884097989,-3.252954746632821,-3.5854032048980895,-1.4450318274473835
27,-1.8180868625945061,-3.252955249613084,-3.573890024797429,-1.4361107601063359
28,-1.8180869367107302,-3.252955752550674,-3.562325377145053,-1.4275570434528337
29,-1.818087010765939,-3.2529562554511804,-3.5522498788588432,-1.4210061552278617
30,-1.8180870847668098,-3.252956758319607,-3.5518333166599048,-1.422444378032515
31,-1.8180871587193,-3.252957261160425,-3.5552871983200456,-1.4276057387887342
32,-1.8180872326287356,-3.252957763977636,-3.5571618070363287,-1.4324111549978977
33,-1.8180873064998728,-3.2529582667748183,-3.553688980070911,-1.4359186965010236
34,-1.8180873803369606,-3.2529587695551703,-3.548203453192405,-1.4398911479666103
35,-1.818087454143794,-3.2529592723215552,-3.539619146127705,-1.44291693766458
36,-1.818087527923764,-3.252959775076535,-3.521749748901089,-1.445581211687857
37,-1.818087601679897,-3.2529602778223974,-3.505673989387213,-1.4472981539571195
38,-1.8180876754149005,-3.2529607805611893,-3.4841567833664904,-1.451202661319676
39,-1.818087749131189,-3.252961283294746,-3.457637715786874,-1.4541404804839029
40,-1.8180878228309216,-3.2529617860247018,-3.4393536030521155,-1.4552529015997557
41,-1.8180878965160274,-3.2529622887525256,-3.4221536613248795,-1.4588158156602922
42,-1.8180879701882275,-3.252962791479527,-3.4029749627767014,-1.4704078000177712
43,-1.8180880438490619,-3.2529632942068787,-3.3820349639675213,-1.4799871932880626
44,-1.8180881911419797,-3.2529642996667194,-3.3381345882203455,-1.5015614260424304
45,-1.8180882647763894,-3.252964802400985,-3.314830548091952,-1.51284981925072
46,-1.8180883384041102,-3.2529653051391794,-3.2929167537195205,-1.5229396981677732
47,-1.8180884120260172,-3.2529658078819725,-3.2684579665692928,-1.5360891659243612
48,-1.818088485642892,-3.252966310629967,-3.2441477039829842,-1.5496963761274245
49,-1.8180885592554334,-3.252966813383698,-3.221755574341881,-1.5598088278786233
50,-1.818088632864265,-3.2529673161436485,-3.198860439149551,-1.5737232049745897
51,-1.818088706469945,-3.2529678189102484,-3.174299778664917,-1.58882575627333
52,-1.8180887800729695,-3.252968321683881,-3.1527080902428026,-1.6023591296835988
53,-1.8180888536737827,-3.252968824464892,-3.131012929695341,-1.6194236038742444
54,-1.8180889272727825,-3.252969327253589,-3.1090549318297405,-1.6387670850604095
55,-1.8180890008703257,-3.2529698300502483,-3.085625123614594,-1.6548685668355896
56,-1.8180890744667253,-3.2529703328551154,-3.064657660744598,-1.6735679971600337
57,-1.8180891480622665,-3.2529708356684113,-3.0443940467374304,-1.6942894120696002
58,-1.818089221657202,-3.2529713384903336,-3.0212913372684658,-1.711869881685675
59,-1.8180892952517567,-3.25297184132106,-2.9981058014496433,-1.7304044866576727
60,-1.818089368846133,-3.252972344160747,-2.9765641149402,-1.750372879951855
61,-1.818089442440511,-3.252972847009537,-2.953804007986001,-1.7683340999880532
62,-1.8180895160350519,-3.252973349867555,-2.930042147956968,-1.7870208837589694
63,-1.8180895896299012,-3.252973852734917,-2.9138635221922455,-1.8102939489621084
64,-1.818089736821018,-3.2529748584980616,-2.875639898181416,-1.8482582779777288
65,-1.8180898104175038,-3.2529753613940176,-2.8547315199488397,-1.8690913334319719
66,-1.8180898840147333,-3.252975864299661,-2.8343696387389277,-1.8872783890564169
67,-1.818089957612789,-3.2529763672150587,-2.8142900810181373,-1.9071161190512944
68,-1.8180900312117432,-3.2529768701402677,-2.7947965448671512,-1.929989283085321
69,-1.818090104811662,-3.252977373075341,-2.774890234983785,-1.9491791870869934
70,-1.8180901784126033,-3.252977876020325,-2.7552261561102127,-1.969266493842294
71,-1.8180902520146178,-3.252978378975262,-2.7363124477824425,-1.9921170505556454
72,-1.8180903256177534,-3.25297888194019,-2.7182361753453903,-2.0136935776227873
73,-1.818090399222052,-3.252979384915143,-2.7005724084671576,-2.0342974223286703
74,-1.8180904728275507,-3.252979887900148,-2.6824122655111107,-2.0569382906063995
75,-1.8180905464342834,-3.252980390895235,-2.66403027915675,-2.07989790861715
76,-1.8180906200422788,-3.2529808939004274,-2.650746163352048,-2.1029354766414166
77,-1.8180906936515628,-3.252981396915746,-2.6396085366941606,-2.1294358912055538
78,-1.8180907672621598,-3.2529818999412115,-2.625394490397065,-2.153599430774832
79,-1.8180908408740906,-3.252982402976839,-2.6092375034506383,-2.177716835998614
80,-1.8180909144873745,-3.252982906022646,-2.6049092769680784,-2.208032312341175
81,-1.818090988102028,-3.252983409078645,-2.6001578500096874,-2.2403618866838886
82,-1.8180910617180661,-3.252983912144851,-2.595426320259029,-2.2724326541641013
83,-1.8180911353355023,-3.252984415221273,-2.587114907121782,-2.3355428598492627
84,-1.818091282574618,-3.252985421404806,-2.580147345402323,-2.3649887286397084
85,-1.8180913561963166,-3.252985924511935,-2.5707703199691774,-2.3917190328658973
86,-1.818091429819455,-3.252986427629315,-2.560614682115747,-2.4206244078568786
87,-1.8180915034440401,-3.252986930756953,-2.5504692293501194,-2.448968032830781
88,-1.8180915770700792,-3.2529874338948552,-2.5409387934940897,-2.4759616577406525
89,-1.8180916506975786,-3.2529879370430272,-2.530815506004277,-2.5038446428578895
90,-1.8180917243265429,-3.2529884402014746,-2.5201598498616997,-2.5331319714660108
91,-1.818091797956978,-3.252988943370199,-2.5112945672928206,-2.558040148646939
92,-1.8180918715888885,-3.2529894465492064,-2.50107330540377,-2.579852531357002
93,-1.8180919452222772,-3.252989949738501,-2.4887510455068367,-2.603180392333113
94,-1.8180920188571488,-3.2529904529380835,-2.475240872348209,-2.626656306663828
95,-1.8180920924935051,-3.2529909561479586,-2.456282150558489,-2.644120233496528
96,-1.8180921661313498,-3.2529914593681295,-2.436863724131215,-2.6657664251683224
97,-1.818092239770685,-3.252991962598597,-2.4205540563051198,-2.6902345791935627
98,-1.818092313411513,-3.2529924658393643,-2.4040466505412788,-2.7146693178511767
99,-1.818092387053837,-3.2529929690904327,-2.3847161755452526,-2.7367888233667332
100,-1.8180924606976572,-3.2529934723518044,-2.3675246909089047,-2.7603372078806405
101,-1.8180925343429764,-3.2529939756234816,-2.3501869529052186,-2.7841465809115844
102,-1.8180926079897959,-3.252994478905465,-2.3323718820334163,-2.8066501480269594
103,-1.8180926816381158,-3.2529949821977566,-2.2979526383716347,-2.8516648907872932
104,-1.8180928289392633,-3.252995988813268,-2.2793907048631077,-2.875082504176794
105,-1.8124301876495674,-3.2533940285547884,-2.2619787838268954,-2.8982497681981405
106,-1.8095365893539468,-3.2531317228445427,-2.2443487298611986,-2.920924164400363
107,-1.8069150494187114,-3.2525187309276604,-2.2251549290927417,-2.9443921457283206
108,-1.8045560508974023,-3.2515923522953334,-2.205988845953522,-2.966481597534002
109,-1.8024900751002348,-3.2503889306887572,-2.188347991932,-2.98821364787864
110,-1.8007433642090525,-3.2489509451946565,-2.168728922792488,-3.0111841699628177
111,-1.7993263799891577,-3.247349332469553,-2.1493284091710794,-3.034448033776312
