step,ego_x,ego_y,adv_x,adv_y
0,-1.9113657548177294,-3.4362443143295818,-4.4877224512555705,-3.653410280252306
1,-1.9113656770901135,-3.4362438319652844,-4.455796450142023,-3.6122330895390733
2,-1.911365596485966,-3.4362433494735005,-4.426234602314233,-3.5741983024002604
3,-1.9113655150476432,-3.4362428666419493,-4.395571521659594,-3.535225235324532
4,-1.91136543290294,-3.4362423835298768,-4.364207036211268,-3.4966530403899427
5,-1.9113653501521455,-3.436241900189082,-4.334267763764129,-3.459881326773327
6,-1.9113651831666507,-3.4362409329901578,-4.270973750124029,-3.3865434560006973
7,-1.9252254465690888,-3.448700785776895,-4.234312316993044,-3.3533691131186907
8,-1.9487086729908927,-3.4633891068415923,-4.196313678886043,-3.3233782822420768
9,-1.9609548749584753,-3.4712762370926127,-4.154189242762553,-3.29775637618864
10,-1.9677932399733429,-3.473207133705726,-4.111017478922048,-3.273194887626494
11,-1.9771915368805912,-3.478176593142041,-4.067582538716803,-3.248790820238575
12,-1.9818781917832369,-3.4821380541574403,-4.023158806539514,-3.2279099335610315
13,-1.9962990683573134,-3.4883116340988827,-3.9769910838544114,-3.2079028258308053
14,-2.0157006010170955,-3.496002522664616,-3.935561479949121,-3.187884913404979
15,-2.024314060787698,-3.49282487721763,-3.887271916977369,-3.1716916017228134
16,-2.0332805642219833,-3.488569386850511,-3.8429131950480975,-3.1584406305955075
17,-2.0409411780865243,-3.4840886017108548,-3.7923785876840346,-3.150671042072567
18,-2.057365003935074,-3.477833476846977,-3.744186839502444,-3.1444191319594066
19,-2.0586233509074767,-3.4774017819979983,-3.6948190811096633,-3.142298787366124
20,-2.0586485592255492,-3.4773895479132877,-3.6449079656662953,-3.142831234739885
21,-2.058650200272286,-3.4773885335920593,-3.596643241367112,-3.1402384621672828
22,-2.058651780245228,-3.477387542141525,-3.5463893583851087,-3.1435433936630703
23,-2.0586533137752263,-3.477386580757651,-3.4980881626331524,-3.1419778343622595
24,-2.0586548068464263,-3.477385645698899,-3.448986253719837,-3.141338165608402
25,-2.0586562646239255,-3.477384733608163,-3.3994605527951642,-3.1410978613530163
26,-2.0586575957718187,-3.4773837318733003,-3.3507405571601474,-3.1406489941063036
27,-2.0586589385173077,-3.477382834569638,-3.3004495561935654,-3.1429690671787136
28,-2.0586615362469014,-3.477381107778797,-3.2021891362503383,-3.152354707317611
29,-2.0806599310420055,-3.4737360026389568,-3.1542790568743277,-3.157947333610922
30,-2.0999318050155136,-3.467703193617039,-3.1047915276045357,-3.1654678715428015
31,-2.1221425005819623,-3.461132858001216,-3.05601227146484,-3.1728819468658163
32,-2.14484059131269,-3.466463334944438,-3.0068414338548313,-3.181376344080577
33,-2.1649550725116504,-3.4639851147524987,-2.958029495884934,-3.1910294255207474
34,-2.1840567211005917,-3.4613622692977284,-2.9095641852615226,-3.2002296193458157
35,-2.207765824484966,-3.460214317186173,-2.8604591262308414,-3.208847579375275
36,-2.235007098414311,-3.458419286323895,-2.8114303347044096,-3.217358474326467
37,-2.2587700888402895,-3.4578710899745917,-2.762662886238743,-3.229856388530836
38,-2.282873720026271,-3.458697040461281,-2.714319772104523,-3.240413648267528
39,-2.308156623218778,-3.4603246955831097,-2.6658677682460237,-3.251534423073233
