step,ego_x,ego_y,adv_x,adv_y
0,-1.9235275049253526,-3.4367138319379786,-4.487717104250765,-3.653398038881965
1,-1.9364321151426334,-3.4386438361204212,-4.487716801204962,-3.653397262589615
2,-1.9378290344632876,-3.4389348409149556,-4.4877164972128565,-3.653396487189285
3,-1.9638619304376543,-3.4370913959180465,-4.487716192641324,-3.653395712481662
4,-1.9886979675488263,-3.4372678820108717,-4.487715887573974,-3.653394938393275
5,-1.9932578088546613,-3.445538404977415,-4.487715582081163,-3.653394164858895
6,-1.9919304390230579,-3.4488156414737507,-4.487715276223361,-3.6533933918199897
7,-1.9913641985583088,-3.450022241913999,-4.487714970052526,-3.653392619224021
8,-1.9910621835023257,-3.450447972443954,-4.487714663613284,-3.6533918470238467
9,-1.9912179383719362,-3.450822441712515,-4.487714050077372,-3.653390303645964
10,-1.9905232995481787,-3.452424080125211,-4.487713743041749,-3.653389532396205
11,-1.9920463990491657,-3.453801857883628,-4.487713435861221,-3.6533887613972893
12,-1.9926545631105552,-3.4546369248368483,-4.487713128556463,-3.6533879906217663
13,-1.993085033243899,-3.4549679333873193,-4.487712821145175,-3.653387220045001
14,-1.9947139030384773,-3.454574027945257,-4.487712513642488,-3.653386449644883
15,-2.0060474168856146,-3.457387320178003,-4.487712206061329,-3.653385679401563
16,-2.006188077404439,-3.4572184049095247,-4.487711898412733,-3.653384909297233
17,-2.0075964743565238,-3.453157843792663,-4.487711590706112,-3.653384139315902
18,-2.010604159914304,-3.451573795399295,-4.469978439363033,-3.6382061380537314
19,-2.015723016613261,-3.450191154497125,-4.459091230100653,-3.6274583091776864
20,-2.0251339471891137,-3.442508861781007,-4.450976221517813,-3.6206600294650317
21,-2.0350139901627515,-3.431439054103431,-4.438291703913593,-3.6112855541121136
22,-2.044597388497056,-3.4203543051219008,-4.421576395687309,-3.5966978176364823
23,-2.0530805109356423,-3.4104925893971436,-4.40418713879997,-3.580040020052724
24,-2.061291355912535,-3.4043619930810256,-4.3955923257884315,-3.5717796732488796
25,-2.069790360405738,-3.4073005594642716,-4.381404922659142,-3.565520327839437
26,-2.084009292363012,-3.410787595040447,-4.362388584814301,-3.5603692550263752
27,-2.102178056208715,-3.4135991556550236,-4.344104154750839,-3.553721506878764
28,-2.1238790603221185,-3.4177442331008145,-4.32468787845497,-3.5440989080536993
29,-2.1602786227315676,-3.4073754424189646,-4.277186771229726,-3.521596187132498
30,-2.1788109686667005,-3.4044730525572513,-4.25871238643073,-3.5118430981076965
31,-2.1980376759242377,-3.4031631485156626,-4.234940576291023,-3.5031889503447347
32,-2.2151809532998135,-3.402816470028656,-4.209627719077191,-3.4948496874026143
33,-2.2362769457449283,-3.409453096057257,-4.186678144731871,-3.4896420249493487
34,-2.2607638296328196,-3.42224195274044,-4.160401708696591,-3.4912835040681545
35,-2.2874421299451377,-3.428481066990243,-4.131933718093971,-3.490963172554312
36,-2.311945158046366,-3.4325582391084057,-4.104637403219673,-3.485250277041543
37,-2.335673438665611,-3.4454582659922033,-4.075799924313101,-3.4815813222839838
38,-2.3626751585991252,-3.4517193390203564,-4.046910340417552,-3.482276053704327
39,-2.3905558299945575,-3.457743194381543,-4.020076802763267,-3.4782782069778833
40,-2.4185198489073585,-3.4641738364808776,-3.990136584789792,-3.4731296177157747
41,-2.4457138016192226,-3.4715774746184644,-3.96127687271109,-3.468227573025352
42,-2.4713112284181085,-3.4800785434462966,-3.932997841970709,-3.4630697086455866
43,-2.500164809975348,-3.4890294034510263,-3.903202994641575,-3.4582262993290245
44,-2.5271835464645678,-3.4969510263934,-3.8741320291435932,-3.453554003474532
45,-2.552350825799607,-3.505646039903616,-3.846654420467456,-3.448568533947677
46,-2.5788684999405014,-3.5191228984433893,-3.8176120237710123,-3.445174454771875
47,-2.6054531411584314,-3.528525536978667,-3.7881665399266473,-3.442475365240518
48,-2.656729073289982,-3.552320341199851,-3.7322769718862308,-3.434768816622311
49,-2.6845811344462134,-3.563960580519783,-3.7020144106990007,-3.4334918226636506
50,-2.7097877990009507,-3.5752173019569455,-3.6746189359425654,-3.4299371662478704
51,-2.734686821071003,-3.5897471640062117,-3.6462636905390293,-3.4275644446674356
52,-2.761395872689058,-3.6036954106349994,-3.615976071890952,-3.425897515226034
53,-2.7872901352902435,-3.615725555443669,-3.5861665998956673,-3.4227737827894917
54,-2.8124574335310912,-3.629601625502808,-3.5569843234996035,-3.4198604559534784
55,-2.8383224709984844,-3.6443021377507505,-3.52683970014265,-3.416905215179882
