step,ego_x,ego_y,adv_x,adv_y
0,-1.6613675146818805,-3.3362474130154425,-4.237721132150248,-3.5534088903624697
1,-1.6613673436571352,-3.3362466140707463,-4.224059316971775,-3.5268954334331344
2,-1.6613670437953776,-3.3362451223241987,-4.211292978837183,-3.499139234448329
3,-1.6749913196575825,-3.337555264365416,-4.1856228846229495,-3.447848366271646
4,-1.6951557677833362,-3.3408795418673676,-4.172476823414366,-3.4210800116755786
5,-1.7198316296858756,-3.35526030146267,-4.179519206360563,-3.4316740435420874
6,-1.7347908205116422,-3.3639199146351526,-4.183969966603737,-3.451752298907284
7,-1.7376996676625354,-3.358775205551474,-4.185379812704441,-3.4779917768801836
8,-1.7422112727045713,-3.3507918234403418,-4.189428565512681,-3.498943482414969
9,-1.7474206197023345,-3.344158708521216,-4.196285479613309,-3.5165676565461537
10,-1.7515968466278897,-3.3453905965131843,-4.205029557672923,-3.537845317186687
11,-1.7542413132157357,-3.349227334615012,-4.219580664163459,-3.5590788029602676
12,-1.7541169965258216,-3.3549518022092006,-4.228424319025736,-3.5727217044943202
13,-1.7527709628577381,-3.3583525522611453,-4.232813712230692,-3.583761820269058
14,-1.7550691053770997,-3.36108543988634,-4.237012888101445,-3.5931887636432025
15,-1.7762643065117756,-3.3710693744198292,-4.243251758068396,-3.60363572430453
16,-1.791727839513814,-3.376834304394786,-4.239510655128934,-3.62610392627467
17,-1.8143022837385987,-3.386793746208128,-4.2352912870188675,-3.626870926283896
18,-1.824437959911522,-3.382997794005356,-4.227456217407513,-3.6250107367850917
19,-1.8394542678896504,-3.3772876822656586,-4.22791282187788,-3.6283089970776823
20,-1.8606758813658153,-3.372754991696445,-4.23585475911877,-3.6315298381115673
21,-1.8832971328313384,-3.3748850676421385,-4.241390141356955,-3.6346879781375647
22,-1.9057814682996028,-3.3698306273093057,-4.245371307542241,-3.638460539884099
23,-1.9295266740820043,-3.3795851068176215,-4.241836781184407,-3.6502448397998757
24,-1.9301943111197188,-3.38135721324797,-4.237006898493538,-3.668003529951225
25,-1.9301943011101788,-3.381356974585722,-4.231185221707229,-3.6942026423680816
26,-1.9301944995966698,-3.3813568965815133,-4.224839603509562,-3.721306438765644
27,-1.9568435332376903,-3.388616725790087,-4.200573924994059,-3.7392750297725663
28,-1.9801125869862792,-3.386842663026193,-4.182371295945407,-3.7505124085910677
29,-2.0069545027390734,-3.3879825373868577,-4.1664186335317765,-3.7621469949660673
30,-2.035313385307844,-3.3915033975369546,-4.1495802414308285,-3.7752852144965696
31,-2.0586253893808917,-3.3913270961358313,-4.140713662833024,-3.7964100525893967
32,-2.083803655685162,-3.394059624976189,-4.137309568337359,-3.8238055001329814
33,-2.1108694861230983,-3.397108209463476,-4.1258975088245,-3.837689755535329
34,-2.138008531105498,-3.400318575871518,-4.107846542265909,-3.857487079774891
35,-2.164042123400336,-3.408992448517376,-4.087978348894269,-3.8797202334401133
36,-2.19060255830523,-3.4196407027809936,-4.072794060004966,-3.897699076845427
37,-2.218776855872043,-3.4253980287481673,-4.057582311761763,-3.9182043816983643
38,-2.2459139251054587,-3.4332995225473955,-4.041582925610153,-3.9406963953298417
39,-2.272170013453876,-3.445845766595799,-4.0258303111701945,-3.963623253320185
40,-2.2995403411046387,-3.4539662201305426,-4.015491198205629,-3.9887916710752243
41,-2.3279276291396864,-3.4622138048387927,-4.008966227090159,-4.016500870012789
42,-2.354870703692099,-3.4716771327986136,-3.99779263651263,-4.039716651560063
43,-2.382043367727565,-3.4801640006456407,-3.983868917576896,-4.065545276006316
44,-2.409469986600875,-3.4890735044255736,-3.9715992454784397,-4.090324532691739
45,-2.4370260917847943,-3.4995841170306683,-3.958820921815613,-4.113051885644448
46,-2.463919882993125,-3.5083667708280397,-3.9466634641081946,-4.138465263162528
47,-2.490451451956676,-3.5176694649359828,-3.934986067366887,-4.165475951494973
48,-2.5191387142044404,-3.5284142493139092,-3.922856585798307,-4.188129418657782
49,-2.5457740726348135,-3.5390588790706374,-3.910906594101893,-4.213853900185813
50,-2.571845804650833,-3.548552071415399,-3.899077147591615,-4.241694401213464
51,-2.572278116331295,-3.548621549176581,-3.8878619022414687,-4.266266057146021
52,-2.5722787411630907,-3.5486217037782684,-3.8779024518959857,-4.291460207928621
53,-2.5722800759948754,-3.5486222501013795,-3.8684367764236494,-4.319123133408884
54,-2.5996707051786734,-3.5607744395726115,-3.8514250206792537,-4.3724531747034225
