step,ego_x,ego_y,adv_x,adv_y
0,-2.824402878153036,-2.7582134129695004,-3.7403016374201687,-5.658996708739167
1,-2.830757505735528,-2.7569652825624016,-3.7403021178073677,-5.6589977000933
2,-2.854304617862347,-2.754126013522053,-3.7403025989634733,-5.658998691499036
3,-2.880563901400837,-2.750616273239567,-3.7403030806297437,-5.658999683017418
4,-2.903979565908772,-2.739212964943441,-3.7403035627358285,-5.659000674635026
5,-2.8966171686487003,-2.736957739496869,-3.740304045222533,-5.65900166634
6,-2.8869971643230374,-2.7489513461403474,-3.740304528038888,-5.659002658122407
7,-2.8757981343052346,-2.76347551620889,-3.740305011140992,-5.65900364997394
8,-2.873694989078318,-2.7669324872034884,-3.7403053705062885,-5.659004536906119
9,-2.87301304492871,-2.767523037386669,-3.7403057232766526,-5.659005299085094
10,-2.8723017765284915,-2.768135034592851,-3.740306078600356,-5.659006058830081
11,-2.8715739078432985,-2.7687548877316006,-3.740306433794425,-5.659006817601531
12,-2.870786842242859,-2.769462253156841,-3.7403067888497774,-5.659007575508407
13,-2.870093582041363,-2.7700668437852816,-3.7403074985789337,-5.659009089078647
14,-2.8687340969183817,-2.7712619104140703,-3.7403078532699237,-5.659009844895057
15,-2.8575226310934085,-2.7917626605631836,-3.740308207856278,-5.659010600154821
16,-2.848168719018479,-2.8080904686975807,-3.740308562345948,-5.6590113549163314
17,-2.8479336525323773,-2.826738936511832,-3.7403089047707367,-5.659012041883402
18,-2.8549345024935104,-2.851910504003009,-3.7403091841308997,-5.659012632750763
19,-2.857943769110986,-2.8777688544945015,-3.7403094630281797,-5.659013223897122
20,-2.851455949637031,-2.8992025052900026,-3.7403097418725926,-5.659013814883046
21,-2.843003445124755,-2.9259780459133085,-3.740310020669092,-5.6590144057212965
22,-2.8331545961407527,-2.94961860068807,-3.7403102994212536,-5.659014996424415
23,-2.8253376815195086,-2.970049373411843,-3.7403105703661557,-5.659015551334329
24,-2.8183592972016736,-2.9949565759181986,-3.7403108296891006,-5.6590160940916885
25,-2.8129170535280035,-3.0205742439415233,-3.740311085910246,-5.659016638632581
26,-2.8116126718018672,-3.0235420547012524,-3.7278263784633308,-5.633367353359384
27,-2.811349150843991,-3.02333132816087,-3.713909241094491,-5.605947008449658
28,-2.8109717171208564,-3.0230942193102046,-3.7058279878077998,-5.589150382752847
29,-2.8109361482940725,-3.0231375970343333,-3.6959155574940534,-5.569461778764863
