row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,td3,movebase,False,1,0,0,88,-165.8780139684677,-2.710410603479847,-2.668311117248635,0.698762232748359,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,3.1128960065228988,2.8374953040911413,6.912664788347834e-14
,2,td3,movebase,False,1,0,0,201,-245.14713552594185,-5.052617756264022,-2.9129863834110177,-2.47215552776711,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,1.2533190418884017,1.789104689097772,4.927920409437524e-14
,3,td3,movebase,False,1,0,0,222,-259.00765493512154,-3.9920679760547553,-2.9977989026621197,-1.7246758609330284,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,6.635969961462391,1.6878584747114875,4.9161044183974837e-14
,4,td3,movebase,False,0,0,0,400,-214.10912983119488,-3.0915596917952968,-3.6787570809937313,1.147944685600977,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,7.04757717392922,3.4207812530954227,4.613077946665818e-14
,5,td3,movebase,False,0,0,0,400,-168.67917749285698,-1.0795598213192097,-1.4622821867066818,1.591619884864037,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,7.278991645001293,2.6155176723891027,5.3625686557243494e-14
,6,td3,movebase,False,0,0,0,400,-261.38040003180504,-3.252469760999816,-3.2670134065096956,1.4802919236467909,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,17.256514860084685,3.612972890070953,5.67511566771709e-14
,7,td3,movebase,False,1,0,0,369,-388.73679238557816,-3.9029872667324987,-3.4227584113593403,-1.8225622174946023,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,2.632291778243203,0.9091880047504765,3.993136377767203e-14
,8,td3,movebase,False,0,0,0,400,-139.24323219060898,-4.229341290319118,-1.7239249703671669,2.7659307645502835,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,1.9515537917828145,0.8466014585579471,4.2115526143517924e-14
,10,td3,movebase,False,1,0,0,31,-126.35475158691406,-4.310907221862782,-3.490343345291151,-2.494392308403615,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,4.5027428995679575,0.8498689648752838,8.075345593742395e-14
,11,td3,movebase,False,1,0,0,115,-183.65173855423927,-4.2408853517846605,-1.2223572456845258,0.28162354943981527,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,5.604073299460158,3.167049047394835,7.430792042445003e-14
,12,td3,movebase,False,1,0,0,105,-194.88922330737114,-6.467661885238108,-1.3295354849117818,-2.048860050217924,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,19.363595381252416,3.4339985348596236,7.387964427362334e-14
,15,td3,movebase,False,1,0,0,50,-138.17413753271103,-4.080615929555252,-1.3093016621307276,-1.3822539758998877,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,12.279754139262772,2.0652549961784117,4.0136677799950004e-14
,16,td3,movebase,False,1,0,0,66,-147.07334744930267,-1.130086776974819,-1.9137997519304188,1.4246702722463218,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,12.472833210306296,2.1807151793044133,1.4321182327611508e-14
,17,td3,movebase,False,0,0,0,400,-59.518198654055595,-4.2637386928743215,-2.980600370223001,1.8459479543447523,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,8.901777367725279,3.6203073501172955,3.382013684840714e-14
,18,td3,movebase,False,1,0,0,228,-260.33618848770857,-1.3007043353213446,-3.4010499379297636,-2.287303005867871,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,9.333714169039913,2.430606596499396,1.0087665759113928e-14
,19,td3,movebase,False,1,0,0,73,-162.96307829022408,-5.151297743881484,-2.7720094076291266,-2.9875233585239567,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,9.615103406264717,1.953145373561301,2.0553488879397435e-14
,20,td3,movebase,False,0,0,0,400,-231.5948058515787,-4.382534229109776,-1.399734397672936,1.3978923990235808,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,,,,,15.176495555922775,2.89978954483533,2.305088539272383e-14
summary,all,td3,movebase,False,,,,,,,,,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_1/td3_model,-196.86688271033412,0.0,0.6470588235294118,0.0,8.49524727574807,2.371779725552364,4.5707792142752486e-14
