row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,td3,movebase,False,0,0,0,400,-285.7223420739174,-3.0084059828478105,-3.089523785991015,0.4529579957325335,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,15.469722362506442,2.9687167344467773,5.791920452441708e-14
,3,td3,movebase,False,1,0,0,31,-123.74706661701202,-1.4090473413431157,-3.653637888967126,-1.630566594297358,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,2.3161227238519984,1.7245091242919328,9.432296037641856e-14
,4,td3,movebase,False,0,0,0,400,-232.2168559283018,-5.986634422071364,-4.40864928241402,-1.3209175797328874,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,3.9982851863969455,4.045480120468507,6.459797941288687e-14
,7,td3,movebase,False,0,0,0,400,-242.31318271160126,-1.7495427719897432,-2.965601514051499,-0.27744892006330013,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,1.3975586752754807,1.4553662756524959,2.106767236506834e-14
,9,td3,movebase,False,0,0,0,400,-229.277619920671,-3.466281673372931,-1.392404827022431,1.124714984368896,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,1.922724702645997,3.1054252137177505,5.798106835315562e-14
,10,td3,movebase,False,1,0,0,245,-275.09214121103287,-1.2177151558777837,-2.30031001920079,0.7527099875966956,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,4.6167636846997535,2.435843525859313,6.716188329618227e-14
,11,td3,movebase,False,0,0,0,400,-230.13085858523846,-2.646203223878091,-3.506304716024706,-0.49160572108433176,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,8.625964095616718,2.7090294970484234,5.448824529260596e-14
,13,td3,movebase,False,0,0,0,400,-149.54165840893984,-1.7428628390673913,-3.109055854394377,3.1288086285933345,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,2.8976977474736527,3.2267128395168254,5.3353666575801235e-14
,14,td3,movebase,False,0,0,0,400,-87.36055694520473,-3.3045273703175218,-3.068294327119029,-1.4713214443689042,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,4.733811545623414,0.8144753080220601,2.4350137621828058e-14
,15,td3,movebase,False,0,0,0,400,-217.66406162828207,-3.5784561983800707,-3.4379910962877855,-1.6757769579377089,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,6.405069218122998,1.7025472725398834,2.3312851481570018e-14
,16,td3,movebase,False,0,0,0,400,-251.44041422009468,-1.4617811860015761,-3.232571994919448,-2.7081905710204968,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,12.121713078008613,2.9406597771698912,6.954420757899833e-14
,17,td3,movebase,False,0,0,0,400,-242.06533008813858,-3.6422040152112016,-2.3930413161723174,1.8938337560168643,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,11.126428402276908,2.23821485243019,3.358948923086803e-14
,18,td3,movebase,False,0,0,0,400,-226.29456803947687,-3.84504085537897,-2.7160068443957903,1.6970260043762184,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,3.157039414944559,2.474895956666748,8.360367017705531e-14
,19,td3,movebase,False,0,0,0,400,-103.33438066393137,-4.014969474977363,-4.085446938689913,-2.2139426993719544,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,7.0816593332827065,1.4308290433762603,6.861472391617153e-14
,20,td3,movebase,False,1,0,0,72,-123.15507674962282,-2.349305582721894,-3.422999109396306,-3.010075547282258,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,,,,,3.9035252894439676,5.097015724845223,9.708979040368212e-14
summary,all,td3,movebase,False,,,,,,,,,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_noadv_nocurr_seed2/td3_model,-201.29040758609773,0.0,0.2,0.0,5.98493903067801,2.557981417736819,5.806650337378063e-14
