step,ego_x,ego_y,adv_x,adv_y
0,-0.8980948035021851,-6.657666972819261,-2.700003165416535,-1.500011104258679
1,-0.9000293854557743,-6.662365045542611,-2.700003342069014,-1.5000121868758787
2,-0.9004486090528476,-6.6457686796599456,-2.700003519441113,-1.500013270139744
3,-0.9116777175589125,-6.624100821737194,-2.700003697304727,-1.5000143539826631
4,-0.9218520386264575,-6.606865756874074,-2.7000038755911198,-1.5000154383296773
5,-0.9153564983873367,-6.588637529535166,-2.7000040542422465,-1.5000165231159566
6,-0.9047788498976855,-6.5651720169714185,-2.7000042332080922,-1.5000176082855743
7,-0.8917086794442179,-6.542520631234058,-2.700004412445574,-1.5000186937902875
8,-0.8850421382977265,-6.529211829682519,-2.700004591917573,-1.5000197795884904
9,-0.8783313511818486,-6.513500204728892,-2.700004718804205,-1.5000208179068792
10,-0.8720285690213786,-6.490386677957613,-2.7000048208664587,-1.5000216430071502
11,-0.8712339264634447,-6.4654578432013965,-2.7000049425272983,-1.500022463927803
12,-0.8712446378306055,-6.465613214216982,-2.700005064420233,-1.5000232838706964
13,-0.8713090836545175,-6.465733226633395,-2.700005186412592,-1.500024102950311
14,-0.8713529701377238,-6.465868436735761,-2.700005308488164,-1.500024921251319
15,-0.8713783144244888,-6.465849369019989,-2.7000054306338113,-1.5000257388502265
16,-0.8714438913959619,-6.465966245372114,-2.700005552838386,-1.5000265558162633
17,-0.8715072191052675,-6.4660842791236535,-2.700005675092439,-1.5000273722120676
18,-0.8715478948443989,-6.466218772942939,-2.7000057973879694,-1.5000281880943038
19,-0.8715720719493882,-6.466200059875422,-2.7000059122404285,-1.5000288167091784
20,-0.8717234942394543,-6.466480294344287,-2.700006106698817,-1.5000300958647832
21,-0.8689597806392815,-6.460985247744492,-2.7000062039139068,-1.5000307351199111
22,-0.8626847005212085,-6.449092588772801,-2.7000063011226247,-1.5000313741832425
23,-0.8547324016609307,-6.436834593580765,-2.700006400983742,-1.500032004810873
24,-0.8465186821247153,-6.422417279451728,-2.700006491447873,-1.500032593200145
25,-0.8485813067225141,-6.40111194960036,-2.700006589198396,-1.5000331703182033
26,-0.8552856764860596,-6.396216119169552,-2.7000066813920927,-1.5000337580894787
27,-0.8657501900739177,-6.3911692557896105,-2.7000067700746224,-1.5000343466696981
28,-0.8745994373558172,-6.374632206280187,-2.700006867709422,-1.500034923302984
29,-0.8791395933811005,-6.353819828603832,-2.7000069598721317,-1.5000355106220382
30,-0.8853666945457591,-6.3485444801801885,-2.700007048535504,-1.500036098796318
31,-0.8908333278148267,-6.343954465664865,-2.700007146092856,-1.5000366750810652
32,-0.896734554975004,-6.340612582770027,-2.7000072382337272,-1.5000372620769888
33,-0.9093807666758231,-6.33199660503159,-2.700007326883488,-1.5000378499622364
34,-0.9214736687242702,-6.32204407212672,-2.7000074243881222,-1.5000384259994404
35,-0.9342043196385542,-6.31018700582361,-2.700007516514126,-1.5000390127672534
36,-0.9478859732372856,-6.297298250684989,-2.7000076051547466,-1.5000396004494863
37,-0.9546821873775975,-6.2780783912271145,-2.700007702623976,-1.5000401763137081
38,-0.9629516039844991,-6.259081985616518,-2.700007794740404,-1.500040762923327
39,-0.9784837790727536,-6.2425282090501035,-2.7000078833754353,-1.5000413504658159
40,-0.9787932243265378,-6.242559248119212,-2.7000079808214075,-1.5000419262120674
41,-0.9787838722666198,-6.242669046974487,-2.7000080729322615,-1.5000425127149215
42,-0.9787807692873506,-6.2428919178044975,-2.7000081615644933,-1.5000431001641954
43,-0.9787608968157275,-6.243071426638994,-2.7000082589957466,-1.500043675833043
44,-0.9787671249602898,-6.243247476356436,-2.7000083511040396,-1.5000442622669545
45,-0.9787589613221718,-6.2434542907313,-2.700008439735638,-1.5000448496572218
46,-0.9787370707309179,-6.243869117951776,-2.700008629266188,-1.5000460116713437
47,-0.9943037394086117,-6.22710702391181,-2.700008717898822,-1.5000465990277505
48,-1.0113201770341531,-6.205015488971208,-2.7000088153169197,-1.5000471746236161
49,-1.0266529558003075,-6.1868503254817515,-2.700008907426321,-1.5000477609957024
50,-1.0387953781177506,-6.169165565169555,-2.700008996061273,-1.5000483483367262
51,-1.0451201130229155,-6.143795242006868,-2.700009093477923,-1.5000489239233359
52,-1.0516852860420893,-6.119287030727555,-2.7000091855899946,-1.5000495102897544
53,-1.0650212292250798,-6.096681312254815,-2.700009274228236,-1.5000500976289761
54,-1.069670463516775,-6.068984255788438,-2.7000093716455673,-1.5000506732182726
55,-1.075392770663817,-6.042897382903309,-2.7000094637612575,-1.5000512595900632
56,-1.086112832933531,-6.019375368145276,-2.7000095524035297,-1.5000518469374586
57,-1.0983191770509404,-5.992161550845403,-2.700009649823058,-1.5000524225382308
58,-1.1101460945394028,-5.967084454109213,-2.7000097419430715,-1.5000530089235051
59,-1.1215021670319665,-5.943053738979681,-2.700009830589934,-1.5000535962864032
60,-1.130086483023483,-5.915245994410731,-2.7000099280127374,-1.5000541719051168
61,-1.1379481264627669,-5.888104494736543,-2.700010020137599,-1.500054758309833
62,-1.148014527976148,-5.864403882090221,-2.7000101087894697,-1.500055345693618
63,-1.1572225612875586,-5.8368270122458075,-2.700010206216317,-1.5000559213350289
64,-1.1586246805194258,-5.8331033117078075,-2.700010298346417,-1.5000565077635661
65,-1.1587460661963211,-5.832820680703462,-2.7000103870036165,-1.500057095172192
66,-1.1588429831525013,-5.832584945028368,-2.7000104844350563,-1.5000576708397995
67,-1.1588417426977486,-5.832582660159339,-2.700010576570686,-1.500058257295371
68,-1.1588425305961483,-5.832580864998177,-2.7000106652334463,-1.5000588447317436
69,-1.1588432691598605,-5.832579001411421,-2.700010762669871,-1.5000594204281188
70,-1.1588440563554747,-5.832577145640565,-2.7000108548112416,-1.5000600069130887
71,-1.1588448291664144,-5.832575271447811,-2.700010943479743,-1.50006059437934
72,-1.158846238753199,-5.832571749907973,-2.700011133068707,-1.5000617566224788
73,-1.1684344974802705,-5.803206568146458,-2.700011221743082,-1.5000623441201755
74,-1.1780478841911566,-5.777450198092927,-2.7000113191902453,-1.500062919879262
75,-1.1870590864943744,-5.749854094199635,-2.7000114113435365,-1.5000635064277723
76,-1.1955509180748456,-5.720836262210577,-2.7000115000238836,-1.5000640939580665
77,-1.2032507019620111,-5.693481486768464,-2.7000115974766636,-1.5000646697502267
78,-1.2071469949571156,-5.664938568795811,-2.700011689636062,-1.5000652563320815
79,-1.2120403598656009,-5.63603879970048,-2.7000117783224558,-1.5000658438958183
80,-1.2196864972027244,-5.608189739122862,-2.700011875780958,-1.5000664197218039
81,-1.2234989945008863,-5.579640102299439,-2.7000119679465278,-1.5000670063376915
82,-1.2264888208658504,-5.550852034468493,-2.700012056639022,-1.500067593935493
83,-1.232931639075006,-5.523524004593776,-2.7000121541033204,-1.5000681697958584
84,-1.236864677168212,-5.49452027106149,-2.7000122462751084,-1.5000687564462851
85,-1.2379445245594265,-5.465651987297497,-2.7000123349737457,-1.5000693440786081
86,-1.2428843984229223,-5.438296063523718,-2.700012432443897,-1.50006991997376
87,-1.2476219462088571,-5.4087886732567,-2.7000125246219406,-1.5000705066590985
88,-1.2522337665687053,-5.3804657971792755,-2.7000126133267472,-1.5000710943262805
89,-1.2572608567019565,-5.352843596135052,-2.700012710802792,-1.5000716702565189
90,-1.2611702693551126,-5.323126343312253,-2.7000128029871178,-1.500072256977043
91,-1.265587985431442,-5.294105290141354,-2.7000128916981225,-1.500072844679331
92,-1.2705260863852537,-5.2656434365715,-2.7000129891800886,-1.5000734206448771
