step,ego_x,ego_y,adv_x,adv_y
0,-0.8113647532316417,-4.436237229231394,-3.3877163089598525,-4.65339951760988
1,-0.8113645846350603,-4.436236427470371,-3.3877158874374556,-4.653398499625548
2,-0.8113644599742346,-4.436235761621209,-3.387715465341922,-4.6533974814609875
3,-0.8113643291794777,-4.436235106402678,-3.3877150427656395,-4.653396463133888
4,-0.8113641994343744,-4.436234453041118,-3.3877146197737034,-4.65339544466457
5,-0.8113640831554172,-4.436233845061319,-3.387714196422067,-4.6533944260703235
6,-0.81136397908379,-4.43623334242825,-3.3877137727589473,-4.653393407365819
7,-0.8113638748258136,-4.4362328383517475,-3.387713362075845,-4.6533923944846185
8,-0.8113637713549163,-4.436232334794353,-3.3877131003426615,-4.653391596141785
9,-0.8113636685873684,-4.436231831700123,-3.387712791159521,-4.653390817164152
10,-0.8113635664479367,-4.436231329019049,-3.3877124818175717,-4.6533900393191105
11,-0.8113634648694119,-4.436230826706407,-3.3877121725616464,-4.6533892623944135
12,-0.811363363791753,-4.436230324722196,-3.387711863390638,-4.653388486294897
13,-0.8113632631613237,-4.436229823030651,-3.3877115543011778,-4.653387710935633
14,-0.8113631629302096,-4.436229321599782,-3.3877112452894482,-4.653386936240261
15,-0.81136296349927,-4.436228319408656,-3.387710627482573,-4.65338538857346
16,-0.811362864227046,-4.43622781859993,-3.3877103186787862,-4.653384615484779
17,-0.8113627652084155,-4.436227317954338,-3.387710052215578,-4.653383980101801
18,-0.8113626664161172,-4.4362268174535755,-3.3877098085693507,-4.653383374438929
19,-0.811362567825797,-4.436226317081275,-3.3877095650516824,-4.653382768911185
20,-0.8113624694156994,-4.436225816822796,-3.3877093216195617,-4.65338216352258
21,-0.8113623711663891,-4.436225316665043,-3.387709078264235,-4.653381558262608
22,-0.8113622730605022,-4.436224816596305,-3.3877088349778517,-4.653380953121163
23,-0.8113621750825292,-4.436224316606113,-3.3748406772585215,-4.6260902038124545
24,-0.8113620772186144,-4.436223816685093,-3.3637939290483114,-4.603074074075133
25,-0.8113619794563789,-4.43622331682487,-3.354305133007502,-4.5854413533173215
26,-0.8113618817847643,-4.436222817017947,-3.337881569505192,-4.57153804232702
27,-0.8113617841938937,-4.436222317257621,-3.323057178036592,-4.549684035964578
28,-0.8113616866749415,-4.436221817537898,-3.3085689858323435,-4.528396751284999
29,-0.8113615892200239,-4.436221317853415,-3.291397285811185,-4.5039312811892716
30,-0.8113614918220995,-4.436220818199373,-3.27582774149281,-4.481965892026187
31,-0.8113613944748761,-4.436220318571486,-3.261651310154801,-4.46135755638736
32,-0.8113611999106507,-4.436219319379226,-3.2258209213693325,-4.415979772803358
33,-0.8113611026841435,-4.43621881980835,-3.211016149867342,-4.396015689890006
34,-0.811361005489205,-4.436218320250541,-3.1918307566253055,-4.375817909092039
35,-0.8113609083222553,-4.436217820703338,-3.1719562016284613,-4.352552856312143
36,-0.8113608111800961,-4.436217321164551,-3.1535598870173045,-4.331887277376637
37,-0.8113607140598713,-4.436216821632207,-3.1333524370107826,-4.312050854557787
38,-0.8113606169590295,-4.436216322104549,-3.112974889075211,-4.290266214456788
39,-0.8113605198752902,-4.436215822580006,-3.0928278093165456,-4.2695999883032645
40,-0.8113604228066171,-4.436215323057168,-3.0712272145603436,-4.250346399512959
41,-0.8113603257511918,-4.436214823534781,-3.0492184708901986,-4.230135074085001
42,-0.8113602287073874,-4.436214324011718,-3.028316458117169,-4.208670721028688
43,-0.8113601316737535,-4.436213824486966,-3.006618341181641,-4.188718147266789
44,-0.8113600346489919,-4.436213324959627,-2.983349175373416,-4.170767714350536
45,-0.8113599376319451,-4.436212825428897,-2.9622189235610596,-4.151212059030402
46,-0.8113598406215773,-4.436212325894052,-2.9397072892564236,-4.132018459352812
47,-0.8113597436169632,-4.436211826354448,-2.915980948494047,-4.11487567554425
48,-0.8113596466172784,-4.436211326809506,-2.894634164649635,-4.096006242769635
49,-0.8113595496217829,-4.4362108272587095,-2.8717464460209876,-4.076109327896877
50,-0.811359452629819,-4.436210327701602,-2.8499326697575897,-4.056981541778233
51,-0.8113593556407972,-4.436209828137759,-2.828638688082194,-4.037797414488574
52,-0.8113591616695319,-4.436208828988452,-2.7833766778925386,-3.999258515074703
53,-0.811359064686399,-4.436208329402355,-2.7621612791167465,-3.980425433604347
54,-0.8113589677044163,-4.436207829808268,-2.739319932565943,-3.9616514196355785
55,-0.8113588707232492,-4.436207330205952,-2.716082280647735,-3.942794147673117
56,-0.8113587737425989,-4.436206830595194,-2.695404337875942,-3.9249372592213603
