step,ego_x,ego_y,adv_x,adv_y
0,-0.8113674376981441,-4.4362470566391465,-3.387720961454206,-4.653408465270199
1,-0.8113672690924383,-4.436246257471308,-3.3565861387063096,-4.612338670050665
2,-0.8113671123605544,-4.4362454776605835,-3.3289382829229637,-4.572088864087092
3,-0.8113669841826379,-4.436244823814181,-3.299708860715011,-4.531897025889336
4,-0.8113668540264088,-4.436244171255427,-3.2631601117738867,-4.497107232843307
5,-0.8113667248962629,-4.436243520470853,-3.2250124931367457,-4.466205436230508
6,-0.811366614655789,-4.436242945876715,-3.188279808250695,-4.432413459075698
7,-0.8113665101927693,-4.436242443508138,-3.1535127697050487,-4.401269309939164
8,-0.8113664064576898,-4.436241941461879,-3.1162869386766863,-4.3703327641201
9,-0.811366303489845,-4.436241439901657,-3.077472095304636,-4.341669152203823
10,-0.81136609953684,-4.436240438034774,-2.992974689787485,-4.291483909970592
11,-0.8113659984128817,-4.436239937639169,-2.9481580844433437,-4.268929154021385
12,-0.8113658977769533,-4.436239437550586,-2.903584499776342,-4.249655247789175
13,-0.8113657975767891,-4.436238937735459,-2.8561737610559415,-4.231470964363401
14,-0.8113656977657001,-4.436238438163779,-2.809627547508898,-4.222281958363333
15,-0.8113655983019766,-4.4362379388087065,-2.7600829136242164,-4.210098075563913
16,-0.8113654991483564,-4.436237439646251,-2.7152091558219227,-4.200723274540095
17,-0.8113654002715529,-4.436236940654958,-2.6636272244751464,-4.195978046544391
18,-0.8113653016418311,-4.43623644181564,-2.614968711222199,-4.19344197499971
19,-0.8113652032326241,-4.436235943111148,-2.5688919435165176,-4.1944277957195775
20,-0.8113651050202018,-4.43623544452614,-2.526885370800783,-4.201456718595122
21,-0.8113650069833633,-4.436234946046905,-2.4879369069097734,-4.209877747120382
22,-0.8113649091031702,-4.436234447661181,-2.453874304606378,-4.218525325334368
23,-0.8113648113627036,-4.436233949357999,-2.443164591985876,-4.217766191578638
24,-0.8113647137468478,-4.436233451127557,-2.435774328214748,-4.217729798669563
25,-0.8113646162421025,-4.436232952961083,-2.435459555917825,-4.216765080666646
26,-0.8113645188364047,-4.436232454850741,-2.4353686709370277,-4.216605196211165
27,-0.8113644215189791,-4.436231956789517,-2.4353405324690054,-4.216586681476503
28,-0.811364324280198,-4.436231458771144,-2.435312974610812,-4.21660505563617
29,-0.8113642271114643,-4.436230960790015,-2.4352849520586166,-4.2165869067945305
30,-0.8113641300050941,-4.436230462841115,-2.4352573264375326,-4.216604687983757
31,-0.8113640329542249,-4.436229964919964,-2.435229359739369,-4.216586270944881
32,-0.8113639359527253,-4.436229467022556,-2.4352017856249955,-4.2166044561269835
33,-0.8113637420765136,-4.436228471284987,-2.4351463164840967,-4.216604380835668
34,-0.8113636451925373,-4.436227973438758,-2.4351187298047696,-4.216585984704772
35,-0.8113635483392853,-4.436227475604048,-2.4350909680831334,-4.21660360392235
36,-0.8113634515132699,-4.436226977778559,-2.435063510682921,-4.216585006043504
