step,ego_x,ego_y,adv_x,adv_y
0,-0.8113647954756428,-4.436239805928076,-3.387718624767414,-4.653401556239745
1,-0.8113646061193718,-4.436238722700853,-3.3877183260837587,-4.653400779224108
2,-0.8113644150495186,-4.436237639131122,-3.3877180229558226,-4.653400004562924
3,-0.8113642234395793,-4.436236555129239,-3.387717719150212,-4.653399230583833
4,-0.8113640313720485,-4.436235470750318,-3.387717414783457,-4.6533984572070874
5,-0.8113638389094201,-4.436234386042967,-3.3877168046726176,-4.653396912017913
6,-0.8113634530067381,-4.436232215804248,-3.387716499055212,-4.653396140099131
7,-0.8113632596531091,-4.436231130339634,-3.387716193133023,-4.653395368568746
8,-0.8113631854750973,-4.436230288668619,-3.387715886949306,-4.653394597385949
9,-0.8113630536692366,-4.436229467393076,-3.3877155805412102,-4.65339382651402
10,-0.8113629213408705,-4.436228647202209,-3.387715273940619,-4.653393055919918
11,-0.8113627888941667,-4.436227827921497,-3.3877149671748876,-4.653392285573919
12,-0.8113626563498665,-4.436227009460818,-3.3877146602674593,-4.65339151544928
13,-0.8113625237234616,-4.436226191739127,-3.3877143532384277,-4.653390745521938
14,-0.8113623910280873,-4.43622537468317,-3.3877140461049944,-4.653389975770258
15,-0.8113622582748766,-4.436224558226724,-3.3877137388818763,-4.653389206174776
16,-0.811362125473248,-4.436223742309936,-3.3877134315816573,-4.653388436717985
17,-0.811361992631159,-4.436222926878714,-3.387713124215085,-4.653387667384138
18,-0.811361868218857,-4.4362222397811815,-3.374495197665054,-4.626345667130781
19,-0.8113617622461631,-4.436221600470067,-3.3627714985898645,-4.601488342571575
20,-0.8113616563889412,-4.436220961330508,-3.3524496723680333,-4.584302539118418
21,-0.8113615505836363,-4.436220322361625,-3.3383666964015997,-4.570195574227496
22,-0.8113614448241725,-4.436219683550148,-3.3208557177274916,-4.549760771478673
23,-0.811361339105288,-4.436219044883454,-3.3053793702070595,-4.528767258616574
24,-0.8113612273144536,-4.436218464554202,-3.28827172342693,-4.504780220602579
25,-0.81136112745247,-4.436217876719615,-3.2731979055308598,-4.482465369350072
26,-0.8113610311065589,-4.436217288038498,-3.241665829401369,-4.438268865367739
27,-0.8113608261425762,-4.43621612405745,-3.22460204729076,-4.414787525170938
28,-0.811360729817921,-4.43621553579448,-3.2105126512721167,-4.394358519818151
29,-0.8113606247627505,-4.436214959540153,-3.1921129541554807,-4.373532034453797
30,-0.8113605249742972,-4.43621437250143,-3.172967989774421,-4.350396956570953
31,-0.811360428664981,-4.436213784536529,-3.155033823570628,-4.32977694557184
32,-0.8113603236745418,-4.43621320853498,-3.134996979158504,-4.3097842764576075
33,-0.8113602239036031,-4.43621262173152,-3.11474432298105,-4.287791367364516
34,-0.8113601276047928,-4.436212033976305,-3.094860008198271,-4.266304892825464
35,-0.811360022657983,-4.436211458151791,-3.07313522028065,-4.2470776603081175
36,-0.8113599228985331,-4.436210871511816,-3.051521598838232,-4.226833218208453
37,-0.8113598266063358,-4.436210283901255,-3.0309173254675494,-4.2055948185620124
38,-0.8113597216883803,-4.436209708197822,-3.0087802690197973,-4.186208221029695
39,-0.8113596219358455,-4.436209121668505,-2.985832255717059,-4.168027299624258
40,-0.8113595256471746,-4.436208534154772,-2.9649801063993535,-4.148252375760404
41,-0.8113594207477093,-4.4362079585311065,-2.9420273100711056,-4.129115295370394
42,-0.8113593209986346,-4.436207372073599,-2.9187023428840657,-4.111340642742688
43,-0.8113592247110707,-4.436206784621517,-2.8972866451973593,-4.092022804197388
44,-0.8113591198228092,-4.436206209047137,-2.8746029484527065,-4.071926477102065
45,-0.8113590200745908,-4.436205622632865,-2.8528393158827607,-4.052392437244187
46,-0.8113589237862553,-4.436205035216581,-2.8317389637417976,-4.0330479171096485
47,-0.8113588189040626,-4.436204459669014,-2.7868618443337816,-3.994282239537479
48,-0.8113586228641924,-4.436203285877479,-2.7659691297246547,-3.9753678450651733
49,-0.8113585179844438,-4.43620271034016,-2.743281671142122,-3.9570783499092745
50,-0.8113584182325646,-4.436202123954905,-2.720195939567706,-3.9379305485443243
51,-0.8113583219386834,-4.436201536558238,-2.7007979364129335,-3.9206808806286957
52,-0.811358217058814,-4.436200961018969,-2.679200785232074,-3.9047366214558705
53,-0.8113581173032773,-4.436200374629153,-2.6551644328419894,-3.889034512294892
54,-0.8113580210052275,-4.436199787225054,-2.6338097547330284,-3.873297617589642
55,-0.8113579161234196,-4.436199211674841,-2.612384636379322,-3.861483747468278
56,-0.8113578163634092,-4.436198625272129,-2.585127282648458,-3.8552702561699745
57,-0.8113577200605494,-4.43619803785306,-2.559973877035812,-3.8454274993603272
58,-0.8113576151755109,-4.436197462285297,-2.535299823563154,-3.835561927357758
59,-0.8113575154104188,-4.43619687586356,-2.5067816523813073,-3.8340549413499923
60,-0.8113574191022662,-4.436196288423983,-2.480994666908434,-3.828099586245056
61,-0.8113573142130762,-4.436195712833801,-2.45551348950254,-3.819327429914562
62,-0.8113572144424495,-4.436195126388542,-2.4275036957597225,-3.8117270974698765
63,-0.8113571181286409,-4.43619453892439,-2.401778177131002,-3.802638505598112
64,-0.8113570132346464,-4.436193963308209,-2.376739712098095,-3.794074269101622
65,-0.8113569134581486,-4.43619337683612,-2.347817196202038,-3.787844145988898
66,-0.8113568171384111,-4.436192789344409,-2.321350000159434,-3.780043635183485
67,-0.8113567122391414,-4.436192213699591,-2.2968663177866184,-3.772845856393136
68,-0.8113566124565237,-4.436191627198247,-2.268640583168313,-3.7685307918309467
69,-0.8113564112257721,-4.436190464001392,-2.215552407077244,-3.7583611510197903
70,-0.8113563114368495,-4.436189877469007,-2.1871641279985816,-3.7591300044911837
71,-0.8113562151046908,-4.436189289916178,-2.1594419810266845,-3.7586818042156214
72,-0.8113561101939607,-4.436188714208794,-2.1309232129003126,-3.7546276327620642
73,-0.8113560103985954,-4.436188127644065,-2.10228186151893,-3.7585753218688396
74,-0.811355914060035,-4.436187540058685,-2.0743633231179452,-3.759760523568686
75,-0.8113558091432825,-4.436186964318255,-2.0454083961503082,-3.757585229267088
76,-0.8113557093413734,-4.436186377720211,-2.0162328595618972,-3.757641233494458
77,-0.8113556129963271,-4.436185790101416,-1.9878560109241714,-3.759542610217421
78,-0.8113555080734269,-4.436185214327173,-1.9598837697601545,-3.758757754302254
79,-0.8113554082648999,-4.436184627695109,-1.9297127770777485,-3.7584705841394843
80,-0.8113553119133025,-4.436184040042259,-1.9017480667955131,-3.758237581154944
81,-0.8113552069841651,-4.436183464233632,-1.8756647716671369,-3.7578581753842606
82,-0.8113551071689633,-4.436182877567033,-1.8473490073756254,-3.761472311751765
83,-0.8113550108107687,-4.436182289879656,-1.8195318201419903,-3.765622864373475
84,-0.8113549058753282,-4.436181714036234,-1.7953245322799856,-3.765986059923958
85,-0.8113548060534105,-4.436181127334715,-1.7700345756915552,-3.773144190003037
86,-0.8113547096885843,-4.436180539612465,-1.743349874561885,-3.7833057194800364
87,-0.8113546047467952,-4.436179963733932,-1.7170783273325205,-3.786761502349947
88,-0.811354504918131,-4.436179376997206,-1.6908593266447176,-3.7923514562936638
89,-0.8113544085466449,-4.436178789239834,-1.6643773832497653,-3.7985513752158413
90,-0.8113543035984725,-4.43617821332597,-1.6380337084567005,-3.8058402064192998
91,-0.8113542037630396,-4.436177626553836,-1.6120482892460712,-3.8142900492134935
92,-0.8113540024302929,-4.436176462811782,-1.554444903596239,-3.8287803125056676
93,-0.8113539025880737,-4.436175876004085,-1.5272117163974657,-3.83597642859843
94,-0.8113538062032152,-4.436175288175947,-1.499021628152395,-3.843800542667032
95,-0.8113537012422077,-4.436174712190956,-1.476082408968398,-3.8501614833406554
96,-0.8113536013931897,-4.436174125347584,-1.4539932738211845,-3.8568559491695513
97,-0.8113535050016268,-4.43617353748389,-1.4251745118983123,-3.8648894322230176
98,-0.8113534000341797,-4.436172961463186,-1.4000540695636718,-3.873573218700968
99,-0.811353300178353,-4.436172374584054,-1.3800516932624556,-3.8836419462309415
100,-0.8113532037800769,-4.436171786684729,-1.360815744940801,-3.9050452920695182
101,-0.8113530988061791,-4.43617121062824,-1.3399473646781268,-3.919912207795288
102,-0.8113529989435375,-4.436170623713285,-1.3157121744889806,-3.9331452672424616
103,-0.8113529025385428,-4.436170035778274,-1.2922706376245696,-3.948392477819113
104,-0.8113527975581877,-4.436169459685951,-1.2718036741517396,-3.9662391775108428
105,-0.8113526976887254,-4.4361688727351245,-1.2494426229612399,-3.9803430405977314
106,-0.8113526012770066,-4.436168284764386,-1.2256623726185412,-3.9981885763293694
107,-0.8113524962901898,-4.436167708636188,-1.2021905531214367,-4.014759867428771
108,-0.8113523964139021,-4.436167121649456,-1.1788822525699585,-4.0294113694433955
109,-0.8113522999954548,-4.436166533642956,-1.1557562501182281,-4.047380156621312
110,-0.8113521950021704,-4.436165957478854,-1.1331367433528574,-4.0659763246510625
111,-0.8113520951190542,-4.436165370456191,-1.1105132086936322,-4.080900245137189
112,-0.8113519986938764,-4.436164782413904,-1.0886268227947857,-4.09893592104571
113,-0.8113518936941215,-4.436164206213879,-1.0671754623138412,-4.117843171499497
114,-0.8113517938041742,-4.4361636191552645,-1.0447749610675543,-4.13408853798184
115,-0.8113515923660374,-4.436162454841202,-1.006681346185528,-4.174409408246912
116,-0.8007770527276104,-4.430906714222886,-0.9798438858842788,-4.1870384660702085
