step,ego_x,ego_y,adv_x,adv_y
0,-1.050431853067205,-6.408976022382909,-1.1292192807804857,-3.252147490318369
1,-1.0594682900283054,-6.387564743037578,-1.1292183130626599,-3.2521479743102386
2,-1.063625516775192,-6.373414311147659,-1.129217345449861,-3.2521484587638843
3,-1.0651122885785185,-6.359885219366579,-1.1292163779255204,-3.2521489436059374
4,-1.062165060433401,-6.348194038923544,-1.1292154104791798,-3.2521494287825994
5,-1.0484235071258747,-6.32538079155439,-1.129214443101148,-3.2521499142478154
6,-1.0368135855903735,-6.3051153723320965,-1.1292134757824337,-3.2521503999621024
7,-1.0369393016037771,-6.287501174529392,-1.1292126240367808,-3.252150753628698
8,-1.0390879815466894,-6.265483259738661,-1.129211897058067,-3.2521510998734726
9,-1.0389982976315564,-6.265155750168031,-1.1292111725749445,-3.2521514477841653
10,-1.0390152827979946,-6.265159242451828,-1.1292104492776622,-3.252151795442021
11,-1.0390160949219274,-6.265160066964016,-1.1292097270382084,-3.2521521428546674
12,-1.0321897575693515,-6.248963001701476,-1.1292090057480249,-3.2521524900405927
13,-1.03303472502872,-6.24591064176592,-1.12920828530956,-3.2521528370174146
14,-1.0330336467697503,-6.245911047876395,-1.1292075656351146,-3.252153183801776
15,-1.033033300533984,-6.2459108234063665,-1.1292068466458525,-3.252153530409339
16,-1.0337792213255435,-6.223455849491834,-1.1292061282709007,-3.2521538768547917
17,-1.0322898615423943,-6.209420810609937,-1.1292046931155209,-3.252154569313373
18,-1.0329183213054471,-6.187575790416749,-1.1292041222004565,-3.2521548689798228
19,-1.0324873771622516,-6.17743747969864,-1.1292035600927772,-3.2521551424231925
20,-1.0317718331710923,-6.159097495678892,-1.1292029982090008,-3.2521554157568104
21,-1.0335442569350584,-6.136522688725924,-1.1292024365370315,-3.2521556890022802
22,-1.0376386976201346,-6.114970449492816,-1.1292018750572108,-3.252155962167602
23,-1.0436043918667137,-6.1031916739378085,-1.1292013137514643,-3.2521562352601356
24,-1.0479203372642405,-6.102564290255859,-1.129200785135906,-3.2521565010795466
25,-1.0523782357460003,-6.096993705319876,-1.1292002663232805,-3.252156751981756
26,-1.0559399790839583,-6.072565695448303,-1.1291997619241578,-3.252157009550907
27,-1.0569715592831503,-6.045282385324999,-1.1291992454731625,-3.2521572636240403
28,-1.0659679988852675,-6.03150662556161,-1.1291987271108315,-3.2521575142288577
29,-1.0788816292155559,-6.02084245617973,-1.1291982231878608,-3.25215777166193
30,-1.0943035451486438,-6.006178279387484,-1.1291977071254593,-3.2521580255457625
31,-1.1113489047003853,-5.987340825380573,-1.1291971891049701,-3.2521582759737084
32,-1.1260992172644668,-5.973284788410639,-1.1291966855162392,-3.252158533309258
33,-1.1258533677659543,-5.973657159818326,-1.1291961697269355,-3.252158787061058
34,-1.1257569649309507,-5.973722986640637,-1.1291956519459159,-3.2521590373663187
35,-1.137928823152369,-5.9572386770690064,-1.1291951485893175,-3.2521592946332905
36,-1.151349800911585,-5.939922931344514,-1.1291946329894254,-3.252159548294319
37,-1.1638150104055671,-5.921414488164547,-1.1291941153736191,-3.252159798515797
38,-1.1745668614290292,-5.902681826954468,-1.1291930967045418,-3.2521603093359093
39,-1.1850212959723605,-5.877439263046549,-1.1291925792000777,-3.2521605595015557
40,-1.194284675569747,-5.8549650284851555,-1.129192076107876,-3.252160816691048
41,-1.2057879292748659,-5.83707533620632,-1.1291915607215273,-3.2521610702514656
42,-1.1906091494092765,-5.860740718287139,-1.1291910432893142,-3.2521613203813815
43,-1.1750641977766174,-5.885142129175253,-1.1291905402647233,-3.252161577552361
44,-1.1633496884477728,-5.903490251230119,-1.1291900249312794,-3.25216183108868
45,-1.1722804451385909,-5.878049641236199,-1.1291895075429519,-3.2521620811973317
46,-1.1802756429834416,-5.852561462151604,-1.1291890045584754,-3.252162338358798
47,-1.1884808848428305,-5.830334346766862,-1.1291884892548136,-3.2521625918821973
48,-1.1747397396675594,-5.856421553600705,-1.129187971889785,-3.252162841980003
49,-1.1650927262492914,-5.874827507020397,-1.1291874689255863,-3.2521630991386354
50,-1.1556281399191926,-5.892668322351741,-1.1291869536349353,-3.2521633526571914
51,-1.162460170821063,-5.865278570127865,-1.129186436278259,-3.252163602751655
52,-1.17328992686022,-5.839409391826966,-1.1291859333200167,-3.2521638599124003
53,-1.1771358534535188,-5.811193936270536,-1.1291854180302092,-3.2521641134319506
54,-1.1670627513753038,-5.832537034387787,-1.129184900671035,-3.2521643635284865
55,-1.1599310020625364,-5.852432838749768,-1.129184397708407,-3.252164620695004
56,-1.1512959571519776,-5.876615031960322,-1.1291838824106137,-3.2521648742197695
57,-1.1414460700718922,-5.904316119725754,-1.1291833650410643,-3.2521651243222833
58,-1.138457344356631,-5.904418873938642,-1.129182862066576,-3.2521653814972686
59,-1.1384482424846156,-5.9044532697547245,-1.1291823467543884,-3.252165635030303
60,-1.1442288553165816,-5.875706809153115,-1.1291818293687437,-3.2521658851416158
61,-1.1522988102164768,-5.847522546465977,-1.1291813263769914,-3.2521661423270602
62,-1.1586546736601984,-5.81786917446341,-1.1291802936398632,-3.2521666459927214
63,-1.1533004079777618,-5.835858933086465,-1.1291797906269379,-3.2521669031900866
64,-1.1451562651428124,-5.86430097052982,-1.1291792752732837,-3.2521671567456787
65,-1.1368363092462597,-5.89307911573683,-1.1291787578441197,-3.2521674068801345
66,-1.135800875106692,-5.864322125616952,-1.129178254807193,-3.252167664090499
67,-1.1425782849804922,-5.835675294429807,-1.1291777394286648,-3.252167917659329
68,-1.1494518010098769,-5.806442330156514,-1.1291772219740408,-3.252168167807158
69,-1.1411149670108967,-5.823560007556584,-1.1291767189110649,-3.252168425031314
70,-1.1368511126510674,-5.842398432499337,-1.1291762035058825,-3.252168678614222
71,-1.1303877470737376,-5.871860756539427,-1.1291756860242046,-3.252168928776195
72,-1.124188635789208,-5.901117537221463,-1.129175182933696,-3.2521691860147213
73,-1.1157785000271152,-5.87628356120994,-1.1291746675005647,-3.2521694396123157
74,-1.1157740151066422,-5.876228504326339,-1.1291741499906753,-3.2521696897889893
75,-1.1216572148754298,-5.8487640213043,-1.129173646871559,-3.2521699470423138
76,-1.1264528365933963,-5.819150127027093,-1.129173131409538,-3.252170200655035
77,-1.1259328281981738,-5.816371932333691,-1.1291726138705949,-3.252170450846814
78,-1.1259265436990717,-5.816214977700656,-1.1291721107220927,-3.25217070811525
79,-1.125929263693019,-5.816213073602784,-1.1291715952304995,-3.252170961743421
80,-1.1196883032869855,-5.843473899733488,-1.1291710776618908,-3.2521712119505986
81,-1.115098958181285,-5.873352899749167,-1.1291705744834366,-3.2521714692343746
82,-1.1237427526298807,-5.850581342287504,-1.1291700589617737,-3.2521717228782276
83,-1.1306083491144532,-5.820464587203015,-1.1291690381542372,-3.252172230400301
84,-1.1360274847203962,-5.791103280826844,-1.1291685226021424,-3.2521724840600057
85,-1.132152309018852,-5.811159718038706,-1.129168004972987,-3.2521727342985596
86,-1.128750468200833,-5.830230895633543,-1.1291675017335092,-3.2521729916134765
87,-1.1230126748005054,-5.858490423513831,-1.1291669861507192,-3.2521732452891547
88,-1.1173725830905719,-5.8882822895928255,-1.129166468490891,-3.2521734955435853
89,-1.12090170515086,-5.862483802997974,-1.1291659652205344,-3.2521737528742243
90,-1.1255985719323265,-5.83275393782645,-1.129165449606858,-3.252174006565967
91,-1.1302787137224062,-5.802997164884268,-1.1291649319161854,-3.2521742568363585
92,-1.1253487839904819,-5.821268199142424,-1.1291644286147922,-3.2521745141827885
93,-1.1220285653800162,-5.8416200817778225,-1.1291639129700863,-3.2521747678906596
94,-1.122073757591445,-5.8416410683863225,-1.1291633952484421,-3.252175018177069
95,-1.1220742626855966,-5.841637252800542,-1.1291628919158967,-3.2521752755393374
96,-1.1220747342135435,-5.841633815761285,-1.1291623762400607,-3.252175529263388
97,-1.127364756703386,-5.811964368241582,-1.1291618584873537,-3.2521757795658606
98,-1.125112849754859,-5.810433183147513,-1.1291613551235715,-3.2521760369440034
99,-1.1251138854431637,-5.810430473289789,-1.1291608394165287,-3.252176290684267
100,-1.1190115897462476,-5.837862164612572,-1.1291603216326898,-3.252176541002835
101,-1.1145187571456177,-5.8670151817245255,-1.129159818237608,-3.2521767983968806
102,-1.1116495343498582,-5.888964742500546,-1.1291593024993047,-3.2521770521533813
103,-1.1141078539409877,-5.861902276508517,-1.1291587846842839,-3.2521773024880676
104,-1.114081971131335,-5.861751748537155,-1.1291577654882483,-3.252177813670793
105,-1.1186118731075863,-5.832331790750807,-1.1291572476420084,-3.252178064021617
106,-1.1223022887783598,-5.802584123576672,-1.129156744184203,-3.25217832144752
107,-1.117703105879146,-5.819310474184422,-1.1291562283832606,-3.252178575236553
108,-1.1149032010045468,-5.838670640860778,-1.129155710505773,-3.2521788256035262
109,-1.111305153126363,-5.867808514432431,-1.1291552070165636,-3.252179083045378
110,-1.1084533283443812,-5.897733574612217,-1.1291546911842636,-3.252179336850693
111,-1.1086749146439758,-5.8747705845844935,-1.1291541732755075,-3.252179587233826
112,-1.1104923632505521,-5.845101859797677,-1.1291536697548723,-3.2521798446916326
113,-1.1127787476491349,-5.8156262208547025,-1.1291531538911976,-3.25218009851324
114,-1.1152757316299637,-5.787787183379405,-1.1291526359511577,-3.2521803489125403
115,-1.113018159864636,-5.806890186286161,-1.1291521323990836,-3.2521806063863115
116,-1.1123746110904174,-5.827181695584284,-1.126900413698857,-3.2464226653156123
117,-1.1117936687676881,-5.827000036776806,-1.1261235027317482,-3.2434082470040733
118,-1.1091920355684473,-5.851140220049125,-1.1258454044801072,-3.240726868889653
119,-1.109182098238298,-5.851244266468436,-1.1259532563850425,-3.2381969585579795
120,-1.1124201263041715,-5.821854177717751,-1.1264210459031643,-3.235854974850748
121,-1.1135181597665476,-5.815734542820506,-1.1272154226395785,-3.2337385109135526
122,-1.1108452636025228,-5.833077282350236,-1.128273435197037,-3.2318821546826966
123,-1.1080983870724639,-5.8623532649295775,-1.1298163152955178,-3.231225851468516
124,-1.1061011159407534,-5.892279566385828,-1.132104325149185,-3.2291149110152118
125,-1.1051599174311155,-5.893632792419898,-1.1316839094909592,-3.2274591426520387
126,-1.107930916763474,-5.83873155607433,-1.1310763157154242,-3.2274680972999006
127,-1.1100162745139062,-5.809295930306234,-1.1305454137759774,-3.2274436378950835
128,-1.1126766298118735,-5.780968239179378,-1.1297048948397392,-3.2274589230444235
129,-1.1111890576630925,-5.801309267001111,-1.1288078063066762,-3.227328147775359
130,-1.1098044798508178,-5.822121270135164,-1.1277319145418607,-3.227171045824646
131,-1.1065482634609203,-5.850756770919339,-1.126155670727948,-3.2270113030328313
132,-1.104697881866327,-5.87992184475167,-1.1234552519959784,-3.2265050446497483
133,-1.1047467498276584,-5.85554523863568,-1.120031809630953,-3.22497933259912
