step,ego_x,ego_y,adv_x,adv_y
0,-2.969283966248639,-5.856883295897841,-1.2975919833484042,-3.7275289536302085
1,-2.995117870111991,-5.852187640750041,-1.297591199286666,-3.7275287869578873
2,-3.0142232340527526,-5.847186452134213,-1.2975904151261075,-3.7275286234836975
3,-3.0304058598961143,-5.841295713044274,-1.29758963121996,-3.727528460902017
4,-3.049157876461339,-5.834574086805322,-1.2975888475561221,-3.727528299088466
5,-3.0462082850471828,-5.834208684893071,-1.2975872808965159,-3.7275279773916505
6,-3.0419799636729357,-5.835085301970933,-1.29758649787146,-3.727527817350412
7,-3.037590751519436,-5.8351154764169655,-1.2975857150305035,-3.7275276577583565
8,-3.0332002857991003,-5.825034055452686,-1.2975849323598825,-3.7275274985592164
9,-3.026235183914023,-5.804415567168715,-1.297584149846367,-3.727527339703804
10,-3.0165978832955043,-5.7789848789454785,-1.2975833674773183,-3.7275271811491115
11,-3.009657770426219,-5.756139823562252,-1.2975825852407261,-3.727527022857525
12,-3.0150779393617895,-5.748808059016315,-1.29758180312523,-3.7275268647961464
13,-3.022409313638872,-5.7349527637935465,-1.2975810211201273,-3.7275267069361893
14,-3.0284435499860733,-5.715744942253406,-1.2975802392153684,-3.7275265492524685
15,-3.0372521054139345,-5.696391820079972,-1.297579457401548,-3.727526391722938
16,-3.0450470270657863,-5.677746936881219,-1.2975786756698873,-3.7275262343282978
17,-3.0547182578741667,-5.65387049879802,-1.2975778940122116,-3.7275260770516527
18,-3.0505669593994047,-5.628042916636531,-1.2975771124209279,-3.727525919878198
19,-3.0534328915932902,-5.605355978902959,-1.2975758894276543,-3.7275256959223606
20,-3.0609372621241744,-5.581271263800723,-1.2975752756130723,-3.72752557377663
21,-3.068233379565495,-5.553115505890723,-1.297574661740092,-3.727525451628678
22,-3.073167223132109,-5.528881804913615,-1.2975740660793003,-3.7275253345922774
23,-3.076483344432417,-5.5041015924593655,-1.3213135402436376,-3.7215858852003874
24,-3.074362671039715,-5.476186929590135,-1.3513883638408253,-3.7280747476418203
25,-3.0757213325797554,-5.450380397482124,-1.3707717438834917,-3.7327647785456617
26,-3.0760079083756313,-5.422948759825214,-1.388695619944096,-3.737391165322998
27,-3.0697521739323963,-5.395114405686128,-1.4177406224471825,-3.7447204954137834
28,-3.069894104748605,-5.367606767274293,-1.4472146760223383,-3.7520964840168434
29,-3.0712419167488885,-5.338081979867108,-1.4655640795813194,-3.7566797245111863
30,-3.0720410078818245,-5.309929487630314,-1.4862093853653924,-3.7618774548120233
31,-3.0733965802664382,-5.28285018519239,-1.5155458280046923,-3.769314611884998
32,-3.0732922475978683,-5.254551867184733,-1.5431765427090587,-3.7766810917875744
33,-3.073744010679538,-5.224150786236641,-1.561623639158506,-3.780956028066005
34,-3.074680956335802,-5.196597197588097,-1.583129765314815,-3.785869377598096
35,-3.0741063982275776,-5.168384372597796,-1.612491830794594,-3.7930424042669366
36,-3.071073313254619,-5.138572206117342,-1.6385650984070317,-3.7986171222124168
37,-3.072137482606098,-5.122784066684896,-1.6602186699333696,-3.8040484955486398
38,-3.073623157727617,-5.118562930153638,-1.7151107909387378,-3.818137647000735
39,-3.073624745050731,-5.091307623200313,-1.7392879902040483,-3.822373138431662
40,-3.074055302438528,-5.064071726975288,-1.7644518728095462,-3.8272475684184855
41,-3.073343391929521,-5.034723058279469,-1.793516595870104,-3.832333902490445
42,-3.0729973867243263,-5.005539073881886,-1.818797246218377,-3.835522703877112
43,-3.0716223354056025,-4.979010571369357,-1.8405680988117588,-3.837732646664424
44,-3.066227586810961,-4.950676832010747,-1.8662395378811467,-3.8407807008837507
45,-3.062734358293005,-4.921265939891935,-1.8964874587786253,-3.843877821220618
46,-3.0587236049800817,-4.893188203197714,-1.920463698878345,-3.846405985299113
47,-3.0536910713910213,-4.864360282419332,-1.9428777877808348,-3.8480505406764856
48,-3.0498934226248235,-4.835076494715992,-1.9703913802851984,-3.8499306173453443
49,-3.0468132047306535,-4.805678610400715,-1.9991449046632346,-3.8522939935097056
50,-3.040193116155377,-4.7770912385948066,-2.021635905191755,-3.8532950018519245
51,-3.0350108873492307,-4.748803002891942,-2.04576253839299,-3.8541542984008808
52,-3.0312498337833786,-4.7196433365330135,-2.0745247421107984,-3.855171534066901
53,-3.0241835027190396,-4.691394039159873,-2.100981573223034,-3.8572224208659818
54,-3.018033058724002,-4.66376604145748,-2.122296523920202,-3.8575341602637563
55,-3.013187280903292,-4.635151734913982,-2.09162720819491,-3.85955477794346
56,-3.0136450517144264,-4.633928109625342,-2.0300232823864643,-3.859669160364959
57,-3.0102826898031965,-4.604814859986648,-1.998199494699808,-3.859439177765139
58,-3.006341313897648,-4.576044733313599,-1.9695818942246361,-3.859499008798326
59,-3.002089621395606,-4.547689894925115,-1.9420211699782817,-3.85951929329388
60,-2.997014388354963,-4.517507435513611,-1.914849135289848,-3.8595340004442042
61,-2.9902914195725128,-4.489066371189914,-1.8872230708756468,-3.8598795887271624
62,-2.985362661026301,-4.460803255261486,-1.8609878068953714,-3.8598940650691382
63,-2.9798377417374002,-4.430764987474733,-1.8325443436651037,-3.8596234590859546
64,-2.974880108544313,-4.402000272854347,-1.8043119463054766,-3.859636964251322
65,-2.970192381202348,-4.3742967209503645,-1.777026342908905,-3.859552108078685
66,-2.9632749123300757,-4.345247795718802,-1.7498313620464163,-3.8591656961704413
67,-2.9565022911206182,-4.316644344825331,-1.7224551195851379,-3.859187520557634
68,-2.9515713686041956,-4.289865666402519,-1.6969843305487968,-3.8592511246855232
69,-2.9439114903345565,-4.261564551590973,-1.6736777918661432,-3.8590093419056344
70,-2.935027090554904,-4.2328016688305,-1.6502588446051574,-3.858781932187923
71,-2.9285895286176586,-4.206811756307587,-1.6270543221978229,-3.858765012145441
72,-2.919678087720916,-4.179387362267617,-1.6038963057899156,-3.858757064281875
73,-2.9099763086979844,-4.151074267690421,-1.6031015761633773,-3.858466513321236
74,-2.902140980650572,-4.123662022004613,-1.6030668022573835,-3.858475472328717
75,-2.9020693019610335,-4.124518923823603,-1.6029945611123457,-3.8584901362386175
76,-2.8922891646914173,-4.101763892303641,-1.6029574147902201,-3.858497610218216
77,-2.882008220170883,-4.073645395302126,-1.6029219518588733,-3.8585065546050297
78,-2.8731774995492585,-4.0453706152235736,-1.6028837261629145,-3.858514602468933
79,-2.863519863907269,-4.017759853236871,-1.602848226385942,-3.8585241886177517
80,-2.8538661715986233,-3.9896732274848827,-1.6028151044741135,-3.858534142117084
81,-2.844080235151192,-3.962261149526254,-1.6027836360436514,-3.8585445759926875
82,-2.8310823288149374,-3.936150568901209,-1.6027517912224012,-3.8585554040492607
83,-2.8155193590514678,-3.9118766696576976,-1.602720394566539,-3.8585657890199974
84,-2.805076881600473,-3.887144821979286,-1.602692797288488,-3.8585774225240734
85,-2.792755598632916,-3.8600937156065136,-1.6026632530948923,-3.8585882278923793
86,-2.780682907658863,-3.8355521573137117,-1.6026351304297481,-3.8585998242248656
87,-2.770499448523403,-3.813025902288556,-1.602607957670566,-3.8586119976718116
88,-2.7571451412972245,-3.7903244063640917,-1.6025780898722426,-3.8586246623101914
89,-2.7429394627476,-3.7655171338939275,-1.602553602916359,-3.8586371568345914
90,-2.7330504787788166,-3.744914897895465,-1.6025304276326517,-3.8586501347360076
91,-2.7199260791310875,-3.7278326312708905,-1.602506569826504,-3.858663519335692
92,-2.6981948515002987,-3.713588794233944,-1.6024839250533014,-3.858675531921081
93,-2.681987055906468,-3.6958295188952777,-1.6024613481034744,-3.858688591263644
94,-2.666222240545743,-3.679827237402846,-1.6024391080145606,-3.85870125542134
95,-2.6399930674020524,-3.6729699199844403,-1.6024170818051433,-3.858716612174755
96,-2.6156036616458387,-3.666400611614215,-1.6023940037392481,-3.8587311527031782
97,-2.5981110697423397,-3.6525652132711737,-1.6023734157290956,-3.858746318657622
98,-2.57554313705717,-3.6375916967627524,-1.6023531529771755,-3.858752818016389
99,-2.552906216781325,-3.6215446938907134,-1.6023321802183086,-3.858707607221871
100,-2.535519800407238,-3.6070657385102294,-1.6023108767492984,-3.858661776877558
101,-2.511536885816516,-3.5980505714130038,-1.602289952684741,-3.858615445340141
102,-2.51008306570208,-3.5976250043771807,-1.6022694005929365,-3.858568622377744
103,-2.5100816171214335,-3.5976238198626813,-1.6022293971194266,-3.858473500289805
104,-2.483483542296734,-3.58834078711934,-1.6022099381531816,-3.8584252003392026
105,-2.4599179845172827,-3.5751380925696283,-1.602190836796728,-3.858376408951815
106,-2.4326779397868887,-3.5703236400256873,-1.6021720916490603,-3.8583271242577726
107,-2.4047432640638347,-3.5677560951706178,-1.602153698997797,-3.8582773449686165
108,-2.38065174486095,-3.5580874175360306,-1.6021356550501142,-3.8582270707319735
109,-2.354424366122789,-3.5483288291550905,-1.6021179560350345,-3.8581763012041383
110,-2.326243848165692,-3.5464466138371917,-1.6021005982107228,-3.8581250360188415
111,-2.301990161796143,-3.539139497848833,-1.602083577900379,-3.8580732747050996
112,-2.2753525222216417,-3.531359241552982,-1.6020668914240324,-3.858021017096911
113,-2.247116016808259,-3.5253382723619406,-1.6020505371541016,-3.8579682650281795
114,-2.221790135727749,-3.5166722253922043,-1.6020345123397393,-3.857915015556047
115,-2.1950622886220756,-3.5096460573298702,-1.60201881325919,-3.8578612684536506
116,-2.1659943044843653,-3.5045203781299965,-1.6020034365074007,-3.857807020389154
117,-2.1394003868763978,-3.4991303754669896,-1.6019883785112508,-3.857752271220546
118,-2.11329209552303,-3.494586694646139,-1.6019736356834657,-3.8576970206063184
119,-2.0838613046211596,-3.4906346818434724,-1.6019592044519129,-3.857641268157082
120,-2.0547635515971177,-3.4851583680712768,-1.6019450811580196,-3.857585013541734
121,-2.0273631954044946,-3.4821035069194957,-1.6019312637200804,-3.857528258440067
122,-1.998439989048847,-3.48294334911082,-1.601917750001979,-3.8574709996639953
123,-1.9697355177480784,-3.4799828121367136,-1.6019045364842783,-3.857413236686168
124,-1.9412801015556034,-3.4775819189640482,-1.601891619742851,-3.8573549689417703
125,-1.9122480042756107,-3.479585258199504,-1.6018790206885996,-3.857296217539418
126,-1.8838750009798795,-3.477971188473929,-1.601867391365833,-3.8572371779851444
127,-1.8543850925461824,-3.4752809302406416,-1.6018570933995233,-3.8571762903377538
128,-1.8258101173071615,-3.477026589027522,-1.6018472461800086,-3.857114627989407
129,-1.8245292492175489,-3.47744120366809,-1.6018288900202884,-3.8569894467585097
130,-1.7965874194568934,-3.47878708073197,-1.601820354612327,-3.856925857532468
131,-1.7683013722897123,-3.478521749298568,-1.6018122219483637,-3.856861579491055
132,-1.7382193347973514,-3.4802311814477123,-1.6018044869590344,-3.856796611724889
133,-1.7111780497842894,-3.484595151836479,-1.6017971461991793,-3.8567309541975088
134,-1.6853397541157327,-3.485917625649315,-1.6017902039915568,-3.8566646408547403
135,-1.6565996475389577,-3.4903168740034003,-1.6017836566586996,-3.8565976835560547
136,-1.6299756678717936,-3.492459970928076,-1.601777499300539,-3.85653008154468
137,-1.6074417123319795,-3.494450561399966,-1.6017717281886124,-3.856461833755147
138,-1.5830000774539268,-3.505078492336067,-1.6017663398187751,-3.8563929339735963
139,-1.5595688520009774,-3.5177761207668823,-1.6017613324277502,-3.856323366913819
140,-1.5356341853265836,-3.5236887085380886,-1.601756704628031,-3.8562531237228477
141,-1.5168203185862583,-3.5427936383145493,-1.6017524538659784,-3.8561821981870037
142,-1.500659796666962,-3.563369850384484,-1.6017485757198342,-3.8561105884388276
143,-1.4901097941399073,-3.571151258702255,-1.6017450621319314,-3.856038298559275
144,-1.4815848845355748,-3.57924974523239,-1.6017419038962166,-3.85596533841034
145,-1.468834217689041,-3.591937708328051,-1.601895457750791,-3.8558539289935307
146,-1.4488222111204871,-3.6048698664545236,-1.6034431586276043,-3.855662360825481
147,-1.4298281634167864,-3.6173388593576843,-1.6041612565601397,-3.855243551186187
148,-1.4126239677662247,-3.632830310189087,-1.6056362869728553,-3.85551408305902
