step,ego_x,ego_y,adv_x,adv_y
0,-3.6394638547836453,-5.711805477143822,-1.9975922369802777,-3.5775282541905007
1,-3.6394649269945427,-5.71180536010585,-1.9975914533453076,-3.5775280891444785
2,-3.639465998473256,-5.711805242270079,-1.9975906697718704,-3.5775279259695054
3,-3.6394670693347155,-5.711805124084132,-1.9975898864030257,-3.5775277636460037
4,-3.639468139651027,-5.711805005601132,-1.9975891032301383,-3.577527602061603
5,-3.6394702788974014,-5.7118047679077835,-1.9975883202428912,-3.577527441123149
6,-3.6394713479354324,-5.711804648765004,-1.997586754782129,-3.5775271208690733
7,-3.639472364188619,-5.711804580752797,-1.9975859722867393,-3.577526961420358
8,-3.639473166198153,-5.711804524433403,-1.9975851899335666,-3.577526802348953
9,-3.6394739644423533,-5.7118044498069445,-1.9975844077120686,-3.5775266436074693
10,-3.6394747613281777,-5.711804374936371,-1.9975836256120392,-3.5775264851544883
11,-3.6394755570046335,-5.7118042999423855,-1.9975828436236722,-3.577526326953801
12,-3.63947635159083,-5.711804224844194,-1.997582061737604,-3.5775261689737468
13,-3.63947714519427,-5.711804149657669,-1.9975812799449357,-3.5775260111866354
14,-3.6394779379120714,-5.711804074396355,-1.9975804982372523,-3.5775258535682437
15,-3.63947872983196,-5.711803999071789,-1.9975797166066238,-3.577525696097383
16,-3.639479521033179,-5.711803923693798,-1.997578935045611,-3.577525538755509
17,-3.6394803115872967,-5.7118038482707405,-1.997578153547249,-3.57752538152639
18,-3.6394809968304673,-5.71180376205842,-1.9975774025612,-3.577525240692179
19,-3.6394816172238693,-5.711803701081355,-2.025773722586787,-3.5818790319877523
20,-3.639482237326662,-5.711803640198542,-2.054793696483945,-3.587132487323277
21,-3.639482857137661,-5.711803579324636,-2.0715187249732603,-3.5940237167093247
22,-3.6394834766825115,-5.711803518459006,-2.0956541518243776,-3.6026525185781253
23,-3.6394840816762914,-5.71180345334525,-2.1231555593362272,-3.6135991878273765
24,-3.6394852140964313,-5.711803331959982,-2.1680477055438665,-3.621294322018472
25,-3.639485784741778,-5.711803273306064,-2.192598074791854,-3.6286598060375344
26,-3.6394863559557873,-5.711803218462992,-2.217204443324205,-3.632827267212613
27,-3.6394869160494454,-5.7118031526901545,-2.239153716993613,-3.6342320509555424
28,-3.639487486124482,-5.7118030940648445,-2.265447119163528,-3.6332517026844604
29,-3.6394880568264325,-5.711803039241853,-2.2882710925136087,-3.630220270189046
30,-3.639488616470525,-5.711802973527327,-2.3022673259059108,-3.630220965619308
31,-3.6394891861353815,-5.711802914922402,-2.3213402707544986,-3.639295839260176
32,-3.639489756470015,-5.711802860113858,-2.343390158873936,-3.649911651445735
33,-3.6394903157923615,-5.711802794439254,-2.365712698152178,-3.664344138845663
34,-3.639490885164847,-5.711802735848508,-2.378370652919104,-3.668342274905835
35,-3.639491455238627,-5.711802681050002,-2.390857734453452,-3.671078593670323
36,-3.639492014333383,-5.711802615402435,-2.401246315130521,-3.6705938309644197
37,-3.6394925835001515,-5.711802556821184,-2.4139530864240153,-3.675902000259372
38,-3.639493153391377,-5.7118025020292915,-2.4316430877113087,-3.6885358688822265
39,-3.6394937123278726,-5.711802436399696,-2.453800816081338,-3.7063134553025465
40,-3.6394942813526536,-5.711802377824426,-2.475373527128174,-3.7245193131068617
41,-3.639494851118898,-5.711802323036513,-2.487531665487039,-3.7398989552541617
42,-3.6394954099481738,-5.711802257418499,-2.4878654752325757,-3.7534002997639178
43,-3.639495978877831,-5.7118021988465735,-2.4932619666257225,-3.773937151130119
44,-3.639496548561424,-5.7118021440606155,-2.500981462043628,-3.793444367657076
45,-3.6394976761900275,-5.711802019879134,-2.4966114028501494,-3.822045580068975
46,-3.6394982458220873,-5.7118019650935965,-2.4996236765676887,-3.8418625971592224
47,-3.639498804539693,-5.7118018994865505,-2.521450461708125,-3.852895872172501
48,-3.639499373373331,-5.711801840915912,-2.528420604376542,-3.8628003709966428
49,-3.6394999429767294,-5.7118017861296275,-2.536107811340331,-3.876720181987281
50,-3.639500501672656,-5.7118017205242095,-2.5581909392522575,-3.9121981433381032
51,-3.639501070489566,-5.711801661952387,-2.573664991848397,-3.94386147386355
52,-3.639501640081113,-5.711801607164475,-2.5884550750750797,-3.964310537644045
53,-3.6395021987703187,-5.711801541559079,-2.599172727658017,-3.9919409815078217
54,-3.639502767584183,-5.711801482985253,-2.60814385612133,-4.02097058187767
55,-3.6395033371762353,-5.711801428195046,-2.616058089029345,-4.0484460948030065
56,-3.6395038958697206,-5.711801362588529,-2.6234477070194786,-4.076847983117467
57,-3.6395044646905954,-5.711801304012093,-2.6309857214365384,-4.106704710535795
58,-3.6395050342922297,-5.711801249219098,-2.640577987152519,-4.133848307646876
59,-3.6395055929980824,-5.7118011836106435,-2.655017352419186,-4.1580407192344335
60,-3.6395061618333595,-5.711801125031153,-2.670304628849876,-4.181271188419872
61,-3.6395067314512506,-5.711801070234997,-2.680716824727723,-4.2066909397291425
62,-3.6395072901754193,-5.711801004624022,-2.6922066414027235,-4.23266968623454
63,-3.6395078590305268,-5.711800946041142,-2.7015230071275904,-4.255728580596542
64,-3.6395084286695747,-5.7118008912415394,-2.7110820117253795,-4.277509793505264
65,-3.6395095562953625,-5.711800767041111,-2.735444758015329,-4.325817719264791
66,-3.639510125959171,-5.711800712237858,-2.7446038970892306,-4.345937521250958
67,-3.639510684731932,-5.711800646620712,-2.758747254233509,-4.368492986519488
68,-3.639511253637616,-5.711800588030372,-2.773818306500366,-4.3923229866152225
69,-3.63951182332883,-5.711800533223311,-2.789229658994361,-4.412843282328996
70,-3.639512382129859,-5.711800467602712,-2.8101933536500687,-4.430843763725622
71,-3.6395129510644524,-5.711800409008418,-2.8315146444785837,-4.449341561856955
72,-3.639513520785019,-5.711800354197437,-2.849284737413603,-4.472259229873759
73,-3.6395140796160548,-5.7118002885732375,-2.867929243311071,-4.49480944266821
74,-3.6395146485811414,-5.711800229974885,-2.887388124857498,-4.5169818285924395
75,-3.639515218332489,-5.711800175159893,-2.905047748771694,-4.53982969993886
76,-3.6395157771948052,-5.711800109531972,-2.923655866846603,-4.563170860620822
77,-3.6395163461915505,-5.711800050929492,-2.941926008215126,-4.587097397490771
78,-3.63951691597473,-5.711799996110427,-2.960431443927954,-4.611200899775437
79,-3.6395174748692702,-5.711799930478708,-2.9784512693559457,-4.634787080229641
80,-3.6395180438985277,-5.711799871872043,-2.9964499042482746,-4.65850456829902
81,-3.6395186137143143,-5.711799817048859,-3.0149046613243304,-4.6827759415421335
82,-3.6395191726417684,-5.711799751413286,-3.032493778000692,-4.7067183510245
83,-3.639519741704171,-5.711799692802398,-3.0497365403924293,-4.730324039138054
84,-3.6395203115531305,-5.7117996379750595,-3.068031017076571,-4.755146273994542
85,-3.6395214396100175,-5.711799513720446,-3.085597038011422,-4.779225847322087
86,-3.6395220094925707,-5.711799458888923,-3.1203911945933163,-4.828253315127911
87,-3.6395225684872456,-5.7117993932455215,-3.137672612376097,-4.852778717121446
88,-3.6395231376172017,-5.711799334626094,-3.1539522362032666,-4.876433259384179
89,-3.639523707533654,-5.711799279790374,-3.170880848368672,-4.901565487266726
90,-3.639524266562401,-5.711799214143019,-3.1881566155501986,-4.926803232819318
91,-3.6395248357265575,-5.711799155519302,-3.2046619099725486,-4.950663309252409
92,-3.6395254056771376,-5.711799100679364,-3.2217197751755693,-4.975408641879588
93,-3.639525964740161,-5.7117990350280365,-3.23902077693486,-5.0008992349062975
94,-3.6395265339387017,-5.711798976400013,-3.2546160986357155,-5.024430726092036
95,-3.6395271039235797,-5.711798921555855,-3.2706873835023873,-5.049564726443096
96,-3.639527663021031,-5.7117988559005575,-3.2877271840375313,-5.075862222400826
97,-3.639528232254095,-5.71179879726822,-3.303071309958132,-5.099453772844135
98,-3.6395288022733894,-5.711798742419817,-3.3190808224299833,-5.124569791860536
99,-3.6395293614053785,-5.711798676760526,-3.3361743323916335,-5.150787499465786
