row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,3,td3,movebase,True,0,1,0,98,56.60964957624674,-3.1206984824980086,-4.115173059852381,-2.219613416921583,logs/forklift_movebase/run_19/td3_model,,,,,1.27031357317422,1.280833525794839,8.163773242404793e-05
,4,td3,movebase,True,0,1,0,370,-73.40441919118166,-2.9614408349692063,-3.4470768423516067,-2.2805592775768733,logs/forklift_movebase/run_19/td3_model,,,,,1.4301877510850838,0.9689051195011733,3.964708286870876e-05
,5,td3,movebase,True,1,0,0,66,-135.98837560415268,-3.9160306449828615,-3.150064416761399,-2.464173084980666,logs/forklift_movebase/run_19/td3_model,,,,,1.9545820579249322,4.376575113289349,5.852236625711437e-05
,6,td3,movebase,True,1,0,0,33,-115.10506332665682,-3.5794133721262025,-4.435003975120651,-2.2498408723472565,logs/forklift_movebase/run_19/td3_model,,,,,1.357242225930897,2.1549426335849557,7.929163572202755e-05
,8,td3,movebase,True,1,0,0,112,-159.34084612876177,-2.5828146692861598,-3.1649948901088534,-2.255251427482907,logs/forklift_movebase/run_19/td3_model,,,,,1.3076081230477463,2.9039943049364125,5.642000662743134e-05
,10,td3,movebase,True,0,1,0,50,74.64466905593872,-3.0108125833305586,-4.773797661000397,-2.1334807848216655,logs/forklift_movebase/run_19/td3_model,,,,,2.952341247130548,2.7408850094970116,5.359982775406347e-05
,12,td3,movebase,True,1,0,0,297,-213.12801977992058,-2.8764082182133244,-2.811218383220001,-2.367655682199876,logs/forklift_movebase/run_19/td3_model,,,,,1.3713623986567918,3.0877554257144,8.451442027533576e-05
,14,td3,movebase,True,1,0,0,59,-131.93594995886087,-3.7821973763525754,-2.168938977920093,-2.6209164808070597,logs/forklift_movebase/run_19/td3_model,,,,,1.9550570148576782,1.857118787392947,8.23594485906753e-05
,16,td3,movebase,True,0,1,0,120,53.5850827768445,-3.0774596006816792,-4.144561240424968,-2.20949924205113,logs/forklift_movebase/run_19/td3_model,,,,,1.235474313290497,2.4662639732181817,7.424485019835013e-05
,17,td3,movebase,True,0,1,0,126,46.9984213039279,-3.5253501114840304,-3.9412215250833667,-2.300554206012064,logs/forklift_movebase/run_19/td3_model,,,,,2.4814179598376525,1.7377407866528822,6.463306510087462e-05
,18,td3,movebase,True,0,1,0,21,92.99189891666174,-3.4985776656367347,-3.4404323431666217,-2.3645737779506666,logs/forklift_movebase/run_19/td3_model,,,,,2.860887933349892,3.135998817855418,8.86127529875595e-05
,19,td3,movebase,True,0,1,0,131,41.25499268621206,-2.8709324076056135,-3.064338838478455,-2.323620070149162,logs/forklift_movebase/run_19/td3_model,,,,,3.7947423415286274,2.6445269457204126,7.004088703771371e-05
,20,td3,movebase,True,0,0,0,400,-153.94964775443077,-3.1318143704277146,-3.570753983385173,-2.2907995991381336,logs/forklift_movebase/run_19/td3_model,,,,,2.362407019906229,3.363207087318254,2.060898146294842e-05
,21,td3,movebase,True,0,1,0,106,48.320970721542835,-4.301719114257433,-3.8505731813233144,-2.4114778654400615,logs/forklift_movebase/run_19/td3_model,,,,,1.7450326432549228,2.114290366488214,5.1858998022133425e-05
,22,td3,movebase,True,0,1,0,50,73.27252405881882,-2.0712126596366245,-3.4281445213087203,-2.114282899246258,logs/forklift_movebase/run_19/td3_model,,,,,1.722251034334455,0.908372927423395,1.3200598874217586e-08
,23,td3,movebase,True,1,0,0,51,-126.71731798350811,-4.824290689403767,-3.0237377207963347,-2.5817190049506116,logs/forklift_movebase/run_19/td3_model,,,,,0.7047745927158803,1.8395236937407529,5.1072221936855194e-05
,24,td3,movebase,True,0,1,0,50,84.43557523190975,-4.153359393921323,-3.271833058867953,-2.4743623904504775,logs/forklift_movebase/run_19/td3_model,,,,,3.7007747598878122,2.9654584762822283,3.3006869283886324e-05
,25,td3,movebase,True,0,1,0,80,57.72706560790539,-4.285888016473249,-4.05307580402558,-2.3841058419341628,logs/forklift_movebase/run_19/td3_model,,,,,3.0432519831399385,1.5339289757901045,1.169412298160714e-10
,26,td3,movebase,True,0,1,0,22,90.63876340538263,-3.5722416283470477,-4.397283690486244,-2.253037348715555,logs/forklift_movebase/run_19/td3_model,,,,,9.372895264068667,2.9043059121136108,3.729405861460548e-05
,27,td3,movebase,True,1,0,0,172,-223.05099606513977,-2.1937675361873366,-2.894452657762729,-2.2193478689703614,logs/forklift_movebase/run_19/td3_model,,,,,2.6626015191946033,6.146203546708472,7.571673286188063e-05
,28,td3,movebase,True,0,1,0,109,46.36521305143833,-3.260648466502981,-3.6233531214782846,-2.3035551086073545,logs/forklift_movebase/run_19/td3_model,,,,,2.1690237304235267,2.69671324644479,5.1774502266451265e-05
,29,td3,movebase,True,0,1,0,27,84.6588779091835,-2.8550111967886207,-2.9637188212369043,-2.3375143006445107,logs/forklift_movebase/run_19/td3_model,,,,,3.264253681721742,1.5352637852477462,7.093876239917238e-05
,31,td3,movebase,True,1,0,0,13,-108.99682831764221,-2.8364761998740304,-3.4930996716861347,-2.2528253068030026,logs/forklift_movebase/run_19/td3_model,,,,,0.4360481234434762,0.547617916631374,0.00010733124656962235
,33,td3,movebase,True,0,1,0,37,91.62148174643517,-3.3081424686549052,-4.3569159673178515,-2.22021362250939,logs/forklift_movebase/run_19/td3_model,,,,,1.771220621178086,2.28264031276373,9.209621044248457e-05
,34,td3,movebase,True,1,0,0,11,-102.7693091481924,-4.042327312313513,-4.962184883892426,-2.254392453775165,logs/forklift_movebase/run_19/td3_model,,,,,4.036972255269074,3.4023794757637367,7.356652305408032e-06
,35,td3,movebase,True,0,1,0,139,19.346838742494583,-4.2010365848398425,-2.556564950788806,-2.594905902667113,logs/forklift_movebase/run_19/td3_model,,,,,0.6744570748963089,2.4870065155365504,6.198797455079491e-05
,36,td3,movebase,True,1,0,0,90,-145.1759604588151,-4.467903205863033,-2.6608432570833056,-2.604454362501704,logs/forklift_movebase/run_19/td3_model,,,,,0.8187007647917458,3.3452696905165196,0.00022173127745852788
,37,td3,movebase,True,1,0,0,26,-115.64317408204079,-4.015392776406165,-2.582832789924052,-2.5699893317407847,logs/forklift_movebase/run_19/td3_model,,,,,0.8375047444901358,1.3464687888876092,3.869802311486166e-05
