row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate
,1,td3,movebase,False,0,1,0,55,92.87450858205557,-2.677128372930485,-3.6043598325576,-2.209639496819398,logs/forklift_movebase/run_19/td3_model,,,,
,2,td3,movebase,False,0,1,0,253,-13.069517008960247,-3.8966128727920832,-4.907986183487234,-2.241826999667363,logs/forklift_movebase/run_19/td3_model,,,,
,4,td3,movebase,False,0,1,0,96,55.24135988205671,-2.683819688507718,-2.779787907200899,-2.3386313052120578,logs/forklift_movebase/run_19/td3_model,,,,
,5,td3,movebase,False,0,1,0,277,8.045032776892185,-2.2950420642785083,-2.8472491558448327,-2.2492190158618977,logs/forklift_movebase/run_19/td3_model,,,,
,6,td3,movebase,False,0,1,0,107,53.92268431186676,-3.8836849428053157,-2.740249087801279,-2.5271317611474315,logs/forklift_movebase/run_19/td3_model,,,,
,7,td3,movebase,False,0,1,0,26,89.0818967744708,-3.845885892094066,-3.5395277348677587,-2.397652238587143,logs/forklift_movebase/run_19/td3_model,,,,
,8,td3,movebase,False,0,1,0,56,85.5233436897397,-3.0081753048996065,-2.5829973419495125,-2.4320929203305095,logs/forklift_movebase/run_19/td3_model,,,,
,9,td3,movebase,False,1,0,0,118,-147.9534416794777,-4.3391224400488815,-2.121567287070827,-2.6868327305058273,logs/forklift_movebase/run_19/td3_model,,,,
,10,td3,movebase,False,0,1,0,124,41.30979526042938,-3.8039550384323326,-3.023826318451045,-2.469959151514611,logs/forklift_movebase/run_19/td3_model,,,,
,11,td3,movebase,False,0,1,0,38,89.21873827278614,-4.318795406831729,-4.460919760928846,-2.3400080947342,logs/forklift_movebase/run_19/td3_model,,,,
,12,td3,movebase,False,0,1,0,116,63.677879478782415,-2.9317614364263376,-2.2422223461303146,-2.488684226278558,logs/forklift_movebase/run_19/td3_model,,,,
,14,td3,movebase,False,0,1,0,101,51.20992707461119,-2.960471111006489,-4.917769764226552,-2.112681194352453,logs/forklift_movebase/run_19/td3_model,,,,
,16,td3,movebase,False,0,1,0,113,59.903012946248055,-4.602968547939049,-2.9612318182669894,-2.5699200366790027,logs/forklift_movebase/run_19/td3_model,,,,
,17,td3,movebase,False,0,1,0,70,75.78150021284819,-3.9463591510152107,-3.155691453282951,-2.467067425540674,logs/forklift_movebase/run_19/td3_model,,,,
,19,td3,movebase,False,0,1,0,99,60.85107143968344,-2.3046862383446935,-3.4641268753560537,-2.157852705501652,logs/forklift_movebase/run_19/td3_model,,,,
,20,td3,movebase,False,0,1,0,106,47.670506082475185,-3.5139098358818104,-3.5448048918724178,-2.351817651079379,logs/forklift_movebase/run_19/td3_model,,,,
,21,td3,movebase,False,0,1,0,212,48.687784656882286,-3.101780553792522,-3.4628161095493573,-2.301252469522271,logs/forklift_movebase/run_19/td3_model,,,,
,22,td3,movebase,False,1,0,0,30,-112.93019670248032,-4.388072263296927,-3.162324399067787,-2.5171326324241496,logs/forklift_movebase/run_19/td3_model,,,,
,23,td3,movebase,False,1,0,0,22,-114.14161610603333,-4.029459593355108,-4.22289183657737,-2.3327591297944648,logs/forklift_movebase/run_19/td3_model,,,,
,24,td3,movebase,False,0,1,0,125,55.398147247731686,-4.264186639720786,-4.752145791340391,-2.3021277625656857,logs/forklift_movebase/run_19/td3_model,,,,
,25,td3,movebase,False,0,1,0,101,74.73885580897331,-2.3204115326989108,-3.4733689516038195,-2.1597614665529736,logs/forklift_movebase/run_19/td3_model,,,,
,26,td3,movebase,False,0,1,0,88,61.298291098326445,-4.130870780358979,-2.740688458276538,-2.555809818676412,logs/forklift_movebase/run_19/td3_model,,,,
,27,td3,movebase,False,0,1,0,91,51.97603813558817,-3.5152068544260953,-2.154269418209891,-2.5917833545589484,logs/forklift_movebase/run_19/td3_model,,,,
,28,td3,movebase,False,0,1,0,91,76.59267931431532,-2.914211095189847,-3.015697800380234,-2.3390817823637535,logs/forklift_movebase/run_19/td3_model,,,,
,29,td3,movebase,False,1,0,0,358,-173.09244204312563,-2.9842281236395336,-3.745997944194701,-2.2434877933283253,logs/forklift_movebase/run_19/td3_model,,,,
,30,td3,movebase,False,1,0,0,21,-112.20657908916473,-4.287514314939692,-2.0408202954819616,-2.697335667250794,logs/forklift_movebase/run_19/td3_model,,,,
,31,td3,movebase,False,1,0,0,46,-118.69768840819597,-2.9820853236654767,-3.4295909071360975,-2.2865120819671714,logs/forklift_movebase/run_19/td3_model,,,,
,32,td3,movebase,False,0,1,0,34,87.18199515342712,-3.6097001687937937,-3.8488589214588007,-2.324140465355048,logs/forklift_movebase/run_19/td3_model,,,,
,33,td3,movebase,False,0,1,0,109,66.15991126745939,-2.8651889132361643,-3.052804604410589,-2.324502519955279,logs/forklift_movebase/run_19/td3_model,,,,
,34,td3,movebase,False,0,1,0,185,44.954119585454464,-4.174558327527758,-2.6695777232468263,-2.572643150105397,logs/forklift_movebase/run_19/td3_model,,,,
,35,td3,movebase,False,0,1,0,108,44.314577631652355,-3.9491252403944914,-4.592834411320929,-2.280978168426345,logs/forklift_movebase/run_19/td3_model,,,,
,36,td3,movebase,False,0,1,0,134,39.02996180206537,-3.4164656994345877,-2.891580915836739,-2.4392120139543905,logs/forklift_movebase/run_19/td3_model,,,,
,37,td3,movebase,False,1,0,0,33,-108.28295107930899,-3.481970747533099,-4.699871166415721,-2.208425450472679,logs/forklift_movebase/run_19/td3_model,,,,
,38,td3,movebase,False,1,0,0,19,-116.72901982069016,-3.5357396830115,-4.222323165311382,-2.267925111499109,logs/forklift_movebase/run_19/td3_model,,,,
,39,td3,movebase,False,0,1,0,48,85.16298207640648,-4.86075849135149,-3.540999629273135,-2.51200259110556,logs/forklift_movebase/run_19/td3_model,,,,
,40,td3,movebase,False,0,1,0,53,82.78344924747944,-4.753118853051373,-2.8574246982136726,-2.600314502873199,logs/forklift_movebase/run_19/td3_model,,,,
,41,td3,movebase,False,1,0,0,11,-105.92844647169113,-3.7085426483134434,-2.1007319312549066,-2.6262019592951793,logs/forklift_movebase/run_19/td3_model,,,,
,42,td3,movebase,False,0,1,0,56,83.13679473847151,-3.6089307972807205,-3.3524264448200207,-2.393024716437132,logs/forklift_movebase/run_19/td3_model,,,,
,43,td3,movebase,False,0,1,0,109,59.28894896060228,-3.7503496894867245,-4.898948200020331,-2.2241702213975687,logs/forklift_movebase/run_19/td3_model,,,,
,44,td3,movebase,False,0,1,0,39,91.03332893550396,-3.3116481362648367,-4.7669082732855665,-2.177967269500788,logs/forklift_movebase/run_19/td3_model,,,,
,45,td3,movebase,False,1,0,0,54,-128.0684676617384,-2.754650814732182,-2.1550527829101545,-2.4777178173870356,logs/forklift_movebase/run_19/td3_model,,,,
,46,td3,movebase,False,0,1,0,88,55.09339547902346,-3.5123097735373334,-2.377737458136683,-2.5464890736081918,logs/forklift_movebase/run_19/td3_model,,,,
,47,td3,movebase,False,0,0,0,400,-85.76905546337366,-3.6227385640238285,-2.5073114678340627,-2.5361857706450595,logs/forklift_movebase/run_19/td3_model,,,,
,48,td3,movebase,False,0,0,0,400,-102.17961169034243,-4.386007554975743,-3.207950139855963,-2.5100986068336537,logs/forklift_movebase/run_19/td3_model,,,,
,49,td3,movebase,False,1,0,0,107,-151.3759757205844,-3.63201717875729,-4.9077401161585215,-2.207904770132857,logs/forklift_movebase/run_19/td3_model,,,,
,50,td3,movebase,False,1,0,0,62,-126.27777180820704,-4.3224493555383585,-4.7324769815941945,-2.3109431316075004,logs/forklift_movebase/run_19/td3_model,,,,
,51,td3,movebase,False,0,1,0,71,81.81934808194637,-3.368241572805663,-2.5475620509902033,-2.4940413257412795,logs/forklift_movebase/run_19/td3_model,,,,
,52,td3,movebase,False,0,1,0,66,76.50147691369057,-3.4348115817501337,-2.396428969622674,-2.5324196326510195,logs/forklift_movebase/run_19/td3_model,,,,
,53,td3,movebase,False,0,1,0,83,54.6961537450552,-4.40679706170052,-3.2822026362331207,-2.5014249138167806,logs/forklift_movebase/run_19/td3_model,,,,
,54,td3,movebase,False,0,1,0,135,71.03799158707261,-4.163414532096616,-4.991865901215389,-2.2659513531799185,logs/forklift_movebase/run_19/td3_model,,,,
,57,td3,movebase,False,1,0,0,70,-124.83942843973637,-4.3150602733938515,-3.316982058555301,-2.4862312655119494,logs/forklift_movebase/run_19/td3_model,,,,
,58,td3,movebase,False,0,1,0,73,71.90831972658634,-3.7777054344797607,-4.121337623301093,-2.3127188873784394,logs/forklift_movebase/run_19/td3_model,,,,
,59,td3,movebase,False,0,1,0,75,54.9392144754529,-3.1796622609492258,-3.467073604454498,-2.3129804347772263,logs/forklift_movebase/run_19/td3_model,,,,
,60,td3,movebase,False,0,1,0,82,57.71435157209635,-3.0675354789792255,-2.701973508295566,-2.419470923103317,logs/forklift_movebase/run_19/td3_model,,,,
,61,td3,movebase,False,0,1,0,101,73.20338070392609,-3.6206758104191668,-2.7389188077239153,-2.4939660162717994,logs/forklift_movebase/run_19/td3_model,,,,
,62,td3,movebase,False,0,1,0,67,70.0061381906271,-3.861431539494046,-4.873807589573117,-2.240813612700836,logs/forklift_movebase/run_19/td3_model,,,,
,63,td3,movebase,False,0,1,0,133,21.024959079921246,-4.578574914021294,-3.5284211316986327,-2.4850138994015833,logs/forklift_movebase/run_19/td3_model,,,,
,64,td3,movebase,False,0,1,0,132,34.89244079589844,-4.366844639830766,-4.917420925456113,-2.296961777650877,logs/forklift_movebase/run_19/td3_model,,,,
,65,td3,movebase,False,0,1,0,77,61.73984842002392,-3.677548327776293,-4.2600180101144405,-2.282944387745603,logs/forklift_movebase/run_19/td3_model,,,,
,66,td3,movebase,False,0,1,0,35,86.86836556345224,-4.195367413884074,-3.6629268716906074,-2.423846322623063,logs/forklift_movebase/run_19/td3_model,,,,
,67,td3,movebase,False,0,1,0,73,70.21671375632286,-4.434519962506324,-2.683620613348741,-2.5973832952233566,logs/forklift_movebase/run_19/td3_model,,,,
,68,td3,movebase,False,1,0,0,70,-136.8309646844864,-4.2873512269798635,-2.550728708275896,-2.6048999865838405,logs/forklift_movebase/run_19/td3_model,,,,
,69,td3,movebase,False,0,1,0,56,72.34618371725082,-4.745260729697399,-3.2268233953671763,-2.5444093524869995,logs/forklift_movebase/run_19/td3_model,,,,
,70,td3,movebase,False,0,1,0,111,53.35351173579693,-3.467098953082781,-2.9676122904027658,-2.4336629334695155,logs/forklift_movebase/run_19/td3_model,,,,
,71,td3,movebase,False,0,1,0,92,69.73231269046664,-3.39192660527537,-4.002843970069694,-2.273766895651807,logs/forklift_movebase/run_19/td3_model,,,,
,73,td3,movebase,False,0,1,0,325,-17.310811690986156,-3.6359404749275197,-3.798615241607802,-2.334317081660231,logs/forklift_movebase/run_19/td3_model,,,,
,74,td3,movebase,False,0,1,0,50,87.9734603241086,-3.7706181866876234,-2.6185179741441575,-2.5345990632453823,logs/forklift_movebase/run_19/td3_model,,,,
,75,td3,movebase,False,1,0,0,73,-135.69013481587172,-3.6872768397880757,-3.9974788228897333,-2.3158505053355363,logs/forklift_movebase/run_19/td3_model,,,,
,76,td3,movebase,False,0,1,0,65,65.66362369060516,-4.371614433127002,-2.499611659847088,-2.622179939504946,logs/forklift_movebase/run_19/td3_model,,,,
,77,td3,movebase,False,0,1,0,57,76.13557644933462,-4.108691856060581,-4.2623572084662875,-2.33783979002635,logs/forklift_movebase/run_19/td3_model,,,,
,78,td3,movebase,False,1,0,0,40,-128.82565939426422,-2.708211951464521,-3.0104605094672516,-2.30339069806256,logs/forklift_movebase/run_19/td3_model,,,,
,79,td3,movebase,False,0,1,0,78,72.44207226485014,-3.1301678731961773,-2.7071119943955897,-2.428542826993885,logs/forklift_movebase/run_19/td3_model,,,,
,80,td3,movebase,False,0,1,0,41,88.0183180347085,-3.929975671011667,-2.679605185621959,-2.5431605033284272,logs/forklift_movebase/run_19/td3_model,,,,
,81,td3,movebase,False,0,1,0,145,47.70480200275779,-3.78402382896139,-4.85080095436857,-2.233273769972608,logs/forklift_movebase/run_19/td3_model,,,,
,82,td3,movebase,False,0,1,0,72,78.78413546830416,-4.982229843896542,-3.3200783838855745,-2.5537857495911003,logs/forklift_movebase/run_19/td3_model,,,,
,83,td3,movebase,False,1,0,0,38,-110.54970217496157,-2.0545961992957675,-3.159677386722501,-2.1473508284430647,logs/forklift_movebase/run_19/td3_model,,,,
