row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,td3,movebase,True,0,1,0,70,60.788612104952335,-3.972307589977162,-3.0701997000642955,-2.465547540994653,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.1763213697746866,2.6253666705723138,0.000116087982115134
,2,td3,movebase,True,0,1,0,26,92.89523541554809,-3.650540849436652,-4.058306936293595,-2.526776428395807,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.4928882684773797,2.013644357798636,9.685892531104304e-05
,3,td3,movebase,True,0,1,0,44,76.83298495411873,-5.879506717930441,-3.251035915900104,1.2323618024426233,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,1.9555999600441154,2.343327995696164,7.890316887477785e-05
,4,td3,movebase,True,0,1,0,16,96.99246308207512,-3.006449684838847,-1.202199480257581,-0.6026519375731142,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.26072318916951,2.47840065826302,0.0001225538888582
,5,td3,movebase,True,0,1,0,16,99.45179159939289,-6.234310852617241,-2.4562601355514837,1.4153183093522819,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,3.0885105070605445,1.9957526587042338,0.00015713156366553544
,6,td3,movebase,True,0,1,0,67,53.63872244954109,-2.475539296137611,-3.348196749023253,-1.1908922429148643,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,1.9465104792001362,2.815014424757078,6.453687390680634e-05
,7,td3,movebase,True,0,1,0,48,78.97394306212664,-1.262298362598825,-4.12913584822469,2.353704206131564,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.9002484343560777,2.945764676038031,3.330071169849535e-14
,8,td3,movebase,True,1,0,0,16,-109.23375645279884,-4.080764463882871,-3.464559847219206,-0.34538347874217784,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,5.296186795847915,2.8451319935966253,2.8666681112543355e-09
,9,td3,movebase,True,1,0,0,28,-116.89031907916069,-3.918291103336135,-1.639274041429176,0.8468029354510541,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.8073626389938373,2.8567470739515963,1.7269156185397316e-14
,10,td3,movebase,True,0,1,0,22,95.24303046613932,-3.967778172748962,-1.1166785708281317,1.3248461036832933,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.2354684079213114,3.1455288410529145,9.593565721874811e-09
,11,td3,movebase,True,0,1,0,43,82.9055026769638,-3.3497096478168187,-4.499751607848487,-0.7647916214047736,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.052747515447774,2.550106478740169,7.77226340690106e-05
,12,td3,movebase,True,1,0,0,18,-111.49909988045692,-3.7107926813466543,-1.5161408779286574,-1.4177652646692795,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,3.255999397404614,3.6719666846533405,0.00019211545988339132
