row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,td3,movebase,False,0,1,0,75,57.369539231061935,-4.179932171062297,-2.1781108114790637,2.684482346359687,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.803729986081684,1.371253685704537,5.3405887624018447e-14
,2,td3,movebase,False,0,1,0,85,45.86154694110155,-2.6692030286220234,-2.7227602600289638,2.2582016156688853,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.2179625363268287,2.279260715152503,4.26936149336481e-14
,3,td3,movebase,False,0,1,0,50,75.18648716807365,-2.3616457993417477,-3.6138881539528356,-2.757114419170896,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,3.154443192867163,2.343942479429521,4.634845501358849e-14
,4,td3,movebase,False,0,1,0,37,84.8292933255434,-2.8253329750868854,-1.8409330156384933,-1.2854702684608412,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,0.7072381038781226,1.4560591102746723,9.173417519395847e-14
,5,td3,movebase,False,0,1,0,42,83.60013802349567,-5.388253355326843,-3.3001978164034003,0.10861643197174924,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,5.580402433823554,4.503837329214904,5.533680369976262e-14
,6,td3,movebase,False,0,1,0,92,54.246024921536446,-5.868308267610839,-4.117199297333318,0.23217885282376372,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,6.311260885090409,5.422773107730764,2.4059851995290616e-14
,7,td3,movebase,False,0,1,0,104,41.68013820052147,-1.9473373847049071,-2.7257181271428466,2.038727398860005,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,4.562941043713214,3.242273662999294,2.8082193871200734e-14
,8,td3,movebase,False,0,1,0,72,71.00441043823957,-3.999198227740295,-2.8247618156643006,1.602649471114758,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,4.490982549812183,3.4519465517623167,2.183340716316376e-14
,9,td3,movebase,False,0,1,0,43,81.67152841389179,-3.135308635857037,-2.249771531708304,2.3125444191984252,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.288266183566982,2.1281113197775996,2.060175964984663e-14
,10,td3,movebase,False,0,1,0,28,93.23182276636362,-3.711905593644237,-2.934844212243176,1.7300982584477582,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,3.6961925313245754,2.8563674602710973,5.779876257318821e-14
,11,td3,movebase,False,0,1,0,105,43.49307466298342,-2.3466829559323683,-2.891135447067551,-3.105335239053268,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.427506536438447,2.3088539943791657,3.5593526657239443e-14
,13,td3,movebase,False,0,1,0,48,66.01708819717169,-3.6804672163026773,-2.613568254440889,-1.1739980040644342,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,2.170929643344041,1.5873843899274245,6.960351955872778e-14
,14,td3,movebase,False,0,1,0,29,90.65189053863287,-5.84272856657967,-2.6316526152163013,0.20480811290767206,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,5.580613478821382,4.967015414439694,2.867555271406507e-14
,15,td3,movebase,False,0,1,0,37,88.14431735128164,-3.881673365801021,-1.558931266977761,-1.7571504090629295,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,1.5401491908974592,1.9198364402240624,9.122847559661217e-14
,17,td3,movebase,False,1,0,0,20,-111.40302827954292,-3.8728986115944295,-2.5240689111220167,1.460298817195574,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,4.108663440615953,3.6482645937921108,5.3406014748858104e-14
,19,td3,movebase,False,0,1,0,18,94.48777560889721,-5.678802152000972,-3.4924201613427286,-0.8995404821011322,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,4.34560335982338,3.8712256394682054,1.2546511970883166e-13
,20,td3,movebase,False,1,0,0,67,-160.41105529665947,-4.275720904869173,-1.3108955007379635,-0.1482044613404315,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,,,,,11.503795134008183,3.1051936291846776,5.2240713929049135e-15
summary,all,td3,movebase,False,,,,,,,,,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,47.03888189485844,0.8823529411764706,0.11764705882352941,0.0,3.970040013554915,2.968447030807797,5.0064187770288545e-14
