row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,td3,movebase,True,0,1,0,76,54.46528209000826,-3.629192615163953,-4.083664095787226,1.8785312138136514,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,0.7684440675440382,2.514037588873342,0.00011065072497957436
,3,td3,movebase,True,0,1,0,48,77.15314346551895,-4.318821055693747,-2.917188638232615,-1.9595263916539896,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,1.1091650995461126,2.0414009254995924,8.29525295669636e-05
,4,td3,movebase,True,0,1,0,20,92.62764709442854,-3.8309630035295834,-1.2233487926452393,-1.441128499380268,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,1.079056156033833,1.9393839738854535,8.033295762904802e-05
,5,td3,movebase,True,0,1,0,52,82.81279650330544,-3.421256024456657,-3.9782354743998436,-1.5897735120180911,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,1.666421862887147,2.846751286504354,5.0798467738746935e-05
,6,td3,movebase,True,0,1,0,18,93.11814893782139,-3.955949511045169,-1.5986741060259715,1.064066923831291,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,1.2848710680983657,2.578622473860828,1.1037312011373463e-13
,7,td3,movebase,True,0,1,0,51,90.55347197502851,-3.592512464768854,-2.553856181876506,1.9470317074078056,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,2.363881760138641,2.2776514293757106,0.00011930251333857254
,8,td3,movebase,True,0,1,0,96,45.12822072952986,-3.7897382796987906,-2.964789730998601,-1.2343631998743305,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,2.228306399753279,3.0592827136255765,0.0001109381838858928
,9,td3,movebase,True,0,1,0,25,93.50653129816055,-3.29107497715668,-4.159216492225827,-1.9651387092770758,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,1.5058399590645688,2.3992789855475083,7.686897394943512e-05
,10,td3,movebase,True,0,1,0,36,83.99650549888611,-2.1957723659838297,-2.9421765441175642,-0.7472300956422038,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,1.2887591601301003,2.3990732530539107,0.00011511210047459843
,11,td3,movebase,True,0,1,0,30,94.06181360036135,-3.443270448918317,-3.229858015404407,3.0210240687403243,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,1.718720445748338,3.255384337822546,0.00014615154577235563
,12,td3,movebase,True,0,1,0,72,84.6326761841774,-3.0094156271800876,-3.7719823434650337,-0.07097857188495754,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,2.1777621685318085,2.9064036166443135,8.513729115046667e-05
,13,td3,movebase,True,0,1,0,50,84.58244206011295,-5.9024834543738836,-4.202353389810513,-0.5387649754091378,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,4.2145880558979,3.624489178944631,8.467729821660449e-05
,15,td3,movebase,True,1,0,0,74,-144.7547883093357,-1.4395345108829876,-4.666968491000054,-1.6115472016073016,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,1.8424785048312848,2.4850409625532603,2.925886724787668e-13
,16,td3,movebase,True,0,0,0,400,-119.30247332155704,-5.286338542991731,-2.6029141617127216,0.9950763641769298,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,2.5245635479560318,2.444489256411765,1.825267274736417e-05
,17,td3,movebase,True,0,1,0,90,58.450137197971344,-6.0707460627239245,-4.776244883912485,-0.9314537440093676,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,4.105120613668119,2.7046239228974582,0.00010147093132928634
,18,td3,movebase,True,1,0,0,27,-119.8987264931202,-3.0277955863810817,-2.0412140865746786,2.8325804238949415,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,2.3050683121654076,2.5646870714499452,0.00026649879595551655
,19,td3,movebase,True,0,1,0,119,64.33679620176554,-3.908283912082372,-3.1186199558472247,2.1994159746921813,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,1.1415575448693664,2.774068799736559,8.21389338945603e-05
,20,td3,movebase,True,0,1,0,51,72.42349351942539,-5.827198319961626,-4.0161512197600615,-1.3929962245988678,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,,,,,1.8044996040944463,3.0699188734368636,9.991599959939384e-05
summary,all,td3,movebase,True,,,,,,,,,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,43.771839901804924,0.8333333333333334,0.1111111111111111,0.0,1.9516169072754879,2.6602549250068677,9.06222178128523e-05
