row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,td3,movebase,True,0,1,0,53,87.32677029073238,-3.3278550625111487,-1.7825819028788334,0.9099977184019243,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.712913468839662,2.779032146022463,0.000591348687219967
,2,td3,movebase,True,0,1,0,102,40.06749374419451,-5.778578471674408,-2.2010710093409758,0.2278953505823572,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.7895340566390099,2.4683170468368982,6.824120547063406e-05
,3,td3,movebase,True,0,1,0,32,86.05254063010216,-3.96327409438839,-2.6165625148575162,0.32564593577087003,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.0463212630150411,2.328935589695198,7.595847082216219e-05
,4,td3,movebase,True,0,1,0,54,63.26917019486427,-3.8186408104634473,-4.83071115550303,2.164234557743475,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.172855067701607,2.882572944048775,9.344083000178966e-05
,5,td3,movebase,True,1,0,0,21,-111.99061018228531,-2.5934123821146358,-3.525174025776006,-1.23968637968473,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,3.4917110057304774,2.166426570383494,4.216708196965033e-05
,6,td3,movebase,True,0,1,0,125,17.03376916050911,-2.865592129618725,-3.6617463932570766,0.6850367456228,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,0.5778636340432435,2.563659647558211,0.00010795386414290842
,7,td3,movebase,True,0,1,0,60,55.90312734246254,-1.2588535618968342,-3.739305523158762,-0.39206533251502684,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.8834635960684338,2.121816161415815,5.782058627705452e-07
,8,td3,movebase,True,0,1,0,35,82.68124374002218,-3.567694286028713,-4.033461555288536,-1.3381377163644281,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.0565517602431955,2.8770191602022606,7.525184465175734e-05
,9,td3,movebase,True,0,1,0,170,14.747336991131306,-1.3153763463022,-3.7356441970146097,2.8305504560145636,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.705845650900538,2.9285736675946166,1.356094920321835e-05
,10,td3,movebase,True,1,0,0,12,-107.66791605949402,-5.515623161966682,-2.6217968821316733,-0.5466813363040064,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,4.0062419689846065,2.84502222830029,7.304602370206484e-05
,11,td3,movebase,True,0,0,0,400,-86.38231122493744,-2.8235727874332186,-1.217285924815949,-1.169091448422532,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.299840482350573,2.312321881860828,1.5528773221716673e-05
,12,td3,movebase,True,0,1,0,32,88.52815798670053,-3.3927677780885763,-2.9778119002882266,1.1606887379468336,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.2875079528685485,2.421781306551765,0.0001415264877706966
,13,td3,movebase,True,0,1,0,90,61.58048865944147,-3.7634683242017855,-3.1471052510722086,-1.47673704705866,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.0778759040755197,2.984620266905811,9.019702701838055e-05
,14,td3,movebase,True,0,1,0,95,67.02191527187824,-4.22931524279929,-2.0583383524628407,2.1198320705889,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.669624986664001,2.62067883507037,8.026250028243648e-12
,15,td3,movebase,True,0,1,0,32,85.91516517102718,-4.031053004936414,-3.3446105298354727,2.326565202291864,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.1938439220542816,2.176770566107064,1.0121367791865713e-13
,17,td3,movebase,True,1,0,0,16,-109.36764115095139,-3.024268617184548,-3.5905944749742713,-1.3531995725352177,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,7.193890976011947,2.928668470566405,0.00022505749447705264
,18,td3,movebase,True,0,1,0,150,12.443381160497665,-2.805390631812876,-1.4298975870604655,-1.3485191230910853,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,3.103917671101389,2.8502015364536284,4.950941965862165e-05
,19,td3,movebase,True,0,1,0,24,90.7871918156743,-4.060350075923977,-3.456499877864059,-2.9526022777427325,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.0547070049238356,2.5895263794067045,1.7500554282231786e-13
,20,td3,movebase,True,0,1,0,40,87.227868758142,-2.51739918445452,-3.6056361240829764,-0.42129746870462115,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.2621588605261174,2.3488989675041037,6.135718073119851e-05
summary,all,td3,movebase,True,,,,,,,,,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,27.640902226300614,0.7894736842105263,0.15789473684210525,0.0,2.294035222775896,2.589202282762353,9.07749239066873e-05
