row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,td3,movebase,False,0,1,0,27,89.26154205203056,-1.1345939400327518,-3.695562566099624,-2.334590707909198,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.609230749946516,2.7270027822712954,3.7558562238428015e-14
,2,td3,movebase,False,0,1,0,105,55.83337717503309,-2.7115924585611313,-3.4299987254850826,-2.812484312714281,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.062641950854423,2.390464645026539,3.763929920287788e-14
,3,td3,movebase,False,0,0,0,400,-119.13504500687122,-5.182561264573989,-2.609514860448996,2.757861874187424,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,12.441194551992302,2.2643523665176972,3.5539634942144924e-14
,4,td3,movebase,False,0,1,0,91,50.28462125360966,-2.1758141749858,-2.7883255694033964,3.139653500969862,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.7612750625949032,2.2549337966589453,2.9254170834842416e-14
,5,td3,movebase,False,0,1,0,161,9.654741831123829,-1.1357912314691783,-2.142450520957348,2.3676147313834357,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.8376211041650268,3.327407561486109,4.1219915868874344e-14
,6,td3,movebase,False,0,1,0,70,68.15177698433399,-1.7464827860335426,-3.556681124433004,-2.2151608287110047,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.1563407335513927,2.2584812857897036,4.0927419401630525e-14
,7,td3,movebase,False,0,1,0,51,66.04201766848564,-4.942461078544108,-3.113590975868244,0.49895415515581776,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.88385381110582,3.9147206112878132,7.577645117374799e-14
,8,td3,movebase,False,0,1,0,29,88.21914971619844,-3.1804689441100082,-3.939050695915879,-1.9684903599213515,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.3463252588151926,2.4226623075316955,3.5332476029246275e-14
,9,td3,movebase,False,0,1,0,76,48.836624160408974,-2.661105783172967,-2.943325547870594,-2.5230102771162444,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.4860021872517037,1.7739963310672475,2.605636388001125e-14
,10,td3,movebase,False,0,1,0,48,85.7015119753778,-5.778814447384638,-1.5716134908899422,0.8961579074295257,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,9.615865856856312,4.0902091566373135,1.7815058202222373e-14
,11,td3,movebase,False,0,1,0,69,61.22019325941801,-3.206799613692308,-1.139307280181542,-1.2076019770270536,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,0.861830574622076,1.8927366334402937,7.616429459062227e-14
,12,td3,movebase,False,0,1,0,15,98.7017162591219,-3.6419819239531632,-1.197622230019443,1.9707557045467503,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,0.7169324538712933,1.0591907349080671,6.088269445719244e-14
,13,td3,movebase,False,0,1,0,20,92.10915996134281,-3.9537801079825097,-2.7899476440089543,1.5511704923626881,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.7685572119321487,2.52466277561614,6.942386035761474e-14
,14,td3,movebase,False,0,1,0,18,96.7712848931551,-3.9466071104325713,-3.7819957759289102,-2.272158623899087,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.161378217892488,2.3359113278708947,2.9649205275336575e-15
,15,td3,movebase,False,0,1,0,16,95.2537005469203,-6.051184395672602,-1.1781625024520417,-1.358452779415103,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,3.5668089935558025,3.9832314582265327,3.494675908811241e-15
,16,td3,movebase,False,1,0,0,37,-130.476397305727,-5.8256361097240115,-1.6572518334753568,1.7607974539912914,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,3.120336041968489,3.17726642532223,6.125859818049872e-14
,17,td3,movebase,False,0,1,0,121,26.588000446558,-5.028661107725879,-2.7910154220012844,-2.892490320210938,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,1.136940222202063,2.4878100442703377,2.982905437876821e-14
,19,td3,movebase,False,0,1,0,46,83.23409240692854,-3.8208712148513793,-4.854741525204669,-2.271605034813534,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,2.4994131363951118,3.294805771655968,5.008020117964482e-14
,20,td3,movebase,False,1,0,0,30,-118.21731048822403,-4.01070048908844,-4.953430202606848,2.1960054883965583,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,,,,,14.993073394763178,4.398544677653301,9.763276042921261e-14
summary,all,td3,movebase,False,,,,,,,,,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,39.370250409959176,0.8421052631578947,0.10526315789473684,0.0,3.6329274481229596,2.7672837206967436,4.3623705883364457e-14
