row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,1,0,0,41,-115.65624874830246,-5.844910034368979,-1.5823263352688723,2.283869111626979,,,,,,3.8164210286093523,2.1235502134003252,5.205234887637978e-05
,2,movebase,movebase,True,0,1,0,57,87.16087628901005,-5.943134526769359,-2.199375170540601,1.9812151866308039,,,,,,1.934464796894631,2.8756231382052686,0.00011663478765214108
,3,movebase,movebase,True,0,1,0,66,84.44016873836517,-6.289143412563412,-3.9251006741968744,1.6607181695636368,,,,,,1.3477417657916937,3.3873379889185604,0.00012659189133595864
,4,movebase,movebase,True,0,1,0,52,94.6253126040101,-3.297530859711108,-1.427111935683853,1.0688244625319883,,,,,,4.975069446582404,2.5822770225549285,7.053666198667945e-05
,5,movebase,movebase,True,0,1,0,51,89.13034085929394,-3.4316741421795243,-3.7731348704105616,-2.779915320176905,,,,,,2.4856773957890415,2.0050157392063648,7.847182745515946e-05
,6,movebase,movebase,True,0,1,0,40,94.79236234724522,-4.102379756460163,-2.1596288769625036,-2.933589700419407,,,,,,6.292948095128541,2.035449592516055,1.8581683175337873e-10
,7,movebase,movebase,True,1,0,0,38,-116.27755895256996,-2.811598774083147,-1.3714949892700217,2.134373838638437,,,,,,6.13059648972422,2.594359016572749,6.844271492699728e-05
,8,movebase,movebase,True,0,1,0,71,88.63087369501591,-2.8709978226582606,-1.1183523336686658,-1.146415482574005,,,,,,3.159444982912288,2.4768718292623415,1.6097957441442337e-05
,10,movebase,movebase,True,1,0,0,25,-108.28318942338228,-2.9072816745849934,-4.207772896189066,-1.6090974606438424,,,,,,3.1609430562529575,2.094618818125011,6.379271846789873e-05
,11,movebase,movebase,True,0,1,0,49,93.26037887483835,-2.8527558844046914,-2.016900546035765,0.9313978038125151,,,,,,1.5703963411208364,2.1580942162287275,0.00030075300229096203
,12,movebase,movebase,True,0,1,0,70,86.73204171657562,-2.86669795385668,-1.7342079051979078,1.1184522848597656,,,,,,0.7335658751293332,2.501934830123771,7.762211663841286e-05
,13,movebase,movebase,True,0,1,0,39,86.2378446161747,-1.2339994051885004,-3.959733386560926,1.7544420743132945,,,,,,5.827864658390025,2.3893332976275974,2.4669472801264403e-13
,14,movebase,movebase,True,0,1,0,83,75.31860399991274,-2.8244647399061207,-1.2423121772545604,1.56215447217226,,,,,,1.5278522512188575,2.519816353756193,7.947828524652803e-05
,15,movebase,movebase,True,1,0,0,54,-115.75272683799267,-3.217992980232615,-2.349988568735258,0.4705435355167264,,,,,,0.9225839714302734,2.5190999920350694,9.579725073832979e-05
,16,movebase,movebase,True,1,0,0,22,-102.18849153071642,-3.4164784457091484,-2.9737276181491388,-1.37709814285702,,,,,,5.0497557231730505,2.7219233387299853,0.00012465801903424658
,17,movebase,movebase,True,1,0,0,45,-113.37163546681404,-5.019741570268433,-3.1002554233290236,-0.655627426105604,,,,,,6.185789581987809,2.917024564291939,7.83702335916603e-05
,18,movebase,movebase,True,0,1,0,97,61.22709661722183,-4.289958133329147,-3.949521470597522,0.3747603747065465,,,,,,5.792872398640605,3.4059290931106103,4.043608194400892e-09
,19,movebase,movebase,True,0,1,0,52,86.61310155689716,-1.9344448232243927,-2.977945348831767,-0.17681754549519996,,,,,,6.957950713801484,2.948788326890568,5.5707223432990283e-05
,20,movebase,movebase,True,0,1,0,64,90.51220831274986,-1.1764722280077322,-3.9768059112852105,2.627767298271422,,,,,,5.060184974871416,2.3971836444557106,2.0150958434943077e-09
summary,all,movebase,movebase,True,,,,,,,,,,23.534282066712255,0.6842105263157895,0.3157894736842105,0.0,3.8385328182867804,2.560749000842725,7.394806757280794e-05
