row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,True,1,0,0,18,-106.87128892540932,-6.476877255626854,-4.606307850147466,-0.7140740907643501,,,,,,4.314587990877638,3.197060263000345,2.7582375995788986e-05
,2,movebase,rule_based,True,0,1,0,33,90.50181919336319,-4.9753135582187245,-2.759234110199267,3.077703210155052,,,,,,2.1507807050338514,2.672412548718858,0.0003843069895994256
,3,movebase,rule_based,True,1,0,0,43,-114.14749250560999,-1.385754736163035,-3.022216199138886,-1.7434858232548773,,,,,,0.6977585878148088,2.7852479182382357,0.0002535966915269146
,4,movebase,rule_based,True,0,1,0,51,86.08902406692505,-1.2466546153199323,-3.875139545016839,1.9565504399404678,,,,,,2.8885322617207088,2.2419534452060716,0.00016840321439788998
,5,movebase,rule_based,True,0,1,0,72,82.1646285802126,-2.8983974603008624,-1.933925737801279,-1.3297730997603374,,,,,,4.28002054412283,3.510720132316758,0.0002304275319961852
,7,movebase,rule_based,True,1,0,0,37,-112.64489639550447,-1.4832133948021715,-3.1255050575468655,-0.22932570356760448,,,,,,0.9424109348560076,2.8726341149147387,0.00015799884906071463
,8,movebase,rule_based,True,1,0,0,48,-106.60317313671112,-6.312606213392126,-3.4521055826978144,-1.4250118357256107,,,,,,1.3458801452745408,3.296454950804145,0.00022362332163880071
,9,movebase,rule_based,True,0,1,0,44,89.01867976039648,-3.2271205283372124,-3.1458248810007636,1.764636167961363,,,,,,3.959893359363851,3.305358657386015,0.00021949702615897034
,11,movebase,rule_based,True,1,0,0,54,-107.36184517294168,-1.8506520201211902,-2.6732986104638345,2.1963763351362453,,,,,,0.6271185288487661,2.8180845619246417,0.00011950687861564139
,12,movebase,rule_based,True,0,1,0,43,93.48772900551558,-3.5096909647198724,-3.988074371734257,-0.9876254195212167,,,,,,1.4106646185766285,2.857324285230162,0.00018830502069166992
,13,movebase,rule_based,True,1,0,0,32,-104.49664766341448,-5.149443656408346,-2.7946427230895545,0.23439455411751509,,,,,,1.1854917248095473,2.472103799172556,0.00017677059647836695
,14,movebase,rule_based,True,1,0,0,68,-114.55081098526716,-4.9919728669476235,-2.7614565999992102,-2.8767817519035344,,,,,,4.06362241353836,2.813234723832695,0.00019199980704908255
,15,movebase,rule_based,True,0,1,0,36,94.8398856818676,-5.756264225672719,-1.2623187589579468,-0.46637190158248926,,,,,,5.048655836494617,2.67506737576018,0.000180065182412509
,16,movebase,rule_based,True,0,1,0,47,84.49994450807571,-4.421077996940662,-3.187330256045157,-1.9652198340768778,,,,,,3.295651549575682,2.7412359075568458,0.0002514030117140895
,17,movebase,rule_based,True,0,1,0,28,93.9534118771553,-4.808033523404397,-3.1544255538696104,0.08073703438261051,,,,,,5.436703771136916,2.081467650799432,2.9398225549451863e-05
,18,movebase,rule_based,True,0,1,0,50,87.23018094152212,-3.0716346608353047,-1.1262352515076355,0.3547369677966078,,,,,,1.8135861698149638,2.0696133146264373,0.00023351198703359501
,19,movebase,rule_based,True,1,0,0,40,-112.0207228064537,-2.9896013245745117,-4.128076881721359,-2.5644431798981135,,,,,,0.39695302315447617,2.8086216081653586,0.00013478226862505892
,20,movebase,rule_based,True,0,1,0,61,93.99999991059303,-3.62930195164252,-3.5834088713127574,-1.8966872500254663,,,,,,3.6109567798668905,2.2437564691765277,2.8615145684878606e-05
,21,movebase,rule_based,True,0,1,0,50,91.35064744204283,-5.844792528695306,-3.762065597275493,0.2539468976107242,,,,,,4.136613733483306,3.3378152418621276,0.00020831706576277293
,22,movebase,rule_based,True,1,0,0,40,-114.57166683673859,-6.128981454361424,-2.996009771097087,0.8189253043686178,,,,,,0.5969786831048944,2.186313375898369,0.00011645555081588083
,23,movebase,rule_based,True,0,1,0,67,91.4350867420435,-4.025844989923492,-1.2255802449981608,2.1869486052429967,,,,,,4.681043865870492,3.0329872507162627,2.456947004821582e-05
,24,movebase,rule_based,True,1,0,0,38,-106.78623037785292,-3.298006595835379,-2.1680086763573865,1.8206670628501667,,,,,,1.394352083496347,2.4113014270791333,0.0001477691826587262
,25,movebase,rule_based,True,0,1,0,55,93.59060264378786,-3.9801372001586084,-3.4072794639202635,-2.062727308959146,,,,,,4.14959461691425,3.055852666808767,2.7312948425454985e-05
,27,movebase,rule_based,True,1,0,0,19,-107.95969381928444,-3.973237289214852,-2.268608393642285,0.20223927581020054,,,,,,4.492619765993603,2.84338947587273,3.14638426429986e-05
,28,movebase,rule_based,True,0,1,0,66,87.19694074988365,-2.8018409949448024,-3.177114229335521,-1.3049960457782703,,,,,,1.6412994982182116,2.587525660037243,0.0002828361621192643
,29,movebase,rule_based,True,0,1,0,39,85.6804687678814,-6.437433419903827,-1.752067881092351,-0.9457936534475684,,,,,,1.3153996866918887,2.2322847973509234,0.0002850047468551147
,30,movebase,rule_based,True,1,0,0,43,-109.30001094937325,-4.15391972501805,-1.005603001698777,-2.3798812273289625,,,,,,0.3828616372556596,2.894854835211589,0.0001915242580900831
summary,all,movebase,rule_based,True,,,,,,,,,,1.0268359369149915,0.5555555555555556,0.4444444444444444,0.0,2.602223426515175,2.7423954243580426,0.00016722397598694614
