row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,True,0,1,0,101,75.42811521887779,-3.7748425320843824,-1.145489376473288,1.4522411680404606,,,,,,4.0745938622854245,2.943516284053974,6.134469816951874e-05
,2,movebase,rule_based,True,0,1,0,178,74.54588363319635,-3.8076813403023855,-2.4295104929152718,-2.051182336373829,,,,,,1.1139568892232299,3.3115592885743785,0.00018665777231274038
,3,movebase,rule_based,True,0,1,0,58,88.30254727602005,-1.9802680487702515,-2.825725162720142,0.404512215781864,,,,,,4.042884650932611,2.649059702381442,0.00012394515358862593
,4,movebase,rule_based,True,1,0,0,24,-105.98218688368797,-6.057162660277232,-4.7752729916164345,-2.0512512377157894,,,,,,4.473730566032079,4.186783167064672,0.0002763145837842892
,5,movebase,rule_based,True,1,0,0,51,-117.2032757923007,-3.7403557782580372,-1.0504451005310944,-2.0672389067497026,,,,,,1.28759913466761,3.6362677527768357,0.00019677559463890425
,6,movebase,rule_based,True,0,1,0,57,92.15764540433884,-3.396370914480326,-3.756374405743223,-1.2108556267655406,,,,,,5.248445271221552,3.1041879359516726,0.00019801814110738308
,7,movebase,rule_based,True,0,1,0,77,89.99014713615179,-3.9398269523399865,-1.9135391894278926,-2.271433624603455,,,,,,3.163113038231098,2.646970869467748,8.552077569489544e-05
,9,movebase,rule_based,True,1,0,0,75,-119.50225035101175,-3.3811228274871583,-2.0250769614988684,0.9551285978667423,,,,,,0.9509969507745571,2.6144065384849067,0.0001076596324910541
,10,movebase,rule_based,True,0,1,0,64,76.53789103031158,-1.7011634239961069,-3.2922716466134103,-0.628968901563141,,,,,,4.564696338449009,3.5386976409157773,0.00017217541153444915
summary,all,movebase,rule_based,True,,,,,,,,,,17.141612963544,0.6666666666666666,0.3333333333333333,0.0,3.213335189090797,3.181272131074601,0.00015649019592465116
