step,ego_x,ego_y,adv_x,adv_y
0,-1.0930844407384486,-6.477931821923298,-1.179215038063772,-3.302143050717597
1,-1.0930844966493687,-6.477932307187434,-1.1792141484487508,-3.302143498541287
2,-1.0930845547967947,-6.477932792806566,-1.1792132582873118,-3.302143947557094
3,-1.0930846137540244,-6.477933278831069,-1.1792123676813908,-3.3021443976787577
4,-1.0930846734008262,-6.477933765192757,-1.1792115736171467,-3.302144896503043
5,-1.093084733640091,-6.477934251832854,-1.1792108030222794,-3.3021453043301463
6,-1.0930847943879374,-6.477934738701362,-1.1792100284805502,-3.302145711028204
7,-1.0930848555719113,-6.477935225755841,-1.1792084729316152,-3.3021465288643372
8,-1.0930849558364388,-6.477936155313133,-1.17920770533742,-3.3021469500297638
9,-1.0930850098030631,-6.477936608004326,-1.1792069696677618,-3.302147344488414
10,-1.0930850640617804,-6.477937060850291,-1.1792063869840577,-3.3021476761856463
11,-1.0930851185701185,-6.477937513831665,-1.1792060929959487,-3.3021478456021005
12,-1.0930851732953455,-6.477937966931137,-1.1792057924285033,-3.302148009644951
13,-1.0930852282090584,-6.477938420133685,-1.179205490731267,-3.302148173547342
14,-1.0930852832865878,-6.477938873426287,-1.1792051880320074,-3.302148337331533
15,-1.0930853277076626,-6.4779392623926535,-1.1792048844421106,-3.3021485010127583
16,-1.0930853691646414,-6.477939626005185,-1.179204580060471,-3.3021486646043736
17,-1.0930854106007672,-6.477939990188924,-1.1792042749748979,-3.3021488281180984
18,-1.0930854519901623,-6.477940354871806,-1.179203969263362,-3.3021489915642124
19,-1.0930854957673566,-6.4779407018833846,-1.1792036629950973,-3.302149154951723
20,-1.093085538216389,-6.477941042483583,-1.1792033562315831,-3.302149318288529
21,-1.0930855785307652,-6.477941383908983,-1.179203049027417,-3.3021494815815466
22,-1.0930856188780862,-6.477941720561969,-1.1792027414310795,-3.302149644836831
23,-1.09308566162446,-6.477942061809508,-1.1792024334856295,-3.302149808059686
24,-1.093085702461889,-6.477942403767426,-1.1792021252293057,-3.302149971254751
25,-1.0930857417418782,-6.47794274113367,-1.179201816696071,-3.3021501344260824
26,-1.0930857847152788,-6.477943082811661,-1.1792015079160894,-3.3021502975772274
27,-1.0930858259028073,-6.477943425128235,-1.1792011989161517,-3.3021504607112844
28,-1.0930858654174236,-6.477943723642448,-1.1792008897200577,-3.3021506238309617
29,-1.0930859059368632,-6.4779440075379835,-1.1792005803489451,-3.302150786938622
30,-1.0930859871693834,-6.477944575090298,-1.1791999611546782,-3.3021511131258685
31,-1.0930860282881785,-6.477944885240005,-1.1791996513630232,-3.302151276208817
32,-1.0930860673045757,-6.47794522278982,-1.179199341459791,-3.3021514392865328
33,-1.0930861103219833,-6.477945564564126,-1.1791990314566791,-3.302151602360204
34,-1.093086150144851,-6.477945880708015,-1.1791987213640787,-3.30215176543086
35,-1.0930861906881133,-6.477946164609179,-1.179198411191224,-3.302151928499398
36,-1.0930862312557381,-6.47794644845696,-1.1791981009463164,-3.3021520915665934
37,-1.0930862718879517,-6.477946732227943,-1.179197790636649,-3.302152254633123
38,-1.0930863138293847,-6.477947024077378,-1.1791974802686993,-3.302152417699571
39,-1.093086353968672,-6.477947366982084,-1.179197169848223,-3.302152580766442
40,-1.0930863928757801,-6.4779477046341905,-1.179196859380338,-3.302152743834173
41,-1.0930864341888102,-6.477948038495194,-1.17919654886959,-3.3021529069031423
42,-1.093086475456429,-6.477948321768094,-1.1791962383200207,-3.3021530699736767
43,-1.0930865160061225,-6.477948605651592,-1.1791959277352229,-3.302153233046057
44,-1.0930865566223937,-6.477948889455723,-1.1791956171183882,-3.3021533961205227
45,-1.0930865972979324,-6.477949173189666,-1.179195306472355,-3.302153559197283
46,-1.0930866386044096,-6.477949506608146,-1.1791949957996466,-3.302153722276513
47,-1.0930866797095506,-6.477949848887172,-1.1791946851025048,-3.3021538853583676
48,-1.0930867184561075,-6.477950186666178,-1.1791943743829238,-3.3021540484429748
49,-1.093086760241029,-6.477950479017987,-1.179194063642677,-3.302154211530446
50,-1.0930868007732528,-6.4779507629380655,-1.1791937528833396,-3.3021543746208737
51,-1.0930868413729928,-6.477951046776431,-1.1791934421063153,-3.302154537714341
52,-1.0930868820340391,-6.477951330542225,-1.179193131312848,-3.3021547008109127
53,-1.0930869642630514,-6.477951988617315,-1.1791925096808984,-3.3021550270135895
54,-1.0930870054457678,-6.477952330987984,-1.1791921988442777,-3.3021551901197834
55,-1.0930870450341623,-6.477952636366361,-1.1791918879949652,-3.302155353229259
56,-1.0930870855575463,-6.477952920318741,-1.1791915771336525,-3.3021555163420437
57,-1.0930871261401855,-6.4779532041924135,-1.1791912662609574,-3.3021556794581604
58,-1.0930871667862299,-6.477953487991038,-1.1791909553774294,-3.302155842577628
59,-1.0930872079782097,-6.477953791307087,-1.1791906444835556,-3.3021560057004606
60,-1.0930872469088253,-6.477954128995901,-1.1791903335797702,-3.3021561688266696
61,-1.0930872899281723,-6.477954470825927,-1.1791900226664598,-3.302156331956265
62,-1.0930873297155135,-6.477954793920053,-1.1791897117439685,-3.302156495089254
63,-1.0930873703594501,-6.477955077795735,-1.1791894008126018,-3.3021566582256416
64,-1.0930874109244666,-6.4779553617057735,-1.1791890898726303,-3.30215682136543
65,-1.0930874515549909,-6.477955645538213,-1.1791887789242976,-3.3021569845086227
66,-1.0930874922436806,-6.477955929302069,-1.179188467967819,-3.3021571476552207
67,-1.0930875335925305,-6.477956273606653,-1.1791881570033866,-3.302157310805228
68,-1.0930875725377434,-6.477956611309262,-1.179187846031171,-3.3021574739586406
69,-1.0930876155986857,-6.477956953231825,-1.1791875350513237,-3.3021576371154597
70,-1.0930876551791717,-6.477957235371088,-1.1791872240639802,-3.3021578002756846
71,-1.093087695726357,-6.477957519318502,-1.1791869130692603,-3.302157963439313
