step,ego_x,ego_y,adv_x,adv_y
0,-5.232656301965141,-2.789955219012689,-4.3945095530453155,-5.252581966376236
1,-5.219161559089312,-2.80825670347823,-4.394180343499417,-5.252273758512612
2,-5.193536160365394,-2.819744678497378,-4.393838097190982,-5.251765593956391
3,-5.172613699030878,-2.8296051951047856,-4.393491036499725,-5.25125347761124
4,-5.14909069284821,-2.839494782166114,-4.393138651942173,-5.250737153872175
5,-5.147607856591051,-2.8422879059616974,-4.392780859416009,-5.250216578734462
6,-5.145963317124913,-2.8442749068936837,-4.3924947426278385,-5.24817172660825
7,-5.14935257227217,-2.846780203723363,-4.392476577162213,-5.24636262272679
8,-5.156397767783745,-2.8479813023064695,-4.392925459501446,-5.244473653459095
9,-5.160547164622466,-2.8506043148673585,-4.393219610942617,-5.242247229585345
10,-5.170336834419504,-2.864291448004629,-4.394118550050722,-5.238456303459777
11,-5.174516071502891,-2.8750293326220393,-4.3958955440582255,-5.23104058024536
12,-5.173214057596102,-2.879211314928711,-4.396937726868178,-5.224561256347943
13,-5.173009889550271,-2.8882165187188864,-4.399170291376142,-5.209356953198211
14,-5.1723063676938015,-2.901261560412844,-4.404717653236842,-5.193611124785786
15,-5.170190537648204,-2.914409516951784,-4.426161233023979,-5.172591650912567
16,-5.169043569015169,-2.9289364773111966,-4.444598315328959,-5.17541753145607
17,-5.168412975699142,-2.940629791961203,-4.483434384930401,-5.174932630022705
18,-5.1747377465950795,-2.9606612969503647,-4.498249923937238,-5.175240414011451
19,-5.189615238434503,-2.982771570169427,-4.498130647692142,-5.175218966777224
20,-5.200889783248024,-3.003794492011084,-4.499261570927026,-5.175106138932364
21,-5.216543214226763,-3.0253294381336486,-4.500392677600545,-5.17492265691606
22,-5.233805243683787,-3.0471673502430394,-4.501348917639651,-5.174455587688441
23,-5.242172930969841,-3.0696560779968003,-4.501895177931061,-5.174208263597685
24,-5.248354490295734,-3.096486311786298,-4.502824374289937,-5.173787447198088
25,-5.262075971600563,-3.1482023438224216,-4.503921350730794,-5.171661868939573
26,-5.268968589715637,-3.1725780671577786,-4.504245639385779,-5.170212989203407
27,-5.278895176116965,-3.200200672683566,-4.504413218610869,-5.168964318642943
28,-5.286544951277437,-3.2261767487924096,-4.504963166898931,-5.16674741563194
29,-5.294577545087683,-3.2503354234671264,-4.505485227752361,-5.1645966743316
30,-5.305435103436866,-3.2766105320043417,-4.505393750936856,-5.159803638289554
31,-5.31748721949055,-3.302725802035178,-4.504754788631017,-5.154831949863446
32,-5.326975792882722,-3.3251934090430613,-4.502548984254888,-5.155881441077161
33,-5.342510927610573,-3.3493934165033776,-4.4992751924729255,-5.173137512780961
34,-5.355993189631449,-3.3745905943423904,-4.496077324986361,-5.185571356788698
35,-5.3685307200590655,-3.4004799655086333,-4.495264834409611,-5.199197057826002
36,-5.386448571378804,-3.4232762446785157,-4.49552681788995,-5.198506842241323
37,-5.401748111863536,-3.4464125881057965,-4.498594786208776,-5.1984078282829485
38,-5.4148307008197065,-3.4725313954775587,-4.50010289300879,-5.195489347231461
39,-5.430838472151406,-3.496666348936301,-4.501500736234456,-5.192973090836252
40,-5.446941237233185,-3.5200860287913285,-4.502870679741592,-5.185338673323899
41,-5.461008600453761,-3.5446446788049486,-4.50457251569252,-5.176187368220624
42,-5.476595863212532,-3.5702359946030913,-4.511797302640557,-5.177745883223046
43,-5.494501597279297,-3.593041518876652,-4.511125922569306,-5.177805783862104
44,-5.509103673303483,-3.6163887196521443,-4.5101200866462445,-5.177978248868142
45,-5.542708077364795,-3.664419441804492,-4.508703954413412,-5.1769826630925255
46,-5.557636852859102,-3.6878857895970576,-4.5079066736309406,-5.175474643064717
47,-5.574870150129678,-3.712430138044035,-4.507131661253123,-5.173427642037527
48,-5.591574521200036,-3.7374271325571304,-4.506289946377745,-5.1707313431865645
49,-5.607246542210919,-3.7615560996361297,-4.505315255437056,-5.167056047543774
50,-5.6239054316806945,-3.786451568247352,-4.512134679088036,-5.161784319966421
51,-5.6408639538316745,-3.8119330145320798,-4.519934075741117,-5.153418307671237
52,-5.657003330458225,-3.836581525287086,-4.527864697580703,-5.144037397458049
53,-5.673494884279473,-3.8615933437258363,-4.5373210750683,-5.1389371634490075
54,-5.690223775266962,-3.8869770837752817,-4.543289146615948,-5.139706614850637
55,-5.7064407952960705,-3.9117241923496215,-4.544442807924095,-5.142396059594247
56,-5.7228197206919384,-3.9368490779774423,-4.5453553409374985,-5.1450431288841
57,-5.739225372423793,-3.962113871688617,-4.545472620684443,-5.145607132828375
58,-5.755190538233025,-3.986872791038872,-4.545527191638227,-5.14592794603404
59,-5.770252085348461,-4.0122580122860665,-4.545944354192652,-5.147370253913534
60,-5.786024090471333,-4.037685436415887,-4.5467460251034355,-5.150094949940215
61,-5.801523812096422,-4.062745095491338,-4.547281312565248,-5.152028515844637
62,-5.813315282232779,-4.0895173416918995,-4.547588370168444,-5.153321301940786
63,-5.826549883268958,-4.11610761484668,-4.547813402264253,-5.154397209655555
64,-5.840931220029592,-4.141992035251423,-4.5480790641253765,-5.155650193472958
65,-5.853213667656201,-4.168346224454841,-4.548340529706286,-5.15688453275082
66,-5.867605571467106,-4.200192136488879,-4.548991441144749,-5.1599605441454965
67,-5.879148995576772,-4.225822762731542,-4.549319018132731,-5.161619412731224
68,-5.890981102245727,-4.2531758835554045,-4.549252024527859,-5.161615342131414
69,-5.903041274327641,-4.279997518759252,-4.549186762363755,-5.161610320341327
70,-5.915207728003432,-4.306982302602818,-4.5491197405730945,-5.16162410524163
71,-5.927120555868876,-4.3344972999006615,-4.549045555148205,-5.161613215088654
