step,ego_x,ego_y,adv_x,adv_y
0,-1.9055435199999338,-2.706449097682182,-4.472390328012184,-2.929319017739679
1,-1.9041988912776822,-2.696364531438571,-4.458534326567642,-2.9055285227424705
2,-1.9080586034093634,-2.7002723493378356,-4.444849609772012,-2.884649243239184
3,-1.9278685361156715,-2.70676346857945,-4.428923638800791,-2.862846762234377
4,-1.9587808085376346,-2.715655009640372,-4.41374837318986,-2.8405067708799887
5,-1.9686218830381992,-2.72755686787003,-4.4241774042699,-2.857265798914242
6,-1.9693793974726375,-2.7257829264331326,-4.423967775060093,-2.882864852574867
7,-1.9714606273653548,-2.7216207359197773,-4.422909212867924,-2.908274265413655
8,-1.9736015050492282,-2.720034861539644,-4.429722560604158,-2.9195799927120203
9,-1.976717933377592,-2.724335943490591,-4.431659017951027,-2.939747633644804
10,-1.9769603873243458,-2.724384397077643,-4.437844329036169,-2.959433867906696
11,-1.9769207136804317,-2.7244611592570855,-4.439652189992904,-2.982111347798397
12,-1.9769136679158228,-2.7244698902444675,-4.438273409488783,-2.9977337134902347
13,-1.9769151088168682,-2.7244648082122938,-4.437099144689958,-3.0127772151858947
14,-1.9769153198378735,-2.724464420750855,-4.436833529123623,-3.0205904238727523
15,-1.9769098388588304,-2.7244638771394083,-4.436540118207845,-3.0265351223144727
16,-1.976897123737657,-2.724464946607509,-4.433779287433506,-3.0354765154218266
17,-1.976799324041724,-2.724631269737303,-4.4299552188328395,-3.059126226496644
18,-1.9767822817014336,-2.7246521995962176,-4.426176032109485,-3.086728267208274
19,-1.9767835517208077,-2.724648321902695,-4.418772788783974,-3.0963993260370635
20,-1.9767845421600252,-2.7246393582538055,-4.388306672236948,-3.117571843724552
21,-1.976303163315006,-2.7278093360698668,-4.370277754682471,-3.131143856050882
22,-1.9743499633557933,-2.732642499612875,-4.354650747172032,-3.1449484303351567
23,-1.9742973906101522,-2.7367092094109458,-4.34917236041169,-3.169496924122543
24,-1.990958179591455,-2.7449629448706894,-4.344770199465438,-3.196825980814878
25,-2.015284782266375,-2.7578848032198895,-4.332103471455845,-3.213070697069032
26,-2.0328177183484066,-2.764112572774179,-4.316019913478938,-3.233191340805748
27,-2.0491981920402655,-2.7649618188264826,-4.297897864690089,-3.255497885206742
28,-2.0587394203092297,-2.759852354339554,-4.283593075368794,-3.271575725827851
29,-2.073413159295236,-2.7560736592388517,-4.268195056217743,-3.2926200491599578
30,-2.089048687194838,-2.7518276356871074,-4.252603836492847,-3.3156465515918114
31,-2.106310610477478,-2.748383267154027,-4.2379517275314065,-3.3383422039450767
32,-2.1246771361936267,-2.745979721965632,-4.2290743526481585,-3.3626668769520105
33,-2.1483481254446675,-2.7433164371953405,-4.223929805967109,-3.3905161114709195
34,-2.173437933729996,-2.743885717417893,-4.213528379583341,-3.414976857819805
35,-2.196110622041533,-2.7405131178494675,-4.200509767870818,-3.440975864833773
36,-2.2198954705907057,-2.7397366989404137,-4.188750721807856,-3.4662145124944677
