step,ego_x,ego_y,adv_x,adv_y
0,-4.236962934264182,-4.0320891781109935,-0.9825113520805198,-4.206827679040906
1,-4.236963479627895,-4.032088571145584,-0.9815156392264309,-4.205779660671573
2,-4.236964044881664,-4.032087971253621,-0.9997944273539252,-4.193326349993762
3,-4.236964536778995,-4.0320873669178905,-1.021089267402964,-4.174578413154646
4,-4.236965010043342,-4.032086839041314,-1.036152311696864,-4.167105228172401
5,-4.236965485888936,-4.032086312987149,-1.059422031786943,-4.16326027855796
6,-4.236965961840746,-4.032085786249373,-1.0849261093654898,-4.166936957929815
7,-4.2369664378781335,-4.032085258905781,-1.1003832057344738,-4.1622042158178685
8,-4.236966913991749,-4.0320847310334,-1.1084490441562196,-4.162943666287722
9,-4.236967390173466,-4.03208420269927,-1.119134793016696,-4.1609886958162585
10,-4.236967807413957,-4.032083738761682,-1.1364822807838293,-4.159588764717251
11,-4.23696811728476,-4.0320834062330215,-1.16034558392393,-4.143330279720022
12,-4.236968354564342,-4.032083140449049,-1.1674384951364305,-4.140044863119533
13,-4.236968581880838,-4.032082886668106,-1.1707747684810743,-4.133572874313171
14,-4.236968810285589,-4.032082632759808,-1.185797546293504,-4.1189916218040095
15,-4.2369690396565804,-4.032082378739688,-1.1993349756349336,-4.1088225059932055
16,-4.236969269884734,-4.032082124619956,-1.2062543943885935,-4.101332408233275
17,-4.236969500873337,-4.032081870411416,-1.2070605645366002,-4.09495187865683
18,-4.236969732536658,-4.032081616123646,-1.208440032506367,-4.087200238899298
19,-4.236970197592046,-4.0320811073433385,-1.2126300515314152,-4.072442429524068
20,-4.236970430856992,-4.032080852864957,-1.2240608864979798,-4.056321643360196
21,-4.2369706645405705,-4.032080598335859,-1.226164668602565,-4.040537410381722
22,-4.2369708985958265,-4.032080343761257,-1.2285761369148058,-4.024662422797016
23,-4.236971132981142,-4.032080089145763,-1.2320274476329767,-4.006667194448973
24,-4.236971367659615,-4.03207983449347,-1.2358149209161549,-3.979984923811331
25,-4.236971602598536,-4.0320795798079905,-1.2378604166636467,-3.9570242998500853
26,-4.236971837768896,-4.032079325092529,-1.2397095520696142,-3.9389333791020906
27,-4.236972073144991,-4.0320790703499245,-1.2544841307976222,-3.9185897698387198
28,-4.236972308704027,-4.032078815582684,-1.2715980857399085,-3.8992180819629993
29,-4.2369725444258055,-4.032078560793039,-1.2796440382480043,-3.8779898732189655
30,-4.236972780292405,-4.032078305982949,-1.2912769717940298,-3.855308797174397
31,-4.236973016287945,-4.032078051154159,-1.3054129152157907,-3.835979744443697
32,-4.236973252398352,-4.032077796308217,-1.3148501889049256,-3.8171963417105266
33,-4.2369734886111425,-4.032077541446483,-1.3265633820624385,-3.7974854442069015
34,-4.236973724915253,-4.03207728657017,-1.3408063333489868,-3.7755315072358138
35,-4.236973961300873,-4.032077031680345,-1.3537333988877418,-3.754163944803355
36,-4.236974197759311,-4.032076776777959,-1.3681046469362586,-3.739678762995748
37,-4.236974434282857,-4.032076521863849,-1.3919514500567258,-3.7289193486080823
38,-4.236974670864677,-4.032076266938758,-1.4096972052058807,-3.7119658037331136
39,-4.236974907498707,-4.03207601200334,-1.4274819568684756,-3.6960520430020813
40,-4.236975144179583,-4.03207575705818,-1.4483978306162513,-3.680230426113717
41,-4.236975380902543,-4.03207550210379,-1.4694592486669975,-3.667163996539769
42,-4.236975617663369,-4.032075247140628,-1.487293923078746,-3.6533141652556487
43,-4.2369758544583105,-4.032074992169096,-1.5343421904632193,-3.62820325203242
44,-4.236976328137668,-4.032074482202312,-1.553584997918492,-3.616781090797112
45,-4.236976565016535,-4.032074227207653,-1.5759427531369554,-3.6106903473517526
46,-4.236976801918345,-4.032073972205823,-1.6030690868738589,-3.6096441106186563
47,-4.236977038841056,-4.032073717197046,-1.627491349286948,-3.6025267749601397
48,-4.236977275782843,-4.032073462181507,-1.6526737499669248,-3.5929892627699
49,-4.2369775127421025,-4.032073207159382,-1.6800795672702162,-3.594230118540421
50,-4.236977749717405,-4.03207295213082,-1.705666963943353,-3.5913844234979613
51,-4.236977986707487,-4.032072697095957,-1.7303406542373645,-3.5854204512711423
52,-4.2369782237112235,-4.03207244205491,-1.7590997480755703,-3.582078830672301
53,-4.236978460727624,-4.0320721870077865,-1.786890642607265,-3.577124427170012
54,-4.236978697755807,-4.032071931954677,-1.813044228084754,-3.570951457968521
55,-4.236978934794988,-4.032071676895667,-1.8422337396400896,-3.5656025207074906
56,-4.236979171844477,-4.0320714218308265,-1.871272765290716,-3.559575512538149
57,-4.236979408903659,-4.03207116676022,-1.896584179942188,-3.5544181820679293
58,-4.236979645971989,-4.032070911683902,-1.9252267024788001,-3.551625907999951
59,-4.2369798830489875,-4.0320706566019275,-1.9542783701735802,-3.549518650011316
60,-4.236980120134223,-4.032070401514338,-1.981659964576929,-3.5478837435346473
61,-4.236980357227316,-4.032070146421167,-2.0100790121012637,-3.552019674796059
62,-4.236980594327935,-4.0320698913224575,-2.037913926927992,-3.552335545797789
63,-4.2369808314357815,-4.032069636218238,-2.0675920635436627,-3.550446212673089
64,-4.236981068550588,-4.032069381108537,-2.095957723301335,-3.5529952194153327
65,-4.236981305672122,-4.0320691259933765,-2.124646307464701,-3.554990767164749
66,-4.236981542800179,-4.032068870872777,-2.153558412281127,-3.5547012475702235
67,-4.236981779934577,-4.032068615746762,-2.183022823310487,-3.555428590355991
68,-4.236982017075146,-4.032068360615344,-2.2118197769878933,-3.555691729435313
69,-4.236982254221741,-4.032068105478533,-2.2404156031717313,-3.555901929518201
