step,ego_x,ego_y,adv_x,adv_y
0,-5.1964684811128015,-2.8306837417715216,-2.5608169004580024,-2.7962980198944347
1,-5.196467410055682,-2.830683799564355,-2.5608161147975563,-2.7962978965643894
2,-5.196466339361918,-2.830683858027449,-2.5608153291679154,-2.7962977747097892
3,-5.196465268989351,-2.830683916894814,-2.5608145436356002,-2.7962976536699844
4,-5.196464198904155,-2.8306839761084026,-2.5608137582056547,-2.796297533338422
5,-5.196463129075423,-2.8306840356198357,-2.560812972880152,-2.7962974136251573
6,-5.196462059474927,-2.8306840953874954,-2.560839122355151,-2.7974588802758875
7,-5.196460990076944,-2.8306841553755673,-2.5610137887478923,-2.798092431030288
8,-5.196460012738729,-2.8306841529589417,-2.5613062548979184,-2.79928716136017
9,-5.196459211692303,-2.830684175022081,-2.56167265601681,-2.800346565217187
10,-5.1964584127473685,-2.830684205693972,-2.5621022011827486,-2.8013000135436243
11,-5.196457615047743,-2.83068423663823,-2.5626027726497225,-2.8028284652592137
12,-5.196456818468339,-2.8306842677759603,-2.5631775464436006,-2.8040858977197773
13,-5.196456022900745,-2.8306842990813452,-2.563942451413944,-2.8057267155491235
14,-5.196455228246805,-2.830684330532261,-2.5647786655450133,-2.807088531967653
15,-5.196454434417615,-2.8306843621095163,-2.56456450598625,-2.8188138945670014
16,-5.196452848919111,-2.830684425578675,-2.554834583989769,-2.8364568838218736
17,-5.196452057110945,-2.8306844574436183,-2.548194299605549,-2.840462781933663
18,-5.196451388296863,-2.8306844973946683,-2.5515004163173787,-2.839854234086271
19,-5.196450767101516,-2.8306845244332144,-2.5528976698902652,-2.839838422980731
20,-5.196450146194914,-2.8306845513935217,-2.5544146393616773,-2.8399960837418767
21,-5.196449525559205,-2.830684578319467,-2.554346211124416,-2.842007989332834
22,-5.196448905171135,-2.8306846052156747,-2.555948148738772,-2.842370407455767
23,-5.196448318059337,-2.830684639445934,-2.55637688187245,-2.847485922108594
24,-5.196447755902571,-2.8306846743552345,-2.559011810136398,-2.8515186777461174
25,-5.196447184217464,-2.8306847014824514,-2.5621375943065883,-2.862348584304974
26,-5.196446612165979,-2.8306847248028935,-2.564885184170351,-2.871145665036453
27,-5.19644605065946,-2.8306847595595657,-2.556307643817767,-2.894600260847847
28,-5.196445479581404,-2.8306847866972675,-2.548883674046229,-2.9028567661548905
29,-5.19644490807547,-2.830684810037657,-2.51621157522676,-2.9281975475049618
30,-5.196444347047537,-2.8306848447367705,-2.4934458552963275,-2.9520143137516497
31,-5.19644377640768,-2.8306848718819984,-2.4657376479793247,-2.9781730580727754
32,-5.19644320529458,-2.8306848952361556,-2.4400617538312237,-3.010507132971944
33,-5.196442644610604,-2.830684929897035,-2.4153424886988173,-3.038908474197941
34,-5.196442074284404,-2.830684957047806,-2.391589082529254,-3.0748960479743306
35,-5.196441503451527,-2.830684980411693,-2.369615860649212,-3.1097773633718107
36,-5.196440943012076,-2.830685015047382,-2.3467754378684296,-3.156173109781024
37,-5.196440372907709,-2.830685042202447,-2.3204663146378435,-3.199838934388672
38,-5.196439802272044,-2.8306850655734235,-2.30471111095274,-3.2358093387283375
39,-5.196439242003715,-2.8306851001927176,-2.283735882375434,-3.2731091901047864
40,-5.196438101553887,-2.8306851507276476,-2.276737884711461,-3.31012140126438
41,-5.196437541402519,-2.8306851853364963,-2.262323891035157,-3.340969528600895
42,-5.196436971556608,-2.8306852124981052,-2.249070810476623,-3.3714756650614417
43,-5.196436401147976,-2.83068523587872,-2.238291644244696,-3.405469867237771
44,-5.196435841073616,-2.8306852704811387,-2.2211783676077066,-3.4463113938188568
45,-5.196435271295272,-2.8306852976454864,-2.2152020642569714,-3.458993978138262
46,-5.196434700944438,-2.8306853210296454,-2.2122946546625304,-3.465893763599377
47,-5.196434140917639,-2.830685355628361,-2.2114200026559083,-3.468011370704038
48,-5.196433571179815,-2.8306853827952727,-2.2107702652012127,-3.47010514842491
49,-5.196433000862341,-2.830685406182521,-2.210678059307683,-3.471673417502823
50,-5.196432440861391,-2.8306854407793773,-2.210761099398095,-3.472808288809713
51,-5.196431871144169,-2.830685467948751,-2.2111180034705056,-3.473207224757634
52,-5.1964313008420655,-2.830685491338795,-2.211549424936566,-3.474637359840613
53,-5.19643074085097,-2.830685525935043,-2.2120024515642625,-3.4758530796080023
