step,ego_x,ego_y,adv_x,adv_y
0,-1.2675498354854269,-3.2472474892997822,-3.0123207461794212,-2.252105605389136
1,-1.2675503269133195,-3.247246507646128,-3.0116987482882367,-2.253262245386461
2,-1.267550818424513,-3.247245525376859,-3.0114693703864845,-2.2539416321857906
3,-1.267551801735885,-3.2472435592092905,-3.0109946032989985,-2.256240916292683
4,-1.267552293516694,-3.2472425754533165,-3.01041375096804,-2.2581882097370767
5,-1.2675527853701847,-3.2472415913277572,-3.0101073730660755,-2.259861671713755
6,-1.267553277289496,-3.247240606881175,-3.009908177753839,-2.2616986902505114
7,-1.2675537692685857,-3.2472396221552433,-3.009899946350296,-2.2634306740561905
8,-1.2675542613021298,-3.2472386371857125,-3.0100326031019766,-2.265392055789878
9,-1.2675547533854434,-3.247237652003245,-3.0103740143630318,-2.2671337612979787
10,-1.267555245514396,-3.247236666634128,-3.0109243776260404,-2.2689086568257717
11,-1.2675557376853541,-3.2472356811008947,-3.011704555034722,-2.270243632432147
12,-1.2675561923157634,-3.2472349315377493,-3.0133006494724706,-2.270742524044984
13,-1.2675565718155866,-3.2472342055116497,-3.0154424166160876,-2.2712409188356446
14,-1.2675569499891362,-3.2472334800417055,-3.0157512016628543,-2.271233982516957
15,-1.2675573275744005,-3.2472327553606415,-3.016031413814447,-2.2713057391516376
16,-1.2675577046368827,-3.2472320313921266,-3.0163078404304526,-2.271335796611147
17,-1.2675580488454101,-3.2472313306484213,-3.0165699419987186,-2.2713718595781653
18,-1.2675583408774949,-3.247230762376784,-3.016817027854874,-2.271409024598809
19,-1.2675586347426349,-3.2472301941558523,-3.0170498017678216,-2.271442990743131
20,-1.2675589283749358,-3.2472296263165465,-3.0172666782822017,-2.271474166915925
21,-1.2675592217948686,-3.247229058821897,-3.0174676185654925,-2.271502718866419
22,-1.2675595150228833,-3.2472284916391287,-3.017648674241207,-2.2715333691044446
23,-1.2675598080775754,-3.247227924738359,-3.0178158391652525,-2.2715531728508567
24,-1.2675603366720194,-3.247226872461553,-3.018089452106663,-2.271590736034572
25,-1.2675606041597056,-3.247226349406143,-3.018198810723262,-2.271602900800197
26,-1.267560875120395,-3.2472258279549107,-3.0182852013690935,-2.271613186802878
27,-1.2675611307389978,-3.247225310321628,-3.0183548795027737,-2.2716244672372885
28,-1.267561397867511,-3.24722478789876,-3.018392296623566,-2.2716234871789407
29,-1.2675616685129998,-3.2472242670165152,-3.01841963642657,-2.271636052377649
30,-1.2675619238058082,-3.247223749868949,-3.0184097292924474,-2.2716273901175583
31,-1.2675621906770558,-3.247223227896729,-3.0183848305773258,-2.271616442417303
32,-1.2675624610969352,-3.247222707418845,-3.018317817203242,-2.2716374370542254
33,-1.2675627161593226,-3.2472221906164296,-3.018231697552518,-2.271635400171064
34,-1.2675629828475221,-3.2472216689628115,-3.0181130410686046,-2.2716336577639846
35,-1.267563253107146,-3.2472211487698295,-3.017983227686363,-2.2716403508850354
36,-1.2675635080077374,-3.2472206322101607,-3.0177931732517003,-2.2716478617563185
37,-1.267563774566922,-3.24722011077926,-3.017562259085233,-2.2716180232888585
38,-1.2675640447139493,-3.2472195907844688,-3.0171884888297558,-2.271599718903553
39,-1.2675642995021625,-3.247219074392944,-3.017011179192593,-2.2715351127417445
40,-1.267564565971668,-3.247218553115118,-3.0167116121204685,-2.271474648594284
41,-1.2675648360408551,-3.247218033255569,-3.0162343064994785,-2.271388110352621
42,-1.2675650907523053,-3.2472175169778468,-3.015583702448442,-2.2712704759778815
43,-1.2675656271774494,-3.2472164760324818,-3.013405406361038,-2.2709313238080915
44,-1.2675658818378173,-3.247215959828978,-3.0121264467332036,-2.2711634590186085
45,-1.2675661482060852,-3.2472154387193584,-3.011336356079011,-2.2718030161793186
46,-1.267566418188734,-3.2472149190056654,-3.0101404785443147,-2.2725192039927924
47,-1.267566672816555,-3.2472144028475474,-3.0097084126589277,-2.2732075098715003
48,-1.267566939159805,-3.2472138817769407,-3.008836019546476,-2.2745981959144626
49,-1.2675672091218846,-3.247213362095457,-3.008061113782311,-2.2758622998822835
50,-1.267567463730543,-3.247212845961726,-3.007172637871405,-2.277819876273838
51,-1.2675677300598236,-3.2472123249107185,-3.00653124664176,-2.279802704502342
52,-1.2675680000111473,-3.247211805243921,-3.0062775755966866,-2.2819536132758342
53,-1.2675682546103166,-3.2472112891192824,-3.008058153461795,-2.2829372666751717
54,-1.26756852093367,-3.2472107680737627,-3.012577977746689,-2.2824678340613875
55,-1.2675687908813889,-3.247210248408916,-3.0155181455765154,-2.2818225618181325
56,-1.2675690454780586,-3.2472097322822284,-3.0172590089050693,-2.2815294775788377
57,-1.2675693118013416,-3.247209211231939,-3.018770774205787,-2.281352194473907
58,-1.2675695817506667,-3.2472086915597873,-3.0198827711792773,-2.282201556711455
59,-1.2675698363498953,-3.2472081754229394,-3.0210041099284473,-2.2842938240805153
60,-1.2675703726320986,-3.2472071346742353,-3.023687498607552,-2.287003212834256
61,-1.2675706272375462,-3.2472066185213184,-3.0254066932569468,-2.2892546396715288
62,-1.2675708935723171,-3.247206097441143,-3.02646942176632,-2.2903011578191483
63,-1.2675711635352165,-3.2472055777360347,-3.0294096087805733,-2.2950435320140166
64,-1.2675714181495332,-3.247205061562745,-3.0318927800241844,-2.299070395566869
65,-1.2675716844938603,-3.247204540460969,-3.034147504230752,-2.3076073635783465
66,-1.2675719544669453,-3.2472040207333794,-3.038365918155468,-2.3143070521749536
67,-1.2675722090920518,-3.2472035045365812,-3.0370522400463122,-2.3292245365629514
68,-1.2675724754475783,-3.2472029834103355,-3.0366685778387645,-2.338580157755181
69,-1.2675727454323185,-3.2472024636576764,-3.027488360314453,-2.351490575624093
70,-1.2675730000696057,-3.247201947435088,-3.026492210208213,-2.357527529276304
71,-1.2675732664375325,-3.2472014262822846,-3.0293969736197353,-2.364535334273704
72,-1.2675735364349983,-3.247200906502675,-3.0275532251340795,-2.36680001478794
73,-1.2675737910854754,-3.247200390252633,-3.0272008858669506,-2.369179908226253
74,-1.267574057466673,-3.247199869071752,-3.029221894014194,-2.370429590311761
75,-1.2675743274776436,-3.247199349263823,-3.033526112824172,-2.373423847023748
76,-1.2675745821420423,-3.2471988329851147,-3.0362678373121894,-2.3784820840354803
77,-1.2675748485371465,-3.2471983117750503,-3.0401929833718273,-2.384525997467158
78,-1.267575118562193,-3.2471977919378037,-3.046398599561528,-2.407296772199481
79,-1.2675756396505182,-3.2471967543894924,-3.0479261115171394,-2.4219749967036157
80,-1.2675759096900527,-3.2471962345222027,-3.049857469309819,-2.4379255750262523
81,-1.2675761643837422,-3.247195718183753,-3.0483281032446072,-2.442059276708293
82,-1.2675764308079234,-3.247195196913122,-3.0462101481820274,-2.44650558489972
83,-1.2675767008622498,-3.2471946770152593,-3.046953878424978,-2.4461180876550572
84,-1.26757695557106,-3.2471941606461465,-3.0478021915556543,-2.445915405500256
85,-1.2675772220101957,-3.2471936393445127,-3.047761829003117,-2.448434622307495
86,-1.2675774920795317,-3.247193119415693,-3.0480376438103876,-2.4482725162968357
87,-1.2675777468036629,-3.247192603015575,-3.048232703159973,-2.4513558437498917
88,-1.2675780132579304,-3.2471920816826247,-3.0489401231610023,-2.4515082292594923
89,-1.267578283342439,-3.2471915617225675,-3.0479121510702027,-2.460692077626901
90,-1.2675785380820412,-3.247191045291193,-3.0466614436698207,-2.4691069154940197
