step,ego_x,ego_y,adv_x,adv_y
0,-4.231202522268655,-6.639394887205695,-4.127694527278026,-4.612842048661216
1,-4.231202997937764,-6.639395570272627,-4.127693758403512,-4.612841822198382
2,-4.231203476495711,-6.639396250789919,-4.127692988751443,-4.612841599593443
3,-4.23120395556839,-6.6393969305365514,-4.127710841643537,-4.612787907831086
4,-4.231204435064338,-6.6393976096058545,-4.127712718109227,-4.612780363896265
5,-4.23120491491842,-6.639398288071328,-4.1277147366951175,-4.612772482490429
6,-4.231205875487827,-6.63939964344621,-4.127718409280636,-4.612758043529856
7,-4.231206356116099,-6.639400320466623,-4.127720291012119,-4.6127507765459566
8,-4.231206836926183,-6.639400997106622,-4.127722189438965,-4.6127435096304765
9,-4.231207317889352,-6.639401673408045,-4.1277241013662405,-4.612736246276899
10,-4.231207798981311,-6.6394023494082814,-4.12772602523691,-4.612728985791661
11,-4.231208280181541,-6.639403025140756,-4.12772795955055,-4.612721728009976
12,-4.231208761472756,-6.639403700635339,-4.127729903010167,-4.612714472755814
13,-4.231209242840396,-6.639404375918744,-4.12773185449191,-4.612707219856237
14,-4.231209724272251,-6.639405051014842,-4.127733813006836,-4.612699969188243
15,-4.23121020575809,-6.639405725944979,-4.127735777694741,-4.612692720638063
16,-4.231210687289364,-6.639406400728244,-4.127737747805031,-4.61268547410763
17,-4.231211168858957,-6.639407075381697,-4.127739722692206,-4.612678229484368
18,-4.231211633297958,-6.639407710142786,-4.127741701776411,-4.612670986719977
19,-4.23121201227602,-6.639408236729346,-4.127743684561831,-4.612663745741592
20,-4.231212390816482,-6.639408764637904,-4.1277456706213576,-4.61265650646952
21,-4.231212769368178,-6.6394092926427515,-4.127747659567614,-4.612649268877682
22,-4.23121314793091,-6.639409820729148,-4.12774965106464,-4.612642032935973
23,-4.231213526502919,-6.6394103488857095,-4.127751644840657,-4.6126347985544704
24,-4.231213881015722,-6.639410827111579,-4.127753640625338,-4.612627565753118
25,-4.231214231187553,-6.6394113000148565,-4.12775563820574,-4.612620334479626
26,-4.231214581912192,-6.639411784927256,-4.1277576373792995,-4.612613104737574
27,-4.231214930113891,-6.639412272229526,-4.127759637994922,-4.612605876453315
28,-4.231215280104157,-6.639412745211454,-4.127761639887617,-4.612598649660813
29,-4.231215979053539,-6.639413717296393,-4.127765647038843,-4.61258420038711
30,-4.2312163289292934,-6.639414190330836,-4.127767652077518,-4.612576977905734
31,-4.231216679658409,-6.639414675142931,-4.1277696579748,-4.61256975683964
32,-4.23121702790099,-6.639415162336391,-4.127771664649278,-4.61256253719725
33,-4.231217377703892,-6.639415635410829,-4.127773672042368,-4.612555318948445
34,-4.231217728439904,-6.639416120202555,-4.127775680097964,-4.612548102081852
35,-4.231218076699551,-6.639416607374029,-4.127777688762516,-4.612540886600735
36,-4.231218426458439,-6.6394170804814605,-4.127779697985751,-4.6125336725176185
37,-4.231218777204265,-6.639417565265998,-4.127781707736351,-4.612526459805798
38,-4.2312191254807106,-6.639418052429497,-4.1277837179820525,-4.612519248456863
39,-4.231219475215572,-6.639418525566222,-4.127785728680513,-4.612512038504798
40,-4.2312198259737555,-6.6394190103533095,-4.127787739823349,-4.612504829894289
41,-4.231220174267345,-6.639419497519037,-4.1277897513737996,-4.612497622664637
42,-4.231220523992054,-6.639419970683294,-4.127791763319271,-4.612490416791601
43,-4.231220874764726,-6.6394204554801135,-4.127793775637894,-4.612483212286364
44,-4.231221223076068,-6.6394209426555015,-4.127795788318741,-4.612476009134259
45,-4.231221572800269,-6.639421415846638,-4.127797801340362,-4.612468807357559
46,-4.231221923589164,-6.6394219006584745,-4.12779981470562,-4.6124616069117925
47,-4.231222271918945,-6.639422387848922,-4.127801828386556,-4.612454407848371
48,-4.23122297245586,-6.639423345897606,-4.127805856695571,-4.61244001376069
49,-4.231223320804743,-6.639423833107037,-4.12780787130271,-4.612432818752728
50,-4.2312236705460355,-6.639424306352025,-4.127809886206481,-4.612425625091693
51,-4.231224021371242,-6.639424791204518,-4.127811901393459,-4.612418432800924
52,-4.231224369739806,-6.639425278435796,-4.127813916873586,-4.61241124183678
53,-4.231224719495257,-6.639425751708173,-4.12781593262507,-4.612404052251413
54,-4.231225070340008,-6.639426236584514,-4.127817948655874,-4.6123968640098685
55,-4.231225418728754,-6.639426723839709,-4.127819964962262,-4.612389677113949
56,-4.231225768500651,-6.639427197139853,-4.127821981533358,-4.612382491587296
57,-4.231226119365594,-6.639427682041566,-4.127823998375325,-4.612375307404107
58,-4.231226467774935,-6.639428169322188,-4.127826015485425,-4.61236812456637
59,-4.23122681756487,-6.639428642650458,-4.127828032853677,-4.612360943097822
60,-4.231227168450513,-6.6394291275786665,-4.127830050493077,-4.612353762955182
61,-4.231227516880766,-6.639429614885809,-4.127832068384461,-4.612346584190913
62,-4.231227866689874,-6.639430088242514,-4.127834086534521,-4.612339406780882
63,-4.23122821759659,-6.63943057319803,-4.127836104951824,-4.612332230696888
64,-4.23122856604802,-6.639431060532488,-4.127838123617634,-4.612325055991555
65,-4.231228915877091,-6.639431533917892,-4.127840142542678,-4.612317882630246
66,-4.231229266805166,-6.6394320189013225,-4.1278421617256145,-4.612310710615049
67,-4.231229615277977,-6.639432506263674,-4.127844181157657,-4.612303539969852
68,-4.231230316077211,-6.639433464689774,-4.127848220792039,-4.61228920271487
69,-4.231230664571559,-6.639433952080439,-4.127850240984679,-4.612282036131178
70,-4.231231014442051,-6.639434425523849,-4.127852261432983,-4.612274870892424
71,-4.231231365413431,-6.6394349105643,-4.127739136013607,-4.6123502084631145
72,-4.231231713929443,-6.639435397983582,-4.127617303315537,-4.612324185382436
73,-4.231232063821118,-6.639435871456219,-4.127506432256687,-4.613493812646683
74,-4.231232414814354,-6.639436356525569,-4.127627049309517,-4.613421510031702
75,-4.231232763352114,-6.639436843973694,-4.127749122449038,-4.613450669954783
76,-4.231233113265172,-6.6394373174756645,-4.127882670530394,-4.613474922594338
77,-4.231233464280353,-6.639437802574091,-4.128019360324979,-4.613503333121907
78,-4.231233812839935,-6.639438290051214,-4.128157823800402,-4.6135309935683235
79,-4.231234162774513,-6.639438763582604,-4.128297988022206,-4.613559116743824
80,-4.23123451381171,-6.639439248710226,-4.128439652950902,-4.613587573998266
81,-4.231234862393168,-6.639439736216469,-4.128582891556004,-4.613616454635245
82,-4.231235212349363,-6.639440209777343,-4.128726633053751,-4.613646053269942
83,-4.231235563408623,-6.639440694934254,-4.128872969112092,-4.613674927090574
84,-4.2312359120119964,-6.639441182469706,-4.129020561785748,-4.613704785408021
85,-4.231236261989883,-6.639441656060112,-4.1291695335824405,-4.613735248891674
86,-4.231236613071245,-6.63944214124638,-4.129320393864047,-4.613765574985047
87,-4.231236961696562,-6.639442628811099,-4.129472441988861,-4.613796713390508
88,-4.231237662799686,-6.639443587646746,-4.129780943699166,-4.613859543113559
89,-4.231238011446973,-6.639444075240783,-4.129937397679115,-4.613891457464595
90,-4.231238361468379,-6.6394445488903635,-4.130095162257721,-4.613923807968487
91,-4.231238712594023,-6.639445034135479,-4.130253275735265,-4.61395621988186
92,-4.2312390612633015,-6.639445521758867,-4.1304115009721,-4.61398866032773
93,-4.231239411306511,-6.639445995438067,-4.130569830549865,-4.614021151872236
94,-4.231239762454321,-6.639446480712652,-4.130728337342855,-4.614053658858268
95,-4.231240111145604,-6.639446968365412,-4.130887032758402,-4.614086193076525
96,-4.23124046121064,-6.639447442074255,-4.13104579861283,-4.61411880341146
97,-4.23124081238063,-6.639447927378334,-4.1312047107007235,-4.61415140689555
98,-4.231241161093918,-6.639448415060494,-4.13136376821423,-4.6141840671240475
