sample_id,step,x,y
0,0,-4.333235263824463,-2.8387067317962646
0,1,-4.293480396270752,-2.797680616378784
0,2,-4.260360240936279,-2.760066509246826
0,3,-4.237210750579834,-2.7193751335144043
0,4,-4.209142208099365,-2.6911866664886475
0,5,-4.1861796379089355,-2.654627561569214
0,6,-4.154673099517822,-2.629272222518921
0,7,-4.11305570602417,-2.609586238861084
0,8,-4.087875843048096,-2.5817110538482666
0,9,-4.074159622192383,-2.545848846435547
0,10,-4.056726455688477,-2.5200045108795166
0,11,-4.027620315551758,-2.4951889514923096
0,12,-4.017033100128174,-2.461334466934204
0,13,-3.999558687210083,-2.429147243499756
0,14,-3.9797539710998535,-2.3973758220672607
0,15,-3.977555990219116,-2.3372538089752197
1,0,-4.333164691925049,-2.8573737144470215
1,1,-4.300721645355225,-2.8257696628570557
1,2,-4.277840614318848,-2.7919042110443115
1,3,-4.247434616088867,-2.7611186504364014
1,4,-4.22287654876709,-2.747779607772827
1,5,-4.197547435760498,-2.7246451377868652
1,6,-4.180033206939697,-2.693119764328003
1,7,-4.151086330413818,-2.6471920013427734
1,8,-4.1275634765625,-2.6259584426879883
1,9,-4.105856895446777,-2.5989861488342285
1,10,-4.095542907714844,-2.5688538551330566
1,11,-4.075684070587158,-2.547114610671997
1,12,-4.058996677398682,-2.522382974624634
1,13,-4.046894550323486,-2.5034103393554688
1,14,-4.019148826599121,-2.501155138015747
1,15,-4.002801418304443,-2.4965128898620605
2,0,-4.3199005126953125,-2.848121166229248
2,1,-4.280299186706543,-2.812685251235962
2,2,-4.244051456451416,-2.7869975566864014
2,3,-4.214476585388184,-2.7525978088378906
2,4,-4.182099342346191,-2.7312309741973877
2,5,-4.158681869506836,-2.7061846256256104
2,6,-4.115748882293701,-2.669206380844116
2,7,-4.082983493804932,-2.651895046234131
2,8,-4.055192947387695,-2.628117084503174
2,9,-4.022866249084473,-2.6016123294830322
2,10,-3.996893882751465,-2.561633586883545
2,11,-3.979915142059326,-2.5377883911132812
2,12,-3.9622907638549805,-2.5153582096099854
2,13,-3.9473776817321777,-2.497079372406006
2,14,-3.940972328186035,-2.474339485168457
2,15,-3.9398250579833984,-2.464970350265503
3,0,-4.333401203155518,-2.8393874168395996
3,1,-4.308348178863525,-2.7989227771759033
3,2,-4.277684688568115,-2.77667236328125
3,3,-4.253474235534668,-2.7537336349487305
3,4,-4.235198974609375,-2.733184576034546
3,5,-4.214290618896484,-2.7054126262664795
3,6,-4.186298370361328,-2.684121608734131
3,7,-4.165812969207764,-2.6564383506774902
