step,ego_x,ego_y,adv_x,adv_y
0,-1.9055343831540714,-2.70642570577193,-4.48771738167405,-2.9533986750788457
1,-1.9045455719985418,-2.6970693661728813,-4.487717078866881,-2.953397898918131
2,-1.910645367665371,-2.701919940529903,-4.487716775005955,-2.953397123683713
3,-1.9354790425299597,-2.7090289733526243,-4.4877164705547195,-2.9533963491359754
4,-1.9665076055037531,-2.718248680858631,-4.4877161655988,-2.953395575202084
5,-1.976449736037574,-2.7296446186499903,-4.487715860209735,-2.953394801817594
6,-1.978045698328793,-2.726563871275139,-4.487715554449031,-2.9533940289246448
7,-1.9787029132677694,-2.725035983547823,-4.487715248369541,-2.95339325647128
8,-1.9791641001177587,-2.7235982404621217,-4.487714942016662,-2.9533924844108492
9,-1.9796439801700159,-2.7221161920606725,-4.487714635429375,-2.9533917127014675
10,-1.9801678493057722,-2.7204144904460943,-4.487714328641121,-2.9533909413055266
11,-1.9806864473936474,-2.718823273180639,-4.487714021680584,-2.9533901701892584
12,-1.9817427355111794,-2.7158583319883043,-4.4877137145723465,-2.953389399322345
13,-1.9868800210616324,-2.711601105629696,-4.487713099993969,-2.953387858230475
14,-1.9905018801106864,-2.712072534485207,-4.48771279255726,-2.953387087959131
15,-1.9909958887056962,-2.720292954061087,-4.48771248504052,-2.9533863178438327
16,-1.987509199968273,-2.7284863827685757,-4.487712177454988,-2.9533855478668865
17,-1.9856310700275548,-2.7343651366417,-4.487711869810267,-2.9533847780124045
18,-1.989115732706405,-2.740700337655239,-4.4877115863450125,-2.953384098654674
19,-2.0104041271223,-2.75181713593848,-4.487711343457877,-2.953383495610381
20,-2.0345266461322637,-2.7654061640826533,-4.487711100748997,-2.953382892362594
21,-2.0494877908873335,-2.769021784615855,-4.487710858049264,-2.9533822890283656
22,-2.0686550121916434,-2.77318418107897,-4.487710615357246,-2.953381685620147
23,-2.075871445265223,-2.76820027928121,-4.487710372672032,-2.95338108214832
24,-2.0757262487493042,-2.768296396260414,-4.46935596175969,-2.9406585138854497
25,-2.075515673994451,-2.7684488541003014,-4.455624770984002,-2.9255549984343268
26,-2.0753484485703053,-2.768549084491155,-4.44183936381342,-2.9106142586390504
27,-2.0751457244905156,-2.768675781003133,-4.427408481789377,-2.8943475271692045
28,-2.074962435682139,-2.7687910430105456,-4.413577287522433,-2.8837748612086638
29,-2.0748119100407476,-2.7688881114256416,-4.3911816304701565,-2.8846976291612876
30,-2.0746780378626126,-2.7689653183070564,-4.3783540955381035,-2.883536920572848
31,-2.074396759025341,-2.76915121101233,-4.3623841923906745,-2.880204134187551
32,-2.090114286798636,-2.7688063779816514,-4.317255815485112,-2.8698932581424694
33,-2.11248365391779,-2.773660400626188,-4.295204972632578,-2.859460617874369
34,-2.1320670050009305,-2.77129269257447,-4.270821704644217,-2.8513540161094184
35,-2.1507061934510157,-2.7679920757311245,-4.2494874244643155,-2.8418645162026563
36,-2.175002798960291,-2.764750785399337,-4.229642796611762,-2.833466534208731
37,-2.1970128074655144,-2.7650696362420937,-4.203541168863988,-2.8246798240072257
38,-2.217413725717097,-2.7609331272173154,-4.176926635009039,-2.815360819868284
39,-2.2397772528061277,-2.760818898642722,-4.155083454936702,-2.8079466867815475
40,-2.265112622659178,-2.7670818904821997,-4.128793604837376,-2.806658385094665
41,-2.291442480418048,-2.7705440353913158,-4.101146142549873,-2.803741001274874
42,-2.313940861548564,-2.777877127107778,-4.07477936261942,-2.798628606464737
43,-2.3392435302201995,-2.790686091060456,-4.047193831656615,-2.8016926845722874
44,-2.365168462146113,-2.797019095092626,-4.0193955059877515,-2.805320625616217
45,-2.368242169858452,-2.7966692615685447,-3.991204127231794,-2.8009575728422607
46,-2.368257692328341,-2.7966683987598273,-3.9614610492402527,-2.7965524171166583
47,-2.368259732816565,-2.796668521845387,-3.9325259947675955,-2.792181698566044
48,-2.3682617218098714,-2.796668625189662,-3.9035618763948277,-2.7878323491276147
49,-2.3682636697209913,-2.796668727464549,-3.8734587204107744,-2.7836954227515585
50,-2.3682655826802046,-2.796668828708809,-3.8447141888263094,-2.77958387299924
51,-2.368267465824823,-2.7966689290811564,-3.8162732796381347,-2.775422069620084
52,-2.3682693235371226,-2.796669028719908,-3.7861656645916617,-2.7715139538046385
53,-2.3683926042966412,-2.796601859430535,-3.7580974310147273,-2.7688657723739145
54,-2.3685379374268627,-2.796542808055556,-3.7312648364533065,-2.7655040297462516
55,-2.3961480104724164,-2.7962117864458502,-3.6729619300227245,-2.7643993315276787
56,-2.4240161178528696,-2.802463810816242,-3.6459773339886006,-2.761765443596832
57,-2.4516377070179662,-2.8092869686912567,-3.617410346456702,-2.760973691331732
58,-2.478313418755258,-2.8141438322198296,-3.5870236596809177,-2.761444465752111
59,-2.50692800216857,-2.822382339362754,-3.5575898631078307,-2.7599811778869077
60,-2.533517647783481,-2.832420736432493,-3.527887966578423,-2.7585632907873996
61,-2.5591757211093675,-2.837953420529028,-3.497462876735838,-2.757016448647223
62,-2.5873358428174638,-2.846892042407685,-3.4674483277564563,-2.755486597449274
63,-2.6157936976282765,-2.8541723720936605,-3.437979448166299,-2.754015838426854
64,-2.6414410887429454,-2.860491531844354,-3.407682978770946,-2.752512195943571
65,-2.6685664005077165,-2.8697989344203476,-3.37733254504321,-2.7510919871112645
66,-2.6965035971838294,-2.879219071162011,-3.3481866379967893,-2.7496616225432398
67,-2.722184522690845,-2.887208635728146,-3.317950344476482,-2.7485012979699666
68,-2.722226472970457,-2.887504743716394,-3.287229385733631,-2.7472354269185044
69,-2.72209051734166,-2.8874772980406327,-3.2586828538464703,-2.7459779497612016
70,-2.7219267771165003,-2.887461120867706,-3.228670241422221,-2.74516159968046
