sample_id,step,x,y
0,0,-4.412204742431641,-2.9006922245025635
0,1,-4.411187171936035,-2.898118495941162
0,2,-4.407271385192871,-2.8893189430236816
0,3,-4.397284507751465,-2.884819507598877
0,4,-4.3896918296813965,-2.873623847961426
0,5,-4.378791332244873,-2.8693268299102783
0,6,-4.372254371643066,-2.8575026988983154
0,7,-4.364819526672363,-2.850177049636841
0,8,-4.370657444000244,-2.8365795612335205
0,9,-4.365750789642334,-2.8202898502349854
0,10,-4.360467910766602,-2.815788507461548
0,11,-4.3504958152771,-2.804306745529175
0,12,-4.345306873321533,-2.78957200050354
0,13,-4.341736316680908,-2.7781853675842285
0,14,-4.332224369049072,-2.7680752277374268
0,15,-4.322840690612793,-2.759913206100464
1,0,-4.411289691925049,-2.903568744659424
1,1,-4.410953044891357,-2.9020910263061523
1,2,-4.402292728424072,-2.9012138843536377
1,3,-4.3934102058410645,-2.898573160171509
1,4,-4.380579471588135,-2.8917791843414307
1,5,-4.369789123535156,-2.8755719661712646
1,6,-4.365726947784424,-2.856797456741333
1,7,-4.352299213409424,-2.844275951385498
1,8,-4.346049785614014,-2.8268685340881348
1,9,-4.333878517150879,-2.8174266815185547
1,10,-4.3067545890808105,-2.796098232269287
1,11,-4.286141872406006,-2.7830817699432373
1,12,-4.278389930725098,-2.7671117782592773
1,13,-4.265787601470947,-2.7465453147888184
1,14,-4.247089385986328,-2.729896068572998
1,15,-4.230633735656738,-2.709470748901367
2,0,-4.400922775268555,-2.899456262588501
2,1,-4.386744022369385,-2.8840768337249756
2,2,-4.363107681274414,-2.868701696395874
2,3,-4.333125114440918,-2.8482460975646973
2,4,-4.304771900177002,-2.825778007507324
2,5,-4.267439365386963,-2.796416997909546
2,6,-4.227856636047363,-2.7715790271759033
2,7,-4.178828239440918,-2.7235682010650635
2,8,-4.115482330322266,-2.6960885524749756
2,9,-4.05490779876709,-2.673875570297241
2,10,-3.981506824493408,-2.649225950241089
2,11,-3.9088101387023926,-2.6141653060913086
2,12,-3.8326454162597656,-2.5863189697265625
2,13,-3.7706782817840576,-2.5455963611602783
2,14,-3.713750123977661,-2.4994118213653564
2,15,-3.6312954425811768,-2.4558517932891846
3,0,-4.417614936828613,-2.8998262882232666
3,1,-4.418531894683838,-2.899829149246216
3,2,-4.421392440795898,-2.9078726768493652
3,3,-4.421535015106201,-2.899229049682617
3,4,-4.426708698272705,-2.9022605419158936
3,5,-4.429477214813232,-2.900777816772461
3,6,-4.4251604080200195,-2.9050512313842773
3,7,-4.420736789703369,-2.911248207092285
3,8,-4.423258304595947,-2.9086172580718994
3,9,-4.431840896606445,-2.905019998550415
3,10,-4.421907901763916,-2.9174845218658447
3,11,-4.411557197570801,-2.91352915763855
3,12,-4.4136247634887695,-2.916524648666382
3,13,-4.420137882232666,-2.9182069301605225
3,14,-4.4248504638671875,-2.9138424396514893
3,15,-4.424879550933838,-2.9177188873291016
4,0,-4.413248062133789,-2.8870139122009277
4,1,-4.395540237426758,-2.857386350631714
4,2,-4.372515678405762,-2.8186354637145996
4,3,-4.333022594451904,-2.7669174671173096
4,4,-4.282425403594971,-2.706421136856079
4,5,-4.221767902374268,-2.627584934234619
4,6,-4.153596878051758,-2.531066656112671
4,7,-4.073871612548828,-2.422997236251831
4,8,-3.9909486770629883,-2.30472731590271
4,9,-3.898636817932129,-2.1798133850097656
4,10,-3.8074851036071777,-2.043236494064331
4,11,-3.7098937034606934,-1.88442862033844
4,12,-3.6086223125457764,-1.721840500831604
4,13,-3.5098788738250732,-1.5504852533340454
4,14,-3.401698350906372,-1.3600870370864868
4,15,-3.267241954803467,-1.1750743389129639
5,0,-4.414885520935059,-2.902064323425293
5,1,-4.41310453414917,-2.8974032402038574
5,2,-4.411411285400391,-2.88700008392334
5,3,-4.410537242889404,-2.882392168045044
5,4,-4.405581474304199,-2.8722827434539795
5,5,-4.400614261627197,-2.8659579753875732
5,6,-4.390822410583496,-2.856905698776245
5,7,-4.3831868171691895,-2.8447844982147217
5,8,-4.373425483703613,-2.8369293212890625
5,9,-4.364013195037842,-2.8275091648101807
5,10,-4.3565754890441895,-2.815173864364624
5,11,-4.34364652633667,-2.806419610977173
5,12,-4.331181049346924,-2.7976040840148926
5,13,-4.3240203857421875,-2.7845005989074707
5,14,-4.309278964996338,-2.7729947566986084
5,15,-4.2926201820373535,-2.758737802505493
6,0,-4.414455890655518,-2.9049065113067627
6,1,-4.417898178100586,-2.897989511489868
6,2,-4.412998199462891,-2.8984110355377197
6,3,-4.4115519523620605,-2.9066717624664307
6,4,-4.400674819946289,-2.9196956157684326
6,5,-4.391456127166748,-2.9220192432403564
6,6,-4.360304355621338,-2.9296953678131104
6,7,-4.359055042266846,-2.9340949058532715
6,8,-4.367658615112305,-2.928748369216919
6,9,-4.3632330894470215,-2.9288077354431152
6,10,-4.368521213531494,-2.921774387359619
6,11,-4.390024662017822,-2.918424367904663
6,12,-4.375277519226074,-2.9291889667510986
6,13,-4.387332916259766,-2.9225733280181885
6,14,-4.3799567222595215,-2.925062417984009
6,15,-4.378942489624023,-2.9234795570373535
7,0,-4.4169440269470215,-2.906557321548462
7,1,-4.414860248565674,-2.9087626934051514
7,2,-4.412793159484863,-2.909257173538208
7,3,-4.409445762634277,-2.90871524810791
7,4,-4.408810138702393,-2.908005952835083
