step,ego_x,ego_y,adv_x,adv_y
0,-1.9056770695044511,-2.706466680267095,-4.48771738525136,-2.9533987128245247
1,-1.9046972046182378,-2.6964480631957057,-4.48771708393425,-2.953397935776606
2,-1.9088276881694688,-2.7004104888144997,-4.487716780245126,-2.9533971602463884
3,-1.9266943604235138,-2.706904539123548,-4.48771647593127,-2.9533963854334893
4,-1.9576194278326104,-2.7157581598546074,-4.4877161710905105,-2.953395611258499
5,-1.9729338682405568,-2.7205964817793,-4.4877158657975675,-2.953394837654413
6,-1.9729642037947188,-2.7206230271387657,-4.487715254102884,-2.9533932919245887
7,-1.9890131967586695,-2.7302398378728534,-4.4877149478037035,-2.953392519696409
8,-1.9909029435963952,-2.731563454302613,-4.48771464125979,-2.9533917478330585
9,-1.9947668188478485,-2.7254157321410646,-4.487714334506074,-2.9533909762954793
10,-1.997584837093482,-2.7244899584078346,-4.487714027572504,-2.953390205048611
11,-1.998113272565068,-2.7286130874392485,-4.4877137204847575,-2.9533894340609774
12,-2.001885804432817,-2.7300301234288833,-4.487713413264829,-2.9533886633043207
13,-2.008354176029766,-2.72913948451672,-4.487713105931549,-2.953387892753272
14,-2.0184909074431805,-2.726139953470265,-4.48771279850102,-2.95338712238506
15,-2.0316759163146743,-2.7214310077375568,-4.48771249098701,-2.953386352179239
16,-2.0464227973329705,-2.7171215082904867,-4.487712183401279,-2.9533855821174546
17,-2.0602619479849746,-2.713248044365378,-4.487711875753862,-2.9533848121832253
18,-2.0816530981659467,-2.7103852736292118,-4.487711568375283,-2.9533840892905627
19,-2.104734116275764,-2.7094522159969907,-4.46858267935977,-2.9413174660573045
20,-2.120221510422836,-2.7031813376986773,-4.446439525871003,-2.931241347014359
21,-2.1370145134970895,-2.7016683665128896,-4.42971639477849,-2.919274557417423
22,-2.159928998161017,-2.7090664331697267,-4.414532910419531,-2.9027410864926515
23,-2.181993061448708,-2.7123036723318013,-4.402598957338125,-2.888109216737123
24,-2.205604273136403,-2.712124051469722,-4.393021306332862,-2.8794352465187534
25,-2.2063799761027063,-2.7116909636219257,-4.3883220157616964,-2.8741830071923635
26,-2.2063847810157187,-2.711692414994062,-4.349419779862897,-2.8756486680258666
27,-2.2314389035674917,-2.7142218349419873,-4.326494038306942,-2.875129216270684
28,-2.2568893821273672,-2.725466799117501,-4.310795006690765,-2.865238778944863
29,-2.2799205626017818,-2.7268254864707475,-4.287782528158511,-2.852789141588007
30,-2.306541940618063,-2.7301284558107564,-4.265845686686974,-2.842932057779683
31,-2.3354439512507366,-2.7340924205850796,-4.249194612776032,-2.8320911327399814
32,-2.3588949955280225,-2.7363327854543273,-4.228098355586758,-2.8235655212879696
33,-2.3848683073228556,-2.7410576270319957,-4.2017241904434135,-2.8204793540674435
34,-2.4133546179515912,-2.747007323733309,-4.176249366385592,-2.815664020550458
35,-2.440320519699629,-2.7525862067063884,-4.152478939559139,-2.8142038528701296
36,-2.4652791028745757,-2.7634373692997163,-4.124941667992384,-2.819882120329305
37,-2.4919079040908683,-2.770562498045403,-4.099156887013841,-2.8195947806518027
38,-2.518735463511961,-2.7782423709906445,-4.070717657581355,-2.8134894817362923
39,-2.545589156299533,-2.7877471265020954,-4.041306058517598,-2.8093266391862373
40,-2.5699522368424783,-2.8031148814910734,-4.013169903767345,-2.8044807347477545
41,-2.595425826112481,-2.8132958856091514,-3.9846024432327045,-2.798845459715532
42,-2.622775675433341,-2.823675230327381,-3.9547453263241037,-2.7931929000688096
43,-2.649236350531461,-2.8364180683954214,-3.9270457309041,-2.7877945836521274
44,-2.6746577445666935,-2.8471140313846717,-3.8999958328069226,-2.7828695118142317
45,-2.7007417387762165,-2.858180191717147,-3.8699899055495774,-2.779339676339404
46,-2.7273138927284584,-2.8711900222686255,-3.8421568013483567,-2.7748353938385666
47,-2.752842724041182,-2.882252885464503,-3.8154953047386018,-2.770611289826118
48,-2.753114526340696,-2.8824209632854862,-3.785570738290359,-2.767005438550883
49,-2.753095926990403,-2.882423107554222,-3.7283145551105137,-2.7582397620086225
50,-2.777362150234643,-2.891395236282998,-3.6987361107378387,-2.7553854504681468
51,-2.8042041505675326,-2.9052332136773202,-3.668388592486586,-2.752857032696717
52,-2.8300135936472106,-2.917131902363548,-3.6414696026453415,-2.7494614969683533
53,-2.854688310002341,-2.9287512031022613,-3.6122769049867878,-2.7474223582223747
