row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,46,88.66780029982328,-4.0167522537480504,-3.0367620431193894,0.5733148234780481,,,,,,4.9156294577242665,2.304023272546661,5.8456866735208e-05
,2,movebase,diffusion,True,0,1,0,88,83.6441018730402,-1.4889932082554704,-3.0089161240752587,-2.495190090091451,,,,,,4.479846172429399,2.6813478723343325,0.00011743245679722892
,3,movebase,diffusion,True,0,1,0,51,86.7468937933445,-1.1600181950262396,-2.6363101908091746,1.3483718489761405,,,,,,3.4132327010068364,2.221327062101035,0.00011698126933086861
,4,movebase,diffusion,True,0,1,0,46,95.49999993294477,-3.828369419746821,-2.6388404647033528,2.134039831236429,,,,,,5.681795581458731,2.6459116876107456,9.326688189628672e-05
,5,movebase,diffusion,True,1,0,0,58,-118.87251445651054,-6.476004539963791,-3.554566719721914,-0.6096627895043678,,,,,,3.5552606106162217,2.8444217990752407,0.00013795757968067528
,6,movebase,diffusion,True,0,0,0,100,-34.43525120615959,-2.6983908520102537,-1.064300265115207,-0.0731949020924746,,,,,,8.533410594186297,3.272566358284275,0.00011684756986287716
,7,movebase,diffusion,True,1,0,0,40,-105.77915423363447,-4.173412351379087,-2.9046147530721713,2.4668811730653926,,,,,,2.274775244281448,2.052564681359682,9.737409533047876e-05
,8,movebase,diffusion,True,0,1,0,55,86.24513374269009,-3.818915997939301,-3.7577664710410845,2.5858121136960253,,,,,,4.9913645805456195,2.520268000749726,6.309051078420403e-05
,9,movebase,diffusion,True,1,0,0,71,-109.92813368141651,-3.9858594970248156,-4.470542627733166,1.8768609735098534,,,,,,2.600522111945532,3.2407344609090214,0.00011261579126037797
,10,movebase,diffusion,True,1,0,0,36,-109.8754797577858,-3.233234950894613,-3.9632035137976276,-2.2616468433164356,,,,,,4.185956280043678,2.0098356925844034,9.558040441202556e-05
summary,all,movebase,diffusion,True,,,,,,,,,,-3.8086603693664074,0.5,0.4,0.0,4.463179333423803,2.579300088755512,0.0001009603426090231
