sample_id,step,x,y
0,0,-2.7044925689697266,-1.6089609861373901
0,1,-2.722320556640625,-1.704490303993225
0,2,-2.730668544769287,-1.7892619371414185
0,3,-2.7532317638397217,-1.8897881507873535
0,4,-2.7848241329193115,-1.9414838552474976
0,5,-2.8186793327331543,-2.039391040802002
0,6,-2.855334758758545,-2.114062786102295
0,7,-2.8355038166046143,-2.1896533966064453
0,8,-2.898448944091797,-2.239699363708496
0,9,-2.910860061645508,-2.3164100646972656
0,10,-2.944835662841797,-2.3887977600097656
0,11,-2.9642066955566406,-2.4782252311706543
0,12,-3.0070433616638184,-2.526832103729248
0,13,-3.028656482696533,-2.6049258708953857
0,14,-3.066715955734253,-2.6726043224334717
0,15,-3.1010003089904785,-2.7425718307495117
1,0,-2.7329506874084473,-1.5887185335159302
1,1,-2.7527616024017334,-1.682300090789795
1,2,-2.780855894088745,-1.7824729681015015
1,3,-2.8010342121124268,-1.8749407529830933
1,4,-2.8413872718811035,-1.9686440229415894
1,5,-2.8526735305786133,-2.0573785305023193
1,6,-2.8880984783172607,-2.1415882110595703
1,7,-2.9150118827819824,-2.2242133617401123
1,8,-2.9361929893493652,-2.3103013038635254
1,9,-2.9619407653808594,-2.392890453338623
1,10,-2.9889867305755615,-2.468275547027588
1,11,-3.0230796337127686,-2.5400044918060303
1,12,-3.0470964908599854,-2.5950963497161865
1,13,-3.0897958278656006,-2.6507210731506348
1,14,-3.123140573501587,-2.7032408714294434
1,15,-3.161770820617676,-2.760462760925293
2,0,-2.7230913639068604,-1.6030619144439697
2,1,-2.744554042816162,-1.698723554611206
2,2,-2.7662765979766846,-1.800848364830017
2,3,-2.7834362983703613,-1.902174711227417
2,4,-2.8121583461761475,-2.0109200477600098
2,5,-2.838207483291626,-2.095536470413208
2,6,-2.867948532104492,-2.186945915222168
2,7,-2.885772943496704,-2.274376153945923
2,8,-2.909257411956787,-2.3659298419952393
2,9,-2.934875965118408,-2.4556593894958496
2,10,-2.9534246921539307,-2.540623664855957
2,11,-2.975619316101074,-2.6241295337677
2,12,-2.9900269508361816,-2.7096610069274902
2,13,-3.0086615085601807,-2.795902967453003
2,14,-3.0309598445892334,-2.8738789558410645
2,15,-3.0435965061187744,-2.947122573852539
3,0,-2.721956491470337,-1.5921995639801025
3,1,-2.743830442428589,-1.6850312948226929
3,2,-2.770404577255249,-1.781151294708252
3,3,-2.7972497940063477,-1.8684682846069336
3,4,-2.831590414047241,-1.9612830877304077
3,5,-2.8373780250549316,-2.05116868019104
3,6,-2.8602983951568604,-2.13498592376709
3,7,-2.8744027614593506,-2.203763961791992
3,8,-2.888455629348755,-2.2835047245025635
3,9,-2.909667730331421,-2.350022554397583
3,10,-2.945661783218384,-2.424058437347412
3,11,-2.9739415645599365,-2.502676248550415
3,12,-2.997121572494507,-2.5781068801879883
3,13,-3.0212812423706055,-2.6458990573883057
3,14,-3.042153835296631,-2.71602201461792
3,15,-3.0774435997009277,-2.7786293029785156
4,0,-2.7251179218292236,-1.5922847986221313
4,1,-2.745687961578369,-1.688625454902649
4,2,-2.7681124210357666,-1.784473180770874
4,3,-2.7870640754699707,-1.8806724548339844
4,4,-2.8207061290740967,-1.974924087524414
4,5,-2.832380771636963,-2.074211597442627
4,6,-2.8598320484161377,-2.1673882007598877
4,7,-2.8849613666534424,-2.260507583618164
4,8,-2.9079172611236572,-2.349993944168091
4,9,-2.9177663326263428,-2.4249722957611084
4,10,-2.9377880096435547,-2.505878210067749
4,11,-2.9629063606262207,-2.5810086727142334
4,12,-2.990405321121216,-2.6648197174072266
4,13,-3.014082193374634,-2.7390496730804443
4,14,-3.0354514122009277,-2.8112661838531494
4,15,-3.0506629943847656,-2.8853600025177
5,0,-2.7201695442199707,-1.6083619594573975
5,1,-2.736401319503784,-1.7015327215194702
5,2,-2.773463249206543,-1.798620343208313
5,3,-2.792241334915161,-1.8914599418640137
5,4,-2.813173770904541,-1.977980613708496
5,5,-2.8371901512145996,-2.0642733573913574
5,6,-2.8653018474578857,-2.152566909790039
5,7,-2.88002872467041,-2.2385752201080322
5,8,-2.905510902404785,-2.3163981437683105
5,9,-2.935701370239258,-2.3902552127838135
5,10,-2.9560985565185547,-2.4668400287628174
5,11,-2.9848792552948,-2.5215625762939453
5,12,-3.007642984390259,-2.5977046489715576
5,13,-3.0206384658813477,-2.661813974380493
5,14,-3.0486831665039062,-2.724285125732422
5,15,-3.071275234222412,-2.7838006019592285
6,0,-2.7272255420684814,-1.5937790870666504
6,1,-2.75369930267334,-1.6785718202590942
6,2,-2.788459539413452,-1.7724889516830444
6,3,-2.826963424682617,-1.8529212474822998
6,4,-2.8539202213287354,-1.9404526948928833
6,5,-2.885007619857788,-2.027985095977783
6,6,-2.9079582691192627,-2.1188321113586426
6,7,-2.9330124855041504,-2.206355571746826
6,8,-2.9580695629119873,-2.2964112758636475
6,9,-2.981727123260498,-2.3923654556274414
6,10,-3.031790256500244,-2.472665309906006
6,11,-3.043518304824829,-2.5578155517578125
6,12,-3.0734634399414062,-2.6336395740509033
6,13,-3.1027109622955322,-2.708693027496338
6,14,-3.130673408508301,-2.7810776233673096
6,15,-3.152009963989258,-2.848236560821533
7,0,-2.7091290950775146,-1.594502329826355
7,1,-2.7361438274383545,-1.6794767379760742
7,2,-2.76495099067688,-1.7755345106124878
7,3,-2.7788374423980713,-1.8711637258529663
7,4,-2.799081802368164,-1.9659838676452637
7,5,-2.8424079418182373,-2.0436692237854004
7,6,-2.87392520904541,-2.1346662044525146
7,7,-2.8960680961608887,-2.2068963050842285
7,8,-2.9121696949005127,-2.2882039546966553
7,9,-2.931864023208618,-2.3651630878448486
7,10,-2.953413963317871,-2.431513547897339
7,11,-2.9739036560058594,-2.504688262939453
7,12,-2.9890670776367188,-2.590613842010498
7,13,-3.021636962890625,-2.6554977893829346
7,14,-3.037792921066284,-2.727707862854004
7,15,-3.0542409420013428,-2.79567289352417
8,0,-2.7074573040008545,-1.5903332233428955
8,1,-2.734388828277588,-1.6772159337997437
8,2,-2.7585039138793945,-1.776228427886963
8,3,-2.7776401042938232,-1.868058204650879
8,4,-2.8049068450927734,-1.9613837003707886
8,5,-2.82694411277771,-2.048814535140991
8,6,-2.8521833419799805,-2.1387197971343994
8,7,-2.881728410720825,-2.220705270767212
8,8,-2.9039015769958496,-2.313206672668457
8,9,-2.9316775798797607,-2.4010088443756104
8,10,-2.947385311126709,-2.4794087409973145
8,11,-2.9704511165618896,-2.555772542953491
8,12,-2.986984968185425,-2.619401454925537
8,13,-2.9993233680725098,-2.7010769844055176
8,14,-3.013913154602051,-2.775092124938965
8,15,-3.0402214527130127,-2.8388304710388184
9,0,-2.715205669403076,-1.5948654413223267
9,1,-2.744269371032715,-1.6814794540405273
9,2,-2.7665796279907227,-1.7687569856643677
9,3,-2.784342050552368,-1.8598576784133911
9,4,-2.801882743835449,-1.9519391059875488
9,5,-2.8269073963165283,-2.037532329559326
9,6,-2.8415684700012207,-2.1239686012268066
9,7,-2.861180543899536,-2.2067182064056396
9,8,-2.8824195861816406,-2.2982215881347656
9,9,-2.900998592376709,-2.3721606731414795
9,10,-2.9279565811157227,-2.4480526447296143
9,11,-2.9453909397125244,-2.5291643142700195
9,12,-2.9675941467285156,-2.5991995334625244
9,13,-3.0086400508880615,-2.6653103828430176
9,14,-3.0473084449768066,-2.728545904159546
9,15,-3.0825130939483643,-2.785126209259033
10,0,-2.732283353805542,-1.5941933393478394
10,1,-2.757396697998047,-1.6840968132019043
10,2,-2.7853450775146484,-1.7749409675598145
10,3,-2.8011748790740967,-1.8668451309204102
10,4,-2.816016435623169,-1.9590848684310913
10,5,-2.837981939315796,-2.040975570678711
10,6,-2.8696796894073486,-2.1166932582855225
10,7,-2.9058687686920166,-2.200093984603882
10,8,-2.9450204372406006,-2.293578624725342
10,9,-2.9912328720092773,-2.369904041290283
10,10,-3.025031089782715,-2.456428050994873
10,11,-3.0576422214508057,-2.5423743724823
10,12,-3.0849719047546387,-2.619713306427002
10,13,-3.107762575149536,-2.6994688510894775
10,14,-3.1260459423065186,-2.7674214839935303
10,15,-3.148958206176758,-2.8400652408599854
11,0,-2.718451976776123,-1.5873626470565796
11,1,-2.7464914321899414,-1.671465516090393
11,2,-2.7803547382354736,-1.7574065923690796
11,3,-2.8247084617614746,-1.835005283355713
11,4,-2.8542795181274414,-1.9241583347320557
11,5,-2.8933496475219727,-2.009430408477783
11,6,-2.920715570449829,-2.0895426273345947
11,7,-2.939685106277466,-2.1685993671417236
11,8,-2.9785959720611572,-2.2485992908477783
11,9,-3.002514123916626,-2.321735143661499
11,10,-3.0347115993499756,-2.4046695232391357
11,11,-3.058358907699585,-2.4610037803649902
11,12,-3.0838623046875,-2.545407295227051
11,13,-3.103506088256836,-2.6197125911712646
11,14,-3.1255438327789307,-2.6981873512268066
11,15,-3.1518516540527344,-2.771460771560669
12,0,-2.7250423431396484,-1.5963993072509766
12,1,-2.750457763671875,-1.7016221284866333
12,2,-2.7875070571899414,-1.7992936372756958
12,3,-2.8243911266326904,-1.9046481847763062
12,4,-2.856557607650757,-1.9974794387817383
12,5,-2.8846874237060547,-2.0893635749816895
12,6,-2.9290621280670166,-2.1760191917419434
12,7,-2.964482069015503,-2.2681496143341064
12,8,-3.002300977706909,-2.3643064498901367
12,9,-3.0282561779022217,-2.44765305519104
12,10,-3.0484814643859863,-2.5403048992156982
12,11,-3.0719316005706787,-2.6340417861938477
12,12,-3.0963971614837646,-2.7110135555267334
12,13,-3.1201231479644775,-2.7912230491638184
12,14,-3.1397974491119385,-2.8679986000061035
12,15,-3.1714768409729004,-2.9342901706695557
13,0,-2.725886344909668,-1.5939632654190063
13,1,-2.7575631141662598,-1.6850718259811401
13,2,-2.7873778343200684,-1.781867504119873
13,3,-2.804896831512451,-1.8806612491607666
13,4,-2.837327718734741,-1.9829883575439453
13,5,-2.8647613525390625,-2.074251651763916
13,6,-2.889803647994995,-2.1481029987335205
13,7,-2.916252851486206,-2.230593204498291
13,8,-2.9338629245758057,-2.318472146987915
13,9,-2.961543083190918,-2.4100301265716553
13,10,-2.990872621536255,-2.490708589553833
13,11,-3.007270574569702,-2.5714032649993896
13,12,-3.017178773880005,-2.6480605602264404
13,13,-3.050175189971924,-2.722858190536499
13,14,-3.068218231201172,-2.7917425632476807
13,15,-3.0753815174102783,-2.850687265396118
14,0,-2.7150251865386963,-1.6032503843307495
14,1,-2.737652540206909,-1.6881247758865356
14,2,-2.775263786315918,-1.7796801328659058
14,3,-2.795013904571533,-1.867794394493103
14,4,-2.8147716522216797,-1.9540016651153564
14,5,-2.8386385440826416,-2.034479856491089
14,6,-2.859860420227051,-2.1153974533081055
14,7,-2.8810386657714844,-2.198636293411255
14,8,-2.897092819213867,-2.286898136138916
